epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.15708280,0.13209918,0.03611343,0.09722760,0.11125766
2,0.14115623,0.12787382,0.03384854,0.09464668,0.10087785
3,0.13515086,0.12590139,0.03302376,0.09359975,0.09676299
4,0.13126160,0.12426282,0.03251256,0.09284425,0.09410829
5,0.12791782,0.12312736,0.03206480,0.09263751,0.09203258
6,0.12494238,0.12229997,0.03166184,0.09201549,0.09021004
7,0.12234163,0.12158535,0.03132760,0.09181936,0.08874815
8,0.11942685,0.12093715,0.03100447,0.09141026,0.08727642
9,0.11694978,0.12043062,0.03072248,0.09149230,0.08592776
10,0.11462893,0.12050458,0.03039415,0.09130983,0.08453495
11,0.11256555,0.12006989,0.03007848,0.09150803,0.08333948
12,0.11051386,0.12025182,0.02978075,0.09195467,0.08212742
13,0.10813718,0.11971082,0.02949495,0.09184512,0.08082967
14,0.10621987,0.11872008,0.02921011,0.09144057,0.07968009
15,0.10426174,0.11837691,0.02893732,0.09169194,0.07853435
16,0.10217337,0.11833957,0.02864354,0.09174951,0.07730334
17,0.10018382,0.11777541,0.02844940,0.09158261,0.07620637
18,0.09813689,0.11787412,0.02810072,0.09169034,0.07485154
19,0.09622669,0.11747882,0.02789491,0.09136590,0.07387457
20,0.09453749,0.11740542,0.02762581,0.09149258,0.07276830
21,0.09285747,0.11754675,0.02741771,0.09143848,0.07182654
22,0.09115689,0.11725042,0.02715300,0.09105875,0.07071663
23,0.08968858,0.11703389,0.02697171,0.09106496,0.06973404
24,0.08820109,0.11662269,0.02672595,0.09075678,0.06879090
25,0.08691868,0.11676229,0.02655325,0.09059031,0.06795643
26,0.08529662,0.11669095,0.02631334,0.09070688,0.06698828
27,0.08392922,0.11741954,0.02615233,0.09081575,0.06608254
28,0.08280697,0.11707443,0.02592565,0.09068530,0.06533227
29,0.08149683,0.11746887,0.02574407,0.09047483,0.06445837
30,0.08063755,0.11692311,0.02559540,0.09040875,0.06384955
31,0.07935338,0.11729928,0.02536477,0.09044421,0.06300308
32,0.07807001,0.11735560,0.02515481,0.09047995,0.06211684
33,0.07735027,0.11770450,0.02504125,0.09016181,0.06159221
34,0.07625137,0.11664584,0.02482508,0.09010156,0.06090707
35,0.07546394,0.11628972,0.02471814,0.08988602,0.06035334
36,0.07441641,0.11579062,0.02450722,0.08965273,0.05957484
37,0.07347516,0.11605307,0.02432459,0.08937605,0.05896368
38,0.07280502,0.11555110,0.02421333,0.08917613,0.05861195
39,0.07192515,0.11605101,0.02403601,0.08932068,0.05798415
40,0.07122713,0.11646174,0.02391810,0.08934599,0.05748972
41,0.07019301,0.11486211,0.02369377,0.08891058,0.05676318
42,0.06965334,0.11466601,0.02358740,0.08871820,0.05634416
