epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.17755691,0.13902460,0.03878434,0.10034404,0.12476746
2,0.16040822,0.13292235,0.03649166,0.09655466,0.11316460
3,0.15359456,0.13001979,0.03547651,0.09492970,0.10851421
4,0.14865481,0.12847983,0.03479541,0.09405359,0.10521413
5,0.14500822,0.12741563,0.03427751,0.09342170,0.10266599
6,0.14187541,0.12681590,0.03386621,0.09310208,0.10055828
7,0.13957102,0.12608314,0.03352261,0.09273569,0.09890275
8,0.13729513,0.12567753,0.03325290,0.09257417,0.09747576
9,0.13570654,0.12518000,0.03299465,0.09234458,0.09633736
10,0.13405272,0.12480482,0.03278539,0.09216689,0.09535000
11,0.13238645,0.12444119,0.03254035,0.09204749,0.09423393
12,0.13094182,0.12403681,0.03238268,0.09193349,0.09336529
13,0.12946698,0.12359256,0.03218922,0.09172576,0.09254875
14,0.12809629,0.12327895,0.03201117,0.09169401,0.09178990
15,0.12656688,0.12287583,0.03180843,0.09144992,0.09081465
16,0.12533541,0.12264774,0.03166755,0.09139082,0.09016276
17,0.12375614,0.12231648,0.03145195,0.09125547,0.08926077
18,0.12243453,0.12193882,0.03127909,0.09126516,0.08849071
19,0.12112674,0.12182282,0.03110378,0.09118186,0.08783646
20,0.11982782,0.12167160,0.03096703,0.09118426,0.08707663
21,0.11865135,0.12125249,0.03077952,0.09115409,0.08640015
22,0.11769805,0.12089696,0.03065844,0.09116741,0.08587350
23,0.11613303,0.12061657,0.03047321,0.09107074,0.08505692
24,0.11494695,0.12065755,0.03027857,0.09107445,0.08432088
25,0.11397340,0.12024656,0.03013366,0.09110788,0.08373680
26,0.11273281,0.12004855,0.02994271,0.09111707,0.08300455
27,0.11152484,0.11975825,0.02980372,0.09106634,0.08237922
28,0.10999124,0.11950532,0.02963632,0.09110547,0.08156549
29,0.10899278,0.11937544,0.02945794,0.09103538,0.08092886
30,0.10798133,0.11894514,0.02930018,0.09091621,0.08033032
31,0.10656710,0.11889964,0.02911393,0.09095815,0.07950769
32,0.10555423,0.11853299,0.02898394,0.09079386,0.07888143
33,0.10432039,0.11894463,0.02880307,0.09083119,0.07820702
34,0.10335617,0.11861073,0.02868045,0.09080264,0.07764396
35,0.10193731,0.11839767,0.02849749,0.09074968,0.07680467
36,0.10077467,0.11815177,0.02835703,0.09054177,0.07611566
37,0.09955362,0.11815398,0.02815750,0.09054259,0.07540244
38,0.09844082,0.11786156,0.02802096,0.09033617,0.07475028
39,0.09746311,0.11797726,0.02787699,0.09036840,0.07416346
40,0.09643690,0.11768534,0.02776695,0.09014325,0.07363181
41,0.09515769,0.11757269,0.02756292,0.09002091,0.07278242
42,0.09405389,0.11737248,0.02740698,0.08969103,0.07217611
43,0.09330921,0.11726372,0.02728934,0.08965233,0.07170248
44,0.09214249,0.11724042,0.02709974,0.08948173,0.07096417
45,0.09120577,0.11701737,0.02701547,0.08935867,0.07042875
46,0.09037452,0.11690423,0.02685072,0.08921613,0.06988665
