epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.19121576,0.16499779,0.10767514,0.09528000,0.19189075,4.14559199e-02,5.26970455e-04,1.66871983e-04,2.86712742e-02
2,0.16511689,0.15849956,0.10217838,0.09414305,0.16838383,7.37743534e-02,5.26442049e-04,1.67566145e-04,7.23843945e-02
3,0.16095764,0.15506519,0.10107648,0.09313890,0.16487071,7.79207507e-02,5.27220481e-04,1.67103302e-04,7.98241470e-02
4,0.15836363,0.15323712,0.10026614,0.09262871,0.16239384,8.07724656e-02,5.26195604e-04,1.66453459e-04,8.24065001e-02
5,0.15663391,0.15114526,0.09978714,0.09210088,0.16081781,8.25859426e-02,5.26046046e-04,1.66768658e-04,8.43213793e-02
6,0.15525918,0.14951103,0.09938320,0.09159083,0.15959304,8.46447668e-02,5.26159340e-04,1.66926128e-04,8.59708524e-02
7,0.15414324,0.14865120,0.09910445,0.09144270,0.15854764,8.61910735e-02,5.26853560e-04,1.65764127e-04,8.70854009e-02
8,0.15330435,0.14789343,0.09892067,0.09135298,0.15779174,8.73110320e-02,5.27279521e-04,1.66455279e-04,8.73434712e-02
9,0.15272437,0.14728092,0.09874954,0.09101464,0.15728066,8.74106835e-02,5.26589310e-04,1.67089044e-04,8.84711138e-02
10,0.15188915,0.14684158,0.09848429,0.09109574,0.15650042,8.83974059e-02,5.27399472e-04,1.66874556e-04,8.89003633e-02
11,0.15164541,0.14655581,0.09848937,0.09092949,0.15626286,8.82626711e-02,5.26011578e-04,1.67669685e-04,8.92872991e-02
12,0.15147503,0.14635091,0.09841270,0.09088772,0.15610206,8.94228638e-02,5.27549400e-04,1.66924159e-04,8.85748316e-02
13,0.15130487,0.14626509,0.09835431,0.09087437,0.15597225,8.86600646e-02,5.26573798e-04,1.67771924e-04,8.95065165e-02
14,0.15135862,0.14621395,0.09840789,0.09085855,0.15602001,8.91345530e-02,5.26358795e-04,1.66969274e-04,8.95486329e-02
15,0.15129588,0.14620235,0.09834455,0.09085778,0.15597630,8.92463446e-02,5.26846759e-04,1.66466601e-04,8.96308242e-02
16,0.15088157,0.14526403,0.09824522,0.09081156,0.15558343,8.92797646e-02,5.27338265e-04,1.66153824e-04,8.98407884e-02
17,0.14999167,0.14441297,0.09807927,0.09055785,0.15482030,9.13750955e-02,5.26172533e-04,1.67090441e-04,9.12666973e-02
18,0.14915408,0.14337055,0.09789487,0.09018610,0.15398883,9.04288635e-02,5.26443199e-04,1.66917880e-04,9.19054700e-02
19,0.14827925,0.14323922,0.09763430,0.09023711,0.15324384,9.27781332e-02,5.26869990e-04,1.66671524e-04,9.28898699e-02
20,0.14749486,0.14275053,0.09741505,0.09023618,0.15252192,9.37223214e-02,5.26520654e-04,1.66238236e-04,9.35955178e-02
21,0.14668747,0.14242150,0.09715198,0.09009496,0.15175074,9.37069115e-02,5.27008410e-04,1.67757090e-04,9.38380145e-02
22,0.14628825,0.14248459,0.09708441,0.09006549,0.15139605,9.46480707e-02,5.26811909e-04,1.65395257e-04,9.47118634e-02
23,0.14607152,0.14213887,0.09698324,0.09009946,0.15116178,9.43763042e-02,5.27141203e-04,1.66581681e-04,9.46741735e-02
24,0.14584872,0.14201045,0.09696209,0.09006484,0.15100820,9.54921296e-02,5.26643919e-04,1.67192203e-04,9.51114013e-02
25,0.14599592,0.14188393,0.09705487,0.09011202,0.15113473,9.51372487e-02,5.27307999e-04,1.67018179e-04,9.48200774e-02
26,0.14562030,0.14181563,0.09690186,0.09003425,0.15079056,9.59668232e-02,5.25738508e-04,1.67489017e-04,9.52869896e-02
27,0.14548945,0.14181791,0.09691911,0.09004946,0.15065301,9.61094922e-02,5.27176069e-04,1.66153800e-04,9.45915647e-02
28,0.14544543,0.14177220,0.09688939,0.09004885,0.15063559,9.56474661e-02,5.25880386e-04,1.67826315e-04,9.55662006e-02
29,0.14530601,0.14179278,0.09684221,0.09006167,0.15050333,9.59749141e-02,5.27472767e-04,1.65964858e-04,9.53855421e-02
30,0.14531785,0.14144256,0.09684522,0.08992954,0.15048665,9.57548078e-02,1.78348812e-03,5.17633805e-04,9.53415930e-02
31,0.13939731,0.13157046,0.09503882,0.08670159,0.14437283,9.63689267e-02,9.08506482e-02,2.74501568e-02,8.43970123e-02
32,0.13384963,0.12730459,0.09331969,0.08529968,0.13879518,9.86897831e-02,1.25716931e-01,5.59812267e-02,7.06170989e-02
33,0.13145069,0.12536824,0.09261380,0.08474560,0.13650109,9.86387063e-02,1.30279737e-01,6.81545800e-02,6.49031444e-02
34,0.12975777,0.12440027,0.09207982,0.08451586,0.13491942,9.98690684e-02,1.32091964e-01,7.35912193e-02,6.20525372e-02
35,0.12805765,0.12326583,0.09153913,0.08411147,0.13333696,1.00711777e-01,1.34096815e-01,7.73139000e-02,6.09472917e-02
36,0.12705161,0.12328051,0.09121597,0.08429243,0.13243597,1.01582171e-01,1.36500863e-01,7.94691652e-02,6.03561006e-02
37,0.12638621,0.12211729,0.09099200,0.08395827,0.13183712,1.02204640e-01,1.37315793e-01,8.13009973e-02,5.92881458e-02
38,0.12519575,0.12194363,0.09062780,0.08385020,0.13073118,1.01981145e-01,1.41017003e-01,8.28021292e-02,5.94944267e-02
39,0.12517266,0.12138216,0.09060313,0.08371858,0.13075573,1.03946853e-01,1.37655782e-01,8.40082327e-02,5.82912524e-02
40,0.12443326,0.12109417,0.09038265,0.08360833,0.13002708,1.03390046e-01,1.37673413e-01,8.44569007e-02,5.85162799e-02
41,0.12422862,0.12077770,0.09027289,0.08348557,0.12986238,1.04195231e-01,1.37911137e-01,8.53697757e-02,5.80841648e-02
42,0.12396814,0.12075182,0.09019819,0.08345004,0.12964190,1.04205771e-01,1.38728152e-01,8.60468475e-02,5.85176464e-02
43,0.12376911,0.12065445,0.09014498,0.08344904,0.12943325,1.04337929e-01,1.39396841e-01,8.57380381e-02,5.79681842e-02
44,0.12359487,0.12059381,0.09009039,0.08343059,0.12926133,1.04375106e-01,1.39913853e-01,8.57914073e-02,5.83658066e-02
45,0.12350973,0.12055942,0.09010603,0.08341931,0.12918564,1.04619957e-01,1.39853905e-01,8.56353892e-02,5.82265732e-02
46,0.12377192,0.11994034,0.09011213,0.08336230,0.12949673,1.05048346e-01,1.41508234e-01,8.64338058e-02,5.78059415e-02
47,0.12287772,0.11973411,0.08988703,0.08316303,0.12867108,1.04626104e-01,1.42876137e-01,8.78198652e-02,5.79405504e-02
48,0.12192750,0.11920996,0.08956554,0.08293266,0.12779937,1.06546449e-01,1.42602480e-01,8.95371641e-02,5.67204771e-02
49,0.12121751,0.11874819,0.08941446,0.08285376,0.12713385,1.05936574e-01,1.45277888e-01,9.05636619e-02,5.64644429e-02
50,0.12062130,0.11882073,0.08917057,0.08278368,0.12661567,1.07770200e-01,1.44902251e-01,9.11435989e-02,5.69887981e-02
51,0.12040927,0.11805491,0.08908575,0.08264030,0.12642366,1.07689712e-01,1.45997231e-01,9.22834231e-02,5.57623627e-02
52,0.12008989,0.11836057,0.08899787,0.08259520,0.12614406,1.07244741e-01,1.47685396e-01,9.29986462e-02,5.56339971e-02
53,0.11958850,0.11776025,0.08881045,0.08256302,0.12569982,1.08585944e-01,1.48102708e-01,9.29706002e-02,5.57155477e-02
54,0.11919910,0.11760271,0.08869761,0.08250594,0.12525914,1.07735699e-01,1.46063977e-01,9.30555116e-02,5.57674091e-02
55,0.11935829,0.11756373,0.08876879,0.08244358,0.12546950,1.08206680e-01,1.48786469e-01,9.37969278e-02,5.57737484e-02
56,0.11884100,0.11744196,0.08862252,0.08238619,0.12496391,1.08533801e-01,1.47099911e-01,9.42612468e-02,5.51668059e-02
57,0.11865766,0.11741389,0.08852435,0.08239172,0.12478498,1.08608500e-01,1.47748807e-01,9.39654026e-02,5.53692962e-02
58,0.11869489,0.11744575,0.08855174,0.08238571,0.12483618,1.08625627e-01,1.47949659e-01,9.44238799e-02,5.54051268e-02
59,0.11851852,0.11743537,0.08845748,0.08238934,0.12465452,1.08290319e-01,1.48928130e-01,9.44608472e-02,5.54049299e-02
60,0.11839608,0.11742513,0.08846052,0.08238890,0.12452869,1.08147847e-01,1.49252957e-01,9.42303352e-02,5.54693418e-02
61,0.11875378,0.11716810,0.08854699,0.08235099,0.12491674,1.08995238e-01,1.49034489e-01,9.47293581e-02,5.51732996e-02
62,0.11792423,0.11680471,0.08832154,0.08210867,0.12416849,1.10000283e-01,1.50530993e-01,9.54359305e-02,5.51391966e-02
63,0.11781919,0.11680344,0.08830341,0.08228758,0.12406214,1.09184726e-01,1.48691825e-01,9.57417845e-02,5.50980244e-02
64,0.11741486,0.11624121,0.08812630,0.08199877,0.12371707,1.10089583e-01,1.53434576e-01,9.59288597e-02,5.50796197e-02
65,0.11715293,0.11663095,0.08804971,0.08214707,0.12345458,1.11046580e-01,1.49798279e-01,9.61178871e-02,5.48688155e-02
66,0.11692046,0.11621342,0.08796761,0.08192807,0.12324303,1.10484189e-01,1.52251414e-01,9.68893536e-02,5.49556463e-02
67,0.11638777,0.11622754,0.08776736,0.08190495,0.12269635,1.10222906e-01,1.53535812e-01,9.69646801e-02,5.47764712e-02
68,0.11615098,0.11590191,0.08775993,0.08179802,0.12255706,1.11794037e-01,1.53660001e-01,9.76547500e-02,5.46383138e-02
69,0.11611356,0.11597221,0.08769110,0.08185651,0.12248767,1.11019114e-01,1.54453434e-01,9.77432916e-02,5.42509814e-02
70,0.11572349,0.11583298,0.08759658,0.08182468,0.12211125,1.11758204e-01,1.54748722e-01,9.75890686e-02,5.42702454e-02
71,0.11533697,0.11582413,0.08747371,0.08183841,0.12171546,1.11089685e-01,1.53718533e-01,9.77626208e-02,5.46862976e-02
72,0.11555868,0.11589329,0.08752024,0.08185976,0.12199985,1.12349979e-01,1.53946291e-01,9.78780465e-02,5.47231332e-02
73,0.11555816,0.11577681,0.08751823,0.08181541,0.12197616,1.11909622e-01,1.54247877e-01,9.78777832e-02,5.42961574e-02
74,0.11551720,0.11576003,0.08745946,0.08181048,0.12197082,1.12357528e-01,1.54562054e-01,9.80252050e-02,5.46544340e-02
75,0.11542941,0.11575187,0.08747544,0.08180363,0.12184020,1.11737655e-01,1.54615161e-01,9.79392492e-02,5.44780166e-02
76,0.11542679,0.11557436,0.08750313,0.08180048,0.12187372,1.11909295e-01,1.54634629e-01,9.80450952e-02,5.44129136e-02
77,0.11521123,0.11579432,0.08744021,0.08176242,0.12173203,1.13069786e-01,1.54027669e-01,9.85359279e-02,5.46983930e-02
78,0.11506056,0.11545994,0.08736881,0.08175075,0.12154676,1.12733875e-01,1.54134614e-01,9.90515654e-02,5.42896038e-02
79,0.11458136,0.11479317,0.08716204,0.08151112,0.12105689,1.12934247e-01,1.55700743e-01,9.87844830e-02,5.40765214e-02
80,0.11447805,0.11500651,0.08716613,0.08155345,0.12099059,1.12703976e-01,1.55409905e-01,9.95302168e-02,5.41022324e-02
81,0.11412108,0.11485399,0.08706923,0.08152542,0.12064651,1.13130469e-01,1.54169457e-01,9.95725975e-02,5.40060913e-02
82,0.11395600,0.11478434,0.08694842,0.08163934,0.12051148,1.13496647e-01,1.57436341e-01,9.97985294e-02,5.35960098e-02
83,0.11381732,0.11474584,0.08691163,0.08144384,0.12040510,1.14003209e-01,1.55161357e-01,1.00222370e-01,5.39160987e-02
84,0.11381174,0.11466741,0.08694943,0.08143972,0.12040039,1.13519783e-01,1.57206706e-01,1.00311891e-01,5.42821968e-02
85,0.11350064,0.11444959,0.08683659,0.08143819,0.12006763,1.13221820e-01,1.56948109e-01,1.00083190e-01,5.37360780e-02
86,0.11318332,0.11444392,0.08669221,0.08139240,0.11981524,1.14182149e-01,1.56756200e-01,1.00212685e-01,5.39299341e-02
87,0.11300703,0.11437280,0.08663975,0.08134335,0.11963385,1.14256502e-01,1.56971061e-01,1.00365516e-01,5.38090153e-02
88,0.11331567,0.11438448,0.08677740,0.08137765,0.11991167,1.13756860e-01,1.57231185e-01,1.00384700e-01,5.38800939e-02
89,0.11298670,0.11434258,0.08667723,0.08135651,0.11958912,1.14244070e-01,1.57270553e-01,1.00218912e-01,5.35874474e-02
90,0.11310904,0.11434379,0.08668494,0.08135933,0.11971389,1.14031487e-01,1.57164111e-01,1.00288584e-01,5.36884686e-02
91,0.11347020,0.11423769,0.08680952,0.08130696,0.12008589,1.14456177e-01,1.58199428e-01,1.00204927e-01,5.39130387e-02
92,0.11277307,0.11419968,0.08662954,0.08136692,0.11943337,1.14453665e-01,1.56622412e-01,1.01123620e-01,5.36613081e-02
93,0.11285184,0.11431641,0.08665241,0.08153052,0.11947844,1.14441193e-01,1.57269695e-01,1.00547641e-01,5.36895424e-02
94,0.11264451,0.11412610,0.08654501,0.08120080,0.11936513,1.15588055e-01,1.59481019e-01,1.01520261e-01,5.35739670e-02
95,0.11267418,0.11423717,0.08659350,0.08131942,0.11932373,1.14172176e-01,1.58451499e-01,1.01050260e-01,5.36002967e-02
96,0.11222222,0.11373564,0.08641015,0.08120320,0.11895591,1.15463489e-01,1.58473894e-01,1.01257843e-01,5.39793221e-02
97,0.11182710,0.11396544,0.08629676,0.08128285,0.11853709,1.15231241e-01,1.58328284e-01,1.01487178e-01,5.35936975e-02
98,0.11192744,0.11372489,0.08627583,0.08115605,0.11866645,1.15602426e-01,1.58475451e-01,1.01988229e-01,5.33658915e-02
99,0.11145863,0.11355443,0.08613515,0.08116877,0.11821103,1.15499471e-01,1.60589838e-01,1.02228651e-01,5.30931358e-02
100,0.11149038,0.11360662,0.08615703,0.08120188,0.11829229,1.16748206e-01,1.59182565e-01,1.02118063e-01,5.31066304e-02
101,0.11149484,0.11341125,0.08611746,0.08113330,0.11824044,1.16042415e-01,1.60599813e-01,1.01716496e-01,5.33407300e-02
