epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.19834121,0.18461279,0.10923554,0.09922239,0.19835830,0.10315367,2.20565729e-02,7.54970128e-05,2.18103519e-05,1.47714324e-02
2,0.17787553,0.16462575,0.10503846,0.09521990,0.17801141,0.10247501,6.10697622e-02,6.06250716e-04,2.14003874e-04,4.66095480e-02
3,0.16520291,0.15964359,0.10225516,0.09412842,0.16553535,0.10164545,7.42292939e-02,1.95788067e-03,5.94140206e-04,7.32090239e-02
4,0.16090213,0.15684482,0.10108575,0.09333124,0.16131954,0.10073496,8.13781991e-02,3.93584097e-03,1.16313442e-03,8.21807477e-02
5,0.15827997,0.15408354,0.10034734,0.09268873,0.15872658,0.09976541,8.52290303e-02,6.53633046e-03,2.03993014e-03,8.60343354e-02
6,0.15611891,0.15185040,0.09976578,0.09221076,0.15659057,0.09876797,8.75822761e-02,9.97193851e-03,3.42923291e-03,8.91096507e-02
7,0.15431310,0.14997379,0.09930630,0.09179894,0.15480372,0.09775388,8.90616693e-02,1.40420453e-02,5.40783517e-03,9.16676226e-02
8,0.15272445,0.14829398,0.09889858,0.09150673,0.15323307,0.09676769,9.02206898e-02,1.89374787e-02,8.03235620e-03,9.36503709e-02
9,0.15135573,0.14675307,0.09856071,0.09126601,0.15188243,0.09582594,9.15235089e-02,2.49417741e-02,1.12692012e-02,9.54007512e-02
10,0.15015513,0.14565477,0.09827472,0.09101763,0.15070052,0.09495386,9.29619253e-02,3.16265527e-02,1.50586398e-02,9.68701400e-02
11,0.14900494,0.14447660,0.09800095,0.09087529,0.14956676,0.09417084,9.38105289e-02,3.91572723e-02,1.92361984e-02,9.79045873e-02
12,0.14789168,0.14362948,0.09770541,0.09066758,0.14847428,0.09347103,9.55904693e-02,4.81653956e-02,2.37264485e-02,9.91165859e-02
13,0.14682320,0.14265112,0.09743806,0.09051435,0.14742604,0.09286780,9.64511501e-02,5.82485346e-02,2.84102936e-02,1.00138569e-01
14,0.14571793,0.14182891,0.09715967,0.09040809,0.14634470,0.09234551,9.79458707e-02,6.92104415e-02,3.33608180e-02,1.01115604e-01
15,0.14477760,0.14107261,0.09691268,0.09024536,0.14543061,0.09188619,9.92006697e-02,8.04901357e-02,3.86511053e-02,1.02165161e-01
16,0.14388890,0.14056100,0.09667112,0.09010149,0.14456866,0.09149489,1.00278384e-01,9.38797434e-02,4.41740332e-02,1.02859881e-01
17,0.14316106,0.14043777,0.09646456,0.09004337,0.14387170,0.09115419,1.01262757e-01,1.06355026e-01,5.03316466e-02,1.03538033e-01
18,0.14237418,0.13978027,0.09625789,0.08994402,0.14311973,0.09085817,1.01876809e-01,1.21712016e-01,5.68765428e-02,1.03948472e-01
19,0.14169171,0.13944168,0.09604255,0.08987342,0.14247715,0.09059997,1.03107550e-01,1.36833472e-01,6.36625343e-02,1.04518522e-01
20,0.14104817,0.13924537,0.09585451,0.08989341,0.14187929,0.09038249,1.04161606e-01,1.53642795e-01,7.07355559e-02,1.04683895e-01
21,0.14039648,0.13806553,0.09567210,0.08958352,0.14127739,0.09017057,1.04967353e-01,1.69781507e-01,7.86543292e-02,1.04856479e-01
22,0.13947719,0.13787673,0.09539845,0.08958102,0.14041878,0.08998119,1.05911745e-01,1.89158746e-01,8.61528239e-02,1.05222486e-01
23,0.13897091,0.13800590,0.09524855,0.08959542,0.13997791,0.08982183,1.06694351e-01,2.06967909e-01,9.45978228e-02,1.05238423e-01
24,0.13829338,0.13688482,0.09500923,0.08926979,0.13937460,0.08966449,1.07669946e-01,2.26185222e-01,1.03042951e-01,1.05234408e-01
25,0.13760031,0.13617142,0.09482839,0.08923293,0.13876606,0.08952134,1.08605540e-01,2.46778313e-01,1.11878805e-01,1.05279934e-01
26,0.13697205,0.13586519,0.09461707,0.08903125,0.13822897,0.08937862,1.08960219e-01,2.65747046e-01,1.21006191e-01,1.05436013e-01
27,0.13619732,0.13564164,0.09440625,0.08914314,0.13755646,0.08926337,1.10072409e-01,2.88401297e-01,1.29785642e-01,1.05319493e-01
28,0.13548630,0.13481946,0.09415530,0.08887413,0.13695907,0.08914851,1.10599894e-01,3.10186694e-01,1.39372345e-01,1.05191890e-01
29,0.13482382,0.13450044,0.09396356,0.08876990,0.13642106,0.08903429,1.11532802e-01,3.32820017e-01,1.49041520e-01,1.05103014e-01
30,0.13393438,0.13387708,0.09371567,0.08865143,0.13566097,0.08892764,1.12439529e-01,3.52632594e-01,1.58687739e-01,1.05118968e-01
31,0.13313139,0.13396412,0.09344319,0.08861487,0.13499692,0.08882953,1.12968948e-01,3.75806773e-01,1.68273315e-01,1.04752793e-01
32,0.13244016,0.13348419,0.09323795,0.08846407,0.13446703,0.08872703,1.13581764e-01,3.99053174e-01,1.78822958e-01,1.04747863e-01
33,0.13180317,0.13257647,0.09304893,0.08834695,0.13398754,0.08863345,1.13792114e-01,4.20209194e-01,1.88919090e-01,1.04519930e-01
34,0.13083203,0.13163032,0.09274210,0.08798019,0.13319399,0.08851950,1.14491198e-01,4.43855404e-01,1.99063224e-01,1.04694343e-01
35,0.12999560,0.13137395,0.09245476,0.08813398,0.13253980,0.08843787,1.15437599e-01,4.65651410e-01,2.08967312e-01,1.04355343e-01
36,0.12923862,0.13093776,0.09221722,0.08783696,0.13197858,0.08834121,1.15755055e-01,4.89764018e-01,2.19380709e-01,1.04683875e-01
37,0.12831663,0.12988115,0.09192895,0.08753120,0.13124696,0.08822532,1.16368175e-01,5.09559707e-01,2.28773937e-01,1.04544584e-01
38,0.12745237,0.12981399,0.09162548,0.08753997,0.13058349,0.08812357,1.17044186e-01,5.29852732e-01,2.38662016e-01,1.04551531e-01
39,0.12659464,0.12891732,0.09133592,0.08727905,0.12993355,0.08801631,1.17691793e-01,5.55233724e-01,2.47378004e-01,1.04371137e-01
40,0.12555417,0.12876576,0.09100761,0.08697391,0.12911976,0.08789460,1.18410073e-01,5.72306031e-01,2.58110426e-01,1.04307960e-01
41,0.12465085,0.12839570,0.09070661,0.08690357,0.12841099,0.08778497,1.18761291e-01,5.83720507e-01,2.67527743e-01,1.04286409e-01
42,0.12381213,0.12762868,0.09044757,0.08662479,0.12776163,0.08765912,1.19445753e-01,6.03725325e-01,2.75016808e-01,1.04215553e-01
43,0.12295397,0.12643668,0.09012771,0.08628303,0.12712266,0.08752486,1.19982593e-01,6.20449727e-01,2.84742942e-01,1.04235471e-01
44,0.12201636,0.12614886,0.08981977,0.08619496,0.12638563,0.08738588,1.20379802e-01,6.35938973e-01,2.92772393e-01,1.04212648e-01
45,0.12112896,0.12548349,0.08951937,0.08607523,0.12570490,0.08725028,1.21143269e-01,6.48807399e-01,3.01528452e-01,1.04060684e-01
46,0.12013705,0.12491547,0.08918641,0.08576760,0.12488747,0.08710393,1.21951447e-01,6.57571035e-01,3.09192913e-01,1.03970692e-01
