epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.19687584,0.17999302,0.10890717,0.09838377,0.19697997,0.10312730,2.42928998e-02,6.43429902e-05,2.62666658e-05,1.60073994e-02
2,0.17392882,0.16122525,0.10407694,0.09446133,0.17475655,0.10241151,6.61321166e-02,1.81087618e-04,4.90646431e-05,5.02573493e-02
3,0.16202245,0.15788452,0.10150515,0.09376919,0.16378563,0.10155548,7.58135298e-02,5.78082840e-04,1.46163497e-04,7.50705461e-02
4,0.15892420,0.15492448,0.10063736,0.09300720,0.16099017,0.10063348,7.99317263e-02,1.10594144e-03,2.82343244e-04,8.21064178e-02
5,0.15655925,0.15246348,0.09995030,0.09235230,0.15873195,0.09966734,8.31311773e-02,1.72799818e-03,4.57844045e-04,8.52956368e-02
6,0.15446421,0.15023017,0.09935057,0.09188632,0.15673775,0.09868402,8.61838873e-02,2.49704125e-03,6.83083899e-04,8.76732348e-02
7,0.15286484,0.14846643,0.09892151,0.09139156,0.15522964,0.09770265,8.84416547e-02,3.38931957e-03,9.78995355e-04,8.97289497e-02
8,0.15134774,0.14728868,0.09854039,0.09115317,0.15378186,0.09675504,8.95519982e-02,4.44308608e-03,1.37334542e-03,9.12077601e-02
9,0.15009476,0.14628532,0.09819730,0.09092995,0.15260685,0.09586108,9.17420280e-02,5.69689323e-03,1.91967502e-03,9.25961854e-02
10,0.14881357,0.14513839,0.09787438,0.09077321,0.15138018,0.09503877,9.30328459e-02,7.07856042e-03,2.59882224e-03,9.37200315e-02
11,0.14756692,0.14405129,0.09757322,0.09049188,0.15019819,0.09428809,9.47480680e-02,8.66955302e-03,3.39861810e-03,9.48752903e-02
12,0.14624483,0.14309371,0.09721887,0.09029669,0.14893252,0.09362224,9.64606729e-02,1.03401612e-02,4.26889290e-03,9.61474383e-02
13,0.14500429,0.14224567,0.09692162,0.09024185,0.14774971,0.09304291,9.78139625e-02,1.24258716e-02,5.22247314e-03,9.73892662e-02
14,0.14396775,0.14171760,0.09665307,0.09011465,0.14677043,0.09254728,9.87558363e-02,1.47063789e-02,6.27457967e-03,9.86820505e-02
15,0.14314561,0.14135396,0.09641995,0.09012989,0.14599849,0.09213885,1.00545795e-01,1.70560380e-02,7.39435921e-03,9.93381561e-02
16,0.14225871,0.14068156,0.09617860,0.09005552,0.14514740,0.09179186,1.01207588e-01,1.98311827e-02,8.65059297e-03,1.00098524e-01
17,0.14156052,0.13971515,0.09598379,0.08987375,0.14448384,0.09148335,1.02249690e-01,2.26752640e-02,9.96699944e-03,1.00675511e-01
18,0.14091624,0.13955585,0.09580348,0.08979836,0.14387472,0.09122418,1.03525709e-01,2.56760836e-02,1.13423610e-02,1.00888187e-01
19,0.14027385,0.13926908,0.09560139,0.08981541,0.14325337,0.09100397,1.04128608e-01,2.90534124e-02,1.28556067e-02,1.01202937e-01
20,0.13957598,0.13857671,0.09540022,0.08969775,0.14258584,0.09080297,1.05090763e-01,3.24314067e-02,1.43831027e-02,1.01442460e-01
21,0.13904754,0.13825707,0.09522300,0.08956249,0.14208524,0.09061907,1.06215403e-01,3.64653092e-02,1.61093352e-02,1.01408843e-01
22,0.13852338,0.13751467,0.09508514,0.08950643,0.14157439,0.09045498,1.06870384e-01,4.00171448e-02,1.78733208e-02,1.01256270e-01
23,0.13789998,0.13728823,0.09490632,0.08949896,0.14098178,0.09030836,1.07742789e-01,4.47890888e-02,1.96693004e-02,1.01142537e-01
24,0.13735991,0.13687170,0.09473505,0.08951496,0.14046611,0.09017956,1.08670819e-01,4.89010126e-02,2.16740510e-02,1.00985901e-01
25,0.13688425,0.13641379,0.09459550,0.08936628,0.14002045,0.09005013,1.09170167e-01,5.36977526e-02,2.36169947e-02,1.00956852e-01
26,0.13611231,0.13579624,0.09437121,0.08917789,0.13927991,0.08992014,1.10090420e-01,5.86928572e-02,2.56875760e-02,1.00687516e-01
27,0.13566582,0.13551151,0.09421475,0.08916081,0.13886676,0.08979836,1.10879294e-01,6.33306166e-02,2.78589470e-02,1.00514451e-01
