epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.19041803,0.16958407,0.10764990,0.09614154,0.19047195,3.70254844e-02,1.55974958e-05,7.42391537e-06,2.68850289e-02
2,0.16609145,0.16096373,0.10254445,0.09450753,0.16639446,7.05645360e-02,3.61537260e-04,8.95600030e-05,7.16450677e-02
3,0.16028688,0.15661801,0.10101816,0.09334559,0.16071071,7.98873307e-02,1.04537345e-03,2.49186471e-04,8.48255411e-02
4,0.15712016,0.15308365,0.10015076,0.09240139,0.15757909,8.42447835e-02,1.94749834e-03,4.89541990e-04,8.94921011e-02
5,0.15471387,0.15048288,0.09950629,0.09187578,0.15519919,8.65378638e-02,3.13834578e-03,8.15698764e-04,9.29890635e-02
6,0.15291971,0.14850952,0.09902984,0.09144606,0.15342933,8.83702568e-02,4.66749447e-03,1.25895071e-03,9.57879688e-02
7,0.15170364,0.14716635,0.09873005,0.09112499,0.15223089,8.94839469e-02,6.49529084e-03,1.90957291e-03,9.76420910e-02
8,0.15058247,0.14624756,0.09844169,0.09098378,0.15112543,9.07347721e-02,8.70700116e-03,2.81529894e-03,9.92280747e-02
9,0.14952780,0.14505906,0.09814302,0.09074898,0.15008272,9.18586170e-02,1.11520473e-02,3.94511603e-03,1.00281104e-01
10,0.14856707,0.14438500,0.09792345,0.09064267,0.14913383,9.29640124e-02,1.41053211e-02,5.32662753e-03,1.01576094e-01
11,0.14760907,0.14363908,0.09767921,0.09052778,0.14818645,9.38483275e-02,1.75334554e-02,6.85794311e-03,1.02584688e-01
12,0.14658905,0.14298581,0.09741833,0.09042271,0.14717746,9.50130230e-02,2.12111996e-02,8.59891107e-03,1.03670760e-01
13,0.14576064,0.14245548,0.09719375,0.09038612,0.14636104,9.61192826e-02,2.53794023e-02,1.04781039e-02,1.04682067e-01
14,0.14500744,0.14227267,0.09699959,0.09038761,0.14561709,9.68075065e-02,3.01458490e-02,1.25686063e-02,1.05429461e-01
15,0.14434392,0.14187532,0.09683154,0.09029275,0.14496373,9.81107132e-02,3.51886062e-02,1.48401598e-02,1.06050550e-01
