epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.18780473,0.16745589,0.10706024,0.09583913,0.18793409,3.44312305e-02,1.04237969e-05,8.76817374e-06,3.14210512e-02
2,0.16520664,0.16164668,0.10228589,0.09489131,0.16583751,7.31049460e-02,1.80316363e-04,4.78567281e-05,7.17571585e-02
3,0.16066344,0.15850465,0.10117342,0.09404049,0.16149099,8.06697540e-02,5.30552612e-04,1.42451393e-04,8.31422035e-02
4,0.15793805,0.15536001,0.10046626,0.09320074,0.15881158,8.32539227e-02,1.01917046e-03,2.90102727e-04,8.72437367e-02
5,0.15547257,0.15308063,0.09981816,0.09268718,0.15638887,8.56255139e-02,1.65097659e-03,4.84836777e-04,9.03079825e-02
6,0.15351436,0.15099422,0.09929822,0.09211411,0.15447396,8.76019480e-02,2.46321571e-03,7.36618475e-04,9.28705433e-02
7,0.15181081,0.14935987,0.09883476,0.09174312,0.15281549,8.95174771e-02,3.42588721e-03,1.07260121e-03,9.51379627e-02
8,0.15039172,0.14789853,0.09846364,0.09139663,0.15143614,9.13591212e-02,4.56099117e-03,1.54158966e-03,9.67266727e-02
9,0.14904898,0.14653292,0.09808233,0.09098833,0.15012915,9.28325607e-02,5.88919618e-03,2.13768500e-03,9.81366301e-02
10,0.14785306,0.14538881,0.09775237,0.09075803,0.14896609,9.46523252e-02,7.43459359e-03,2.84577335e-03,9.94274083e-02
11,0.14673520,0.14414137,0.09744040,0.09053398,0.14787294,9.55769608e-02,9.14275151e-03,3.65810915e-03,1.00705945e-01
12,0.14557721,0.14348704,0.09712413,0.09034016,0.14673999,9.67949145e-02,1.11185818e-02,4.54152178e-03,1.01805712e-01
13,0.14473556,0.14275154,0.09688058,0.09025523,0.14591681,9.77606567e-02,1.32903085e-02,5.54547875e-03,1.02583521e-01
14,0.14389833,0.14223647,0.09664455,0.09024078,0.14509769,9.84884706e-02,1.57672866e-02,6.62530377e-03,1.03355608e-01
15,0.14314558,0.14176165,0.09641995,0.09013356,0.14436307,9.98097656e-02,1.83774070e-02,7.81499959e-03,1.04023862e-01
16,0.14235659,0.14141861,0.09619920,0.09007045,0.14358975,1.00795319e-01,2.12763713e-02,9.13273114e-03,1.04545265e-01
17,0.14167806,0.14106613,0.09600168,0.09002063,0.14292438,1.01484470e-01,2.43424085e-02,1.05102743e-02,1.05012640e-01
18,0.14108041,0.14093823,0.09583779,0.09006269,0.14234356,1.02878877e-01,2.76496920e-02,1.20335592e-02,1.05336537e-01
19,0.14038206,0.14048319,0.09563065,0.08995618,0.14165797,1.03901604e-01,3.11073453e-02,1.35879673e-02,1.05356696e-01
20,0.13982352,0.14039172,0.09545969,0.08999203,0.14111515,1.04821563e-01,3.50762397e-02,1.53232821e-02,1.05855666e-01
21,0.13932415,0.14031980,0.09531671,0.09001121,0.14062776,1.05433228e-01,3.86604817e-02,1.71255025e-02,1.05967101e-01
22,0.13880418,0.13967770,0.09517572,0.08982438,0.14011961,1.06395248e-01,4.26015348e-02,1.90155569e-02,1.06200805e-01
23,0.13827976,0.13959586,0.09502139,0.08985022,0.13960867,1.07420963e-01,4.75479068e-02,2.10533501e-02,1.06032127e-01
24,0.13789772,0.13959828,0.09490181,0.08986484,0.13924209,1.08083450e-01,5.23261981e-02,2.30781237e-02,1.06299395e-01
25,0.13744602,0.13921307,0.09478153,0.08980771,0.13880021,1.08520331e-01,5.67566406e-02,2.53127128e-02,1.06241529e-01
26,0.13698754,0.13867252,0.09465441,0.08974757,0.13835694,1.09454993e-01,6.15306331e-02,2.76068827e-02,1.06141031e-01
27,0.13664509,0.13881990,0.09455687,0.08977477,0.13802762,1.09784175e-01,6.67796621e-02,3.00288854e-02,1.06235722e-01
28,0.13619811,0.13851429,0.09442451,0.08973730,0.13759676,1.10405108e-01,7.27162113e-02,3.23877377e-02,1.05985025e-01
29,0.13579765,0.13795336,0.09432218,0.08960114,0.13721244,1.10932554e-01,7.86597583e-02,3.49615887e-02,1.05983272e-01
30,0.13536343,0.13783344,0.09416974,0.08960647,0.13679979,1.11535582e-01,8.48330314e-02,3.75062947e-02,1.05914904e-01
31,0.13496709,0.13744677,0.09404766,0.08951179,0.13641983,1.11986169e-01,9.03451568e-02,4.02071208e-02,1.05719203e-01
32,0.13450039,0.13753760,0.09390890,0.08956660,0.13597825,1.12631160e-01,9.68374630e-02,4.29879611e-02,1.05568556e-01
33,0.13400950,0.13698464,0.09376749,0.08944214,0.13551012,1.13074709e-01,1.03160754e-01,4.56980504e-02,1.05633899e-01
34,0.13354870,0.13638728,0.09363936,0.08933293,0.13507634,1.13851941e-01,1.10473584e-01,4.85879745e-02,1.05461385e-01
35,0.13294344,0.13616053,0.09345193,0.08933574,0.13450048,1.14485957e-01,1.16733731e-01,5.15211356e-02,1.05423166e-01
36,0.13249704,0.13560186,0.09332454,0.08914370,0.13408307,1.15056376e-01,1.24710457e-01,5.44756423e-02,1.05219720e-01
37,0.13207686,0.13553716,0.09318220,0.08920781,0.13369448,1.15723957e-01,1.32293382e-01,5.74655209e-02,1.04966432e-01
38,0.13169474,0.13531435,0.09305976,0.08922217,0.13334864,1.16194044e-01,1.38847810e-01,6.06514607e-02,1.05194337e-01
39,0.13100463,0.13489991,0.09285371,0.08900323,0.13269848,1.17000574e-01,1.47354654e-01,6.36962985e-02,1.04879335e-01
40,0.13059457,0.13427878,0.09270104,0.08886632,0.13232793,1.17587478e-01,1.54553257e-01,6.69565390e-02,1.04757926e-01
41,0.12998397,0.13463113,0.09250833,0.08889287,0.13176495,1.18594205e-01,1.63145146e-01,7.02687471e-02,1.04720914e-01
42,0.12964964,0.13403697,0.09239544,0.08875192,0.13147048,1.19004913e-01,1.70756082e-01,7.36387574e-02,1.04593378e-01
43,0.12916721,0.13349727,0.09223459,0.08850583,0.13104125,1.20030168e-01,1.79574032e-01,7.70141501e-02,1.04609764e-01
44,0.12869693,0.13347074,0.09206273,0.08861500,0.13062183,1.20463470e-01,1.88360915e-01,8.03085936e-02,1.04444785e-01
45,0.12833568,0.13407911,0.09193954,0.08867728,0.13031858,1.21250456e-01,1.96858919e-01,8.39655317e-02,1.04599116e-01
46,0.12779502,0.13379760,0.09176944,0.08864712,0.12983289,1.21822637e-01,2.05689492e-01,8.72847154e-02,1.04599771e-01
47,0.12723513,0.13315337,0.09156378,0.08842074,0.12933757,1.22415830e-01,2.15286206e-01,9.11834757e-02,1.04481194e-01
