epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.20786754,0.20128557,0.11129615,0.10271416,0.20787034,0.10347987,3.56437650e-03,3.60110288e-04,9.09447746e-05,2.75535533e-03
2,0.20397899,0.19679963,0.11035243,0.10173146,0.20400322,0.10330187,1.22861420e-02,1.69924695e-04,7.01927947e-05,9.00126885e-03
3,0.19916606,0.19127190,0.10927709,0.10059378,0.19924755,0.10303196,2.37359564e-02,5.59179424e-04,2.13899316e-04,1.63363485e-02
4,0.19381821,0.18464301,0.10819885,0.09923868,0.19401242,0.10267082,3.72125864e-02,1.13998430e-03,4.40351186e-04,2.45602889e-02
5,0.18771916,0.17732472,0.10700694,0.09776598,0.18808469,0.10222342,4.94778734e-02,1.83872191e-03,7.18734029e-04,3.29821241e-02
6,0.18148416,0.17047490,0.10578737,0.09641638,0.18210397,0.10169756,5.85510229e-02,2.60430404e-03,9.87586365e-04,4.34153221e-02
7,0.17607855,0.16533738,0.10473245,0.09542514,0.17702032,0.10110881,6.32485190e-02,3.43619593e-03,1.23285196e-03,5.40520049e-02
8,0.17149842,0.16232477,0.10376962,0.09490743,0.17277623,0.10047063,6.54654487e-02,4.33687517e-03,1.46694392e-03,6.34095897e-02
9,0.16905526,0.16065095,0.10318855,0.09455227,0.17064050,0.09980555,6.83101944e-02,5.51717736e-03,1.71544445e-03,7.00597577e-02
10,0.16744698,0.15947171,0.10279517,0.09420454,0.16919475,0.09913805,7.10863688e-02,6.94978352e-03,2.13710099e-03,7.34627366e-02
11,0.16628586,0.15837788,0.10251160,0.09396887,0.16809119,0.09848415,7.35940470e-02,7.99815555e-03,2.62444859e-03,7.54620428e-02
12,0.16493172,0.15731595,0.10216500,0.09370313,0.16680430,0.09784787,7.49027603e-02,9.74086876e-03,3.34624569e-03,7.70593956e-02
