epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.15594460,0.14433704,0.09974380,0.09041175,0.15810716,8.16104998e-02,5.55428071e-04,1.80152593e-04,8.46827661e-02
2,0.14399404,0.14112537,0.09660282,0.09014004,0.14679316,9.64194198e-02,5.55532229e-04,1.79576561e-04,1.00013158e-01
3,0.14047242,0.13966695,0.09558874,0.08972247,0.14344008,1.01802138e-01,5.55391949e-04,1.79552604e-04,1.02725058e-01
4,0.13849719,0.13855682,0.09501468,0.08931438,0.14153763,1.05332077e-01,5.55694387e-04,1.79415765e-04,1.03643087e-01
5,0.13713108,0.13854850,0.09458717,0.08961560,0.14019367,1.07091051e-01,5.55058265e-04,1.79880451e-04,1.03745904e-01
6,0.13582109,0.13682919,0.09419846,0.08925692,0.13889805,1.09243011e-01,5.55544371e-04,1.80053157e-04,1.03647084e-01
7,0.13488750,0.13560678,0.09389923,0.08900357,0.13798961,1.10927795e-01,5.55639944e-04,1.79818251e-04,1.03656352e-01
8,0.13401038,0.13599975,0.09361945,0.08918121,0.13712778,1.11995826e-01,5.55264313e-04,1.79870920e-04,1.03597788e-01
9,0.13350084,0.13523857,0.09346600,0.08897718,0.13662830,1.12672728e-01,5.55262423e-04,1.79726833e-04,1.03552046e-01
10,0.13303437,0.13480248,0.09331303,0.08893714,0.13617321,1.13516872e-01,5.55521756e-04,1.80148251e-04,1.03438903e-01
11,0.13267713,0.13548179,0.09319969,0.08904308,0.13582294,1.13556647e-01,5.55207480e-04,1.79907788e-04,1.03487685e-01
12,0.13242407,0.13480705,0.09311024,0.08897597,0.13557487,1.14146930e-01,5.54782607e-04,1.79510552e-04,1.03315413e-01
13,0.13234521,0.13471354,0.09308442,0.08888846,0.13550359,1.14475971e-01,5.55173582e-04,1.80552781e-04,1.03404388e-01
14,0.13228303,0.13475138,0.09307590,0.08892926,0.13543206,1.13849764e-01,5.55465682e-04,1.80186500e-04,1.03392808e-01
15,0.13209843,0.13470515,0.09301392,0.08892820,0.13525749,1.14569710e-01,5.55559802e-04,1.79545032e-04,1.03285767e-01
16,0.11978537,0.11679243,0.08908545,0.08261305,0.12298920,1.17131540e-01,1.38654151e-01,6.21063721e-02,7.90551689e-02
17,0.11255630,0.11389896,0.08670773,0.08180648,0.11602245,1.21480001e-01,1.54777156e-01,8.82546116e-02,6.59434317e-02
18,0.10959294,0.11298080,0.08569240,0.08121490,0.11322080,1.23587568e-01,1.61297110e-01,9.43362270e-02,6.25895426e-02
19,0.10757547,0.11173119,0.08498298,0.08091382,0.11131719,1.25623495e-01,1.65429927e-01,9.77309679e-02,6.05351720e-02
20,0.10607472,0.11208968,0.08445860,0.08090998,0.10990250,1.27311985e-01,1.69291487e-01,9.94639495e-02,5.95518593e-02
21,0.10485078,0.11106080,0.08402020,0.08059232,0.10874253,1.28584386e-01,1.70634823e-01,1.00772301e-01,5.86548165e-02
22,0.10391771,0.11092640,0.08363624,0.08081374,0.10787823,1.30165536e-01,1.72916255e-01,1.01875807e-01,5.80588003e-02
23,0.10315511,0.11087666,0.08333089,0.08086937,0.10715155,1.30908724e-01,1.74209548e-01,1.02499481e-01,5.78478270e-02
