epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.15714206,0.14656960,0.10004274,0.09098498,0.15759599,8.43635317e-02,5.55747373e-04,1.80013996e-04,8.57618092e-02
2,0.14486347,0.14185135,0.09681297,0.09009803,0.14546034,1.00159901e-01,5.55590232e-04,1.79655912e-04,1.02789070e-01
3,0.14120164,0.14045678,0.09581460,0.08992521,0.14183649,1.06033773e-01,5.55204337e-04,1.79684043e-04,1.06199192e-01
4,0.13901533,0.13960384,0.09516729,0.08985217,0.13966816,1.09859959e-01,5.55189317e-04,1.79980107e-04,1.07272037e-01
5,0.13761989,0.13831004,0.09473507,0.08978904,0.13828082,1.11988796e-01,5.55227595e-04,1.80096479e-04,1.07742840e-01
6,0.13642306,0.13772509,0.09436829,0.08975217,0.13708831,1.14208913e-01,5.54703044e-04,1.80452939e-04,1.07632323e-01
7,0.13557926,0.13670191,0.09409757,0.08931757,0.13624798,1.15672083e-01,5.55723148e-04,1.79598479e-04,1.07459698e-01
8,0.13486742,0.13642181,0.09387794,0.08944347,0.13553670,1.16380535e-01,5.55296373e-04,1.80134091e-04,1.07136457e-01
9,0.13430848,0.13653739,0.09369554,0.08946656,0.13498025,1.17625268e-01,5.55372761e-04,1.79610796e-04,1.06936487e-01
10,0.13381895,0.13572757,0.09354460,0.08931307,0.13449323,1.18150671e-01,5.55313132e-04,1.80192042e-04,1.06836256e-01
11,0.13350848,0.13576650,0.09343738,0.08931698,0.13418369,1.18767391e-01,5.55644992e-04,1.80152704e-04,1.06929792e-01
12,0.13334291,0.13546831,0.09338961,0.08922054,0.13401939,1.18759195e-01,5.55054122e-04,1.79770576e-04,1.06939547e-01
13,0.13313703,0.13543105,0.09331049,0.08928956,0.13381337,1.18960552e-01,5.54970698e-04,1.80175643e-04,1.06836432e-01
14,0.13303086,0.13544817,0.09328915,0.08926229,0.13370787,1.19130640e-01,5.55465148e-04,1.80290392e-04,1.06752719e-01
15,0.13291055,0.13545032,0.09325254,0.08926748,0.13358787,1.19287925e-01,5.54937583e-04,1.79990598e-04,1.06872705e-01
16,0.12014491,0.11722040,0.08917791,0.08293572,0.12089168,1.23586819e-01,1.47725117e-01,5.66216861e-02,9.57462603e-02
17,0.11300648,0.11394959,0.08682117,0.08170448,0.11380804,1.28856769e-01,1.65217801e-01,8.30201410e-02,8.47380128e-02
18,0.10990657,0.11245971,0.08576587,0.08108508,0.11073963,1.31989762e-01,1.71859334e-01,9.10668923e-02,7.82756563e-02
19,0.10787657,0.11170856,0.08504796,0.08098853,0.10873002,1.34486933e-01,1.76847316e-01,9.58257688e-02,7.35343794e-02
20,0.10653825,0.11163491,0.08455894,0.08113928,0.10740869,1.36537945e-01,1.79396314e-01,9.90938639e-02,7.06009179e-02
21,0.10524698,0.11125671,0.08409060,0.08094885,0.10613396,1.38269480e-01,1.81973915e-01,1.01033544e-01,6.88196855e-02
22,0.10424651,0.11083082,0.08372168,0.08084847,0.10514771,1.39892484e-01,1.83908845e-01,1.02454154e-01,6.74130278e-02
23,0.10345403,0.11036764,0.08344572,0.08087030,0.10436548,1.41044227e-01,1.86032500e-01,1.03594884e-01,6.62735307e-02
24,0.10285169,0.11081179,0.08320620,0.08109662,0.10377085,1.42130264e-01,1.86756196e-01,1.04436961e-01,6.53055386e-02
25,0.10243980,0.11077992,0.08304166,0.08098161,0.10336408,1.42587547e-01,1.87746859e-01,1.04939940e-01,6.48641718e-02
26,0.10200510,0.11046730,0.08289511,0.08090143,0.10293441,1.43102348e-01,1.88596081e-01,1.05230224e-01,6.43984498e-02
27,0.10193885,0.11077959,0.08283321,0.08099394,0.10287053,1.43480200e-01,1.89107180e-01,1.05330312e-01,6.43199472e-02
28,0.10169515,0.11059527,0.08275472,0.08093647,0.10262757,1.43333091e-01,1.88940872e-01,1.05537482e-01,6.42528037e-02
29,0.10167150,0.11066539,0.08274366,0.08094942,0.10260386,1.43401552e-01,1.88771702e-01,1.05617926e-01,6.41680786e-02
30,0.10160937,0.11060153,0.08272855,0.08093609,0.10254145,1.43293902e-01,1.89047491e-01,1.05683653e-01,6.41508158e-02
31,0.10151066,0.11026091,0.08270299,0.08096775,0.10244953,1.44136506e-01,1.89771580e-01,1.06338716e-01,6.36324994e-02
32,0.10062074,0.11023880,0.08234309,0.08099875,0.10157189,1.45623675e-01,1.91346351e-01,1.06899064e-01,6.34517528e-02
33,0.09987074,0.11110705,0.08203944,0.08131206,0.10082989,1.46559347e-01,1.92268666e-01,1.07723160e-01,6.27966661e-02
34,0.09906311,0.11088986,0.08173299,0.08133341,0.10003497,1.48199162e-01,1.93610656e-01,1.08304241e-01,6.21449648e-02
35,0.09848281,0.11103911,0.08150006,0.08132737,0.09946235,1.48956086e-01,1.94613113e-01,1.09055313e-01,6.14567908e-02
36,0.09789383,0.11110145,0.08125877,0.08128708,0.09887921,1.49663048e-01,1.95259164e-01,1.09479308e-01,6.15451086e-02
37,0.09742280,0.11093008,0.08105885,0.08125474,0.09841702,1.50722345e-01,1.96066476e-01,1.10061160e-01,6.08180054e-02
38,0.09699795,0.11088199,0.08090822,0.08122761,0.09799285,1.51048655e-01,1.96111906e-01,1.10246283e-01,6.05527747e-02
39,0.09677493,0.11143396,0.08079480,0.08131697,0.09777391,1.51364065e-01,1.96603604e-01,1.10469166e-01,6.02700690e-02
40,0.09646610,0.11111476,0.08068765,0.08130250,0.09746674,1.51697340e-01,1.96608595e-01,1.10423167e-01,5.99347369e-02
41,0.09616448,0.11145016,0.08053517,0.08139527,0.09716834,1.52130771e-01,1.97502461e-01,1.10613498e-01,6.00465403e-02
42,0.09588753,0.11094291,0.08044312,0.08127175,0.09689334,1.52669747e-01,1.96909437e-01,1.11100281e-01,5.95724773e-02
43,0.09594898,0.11095278,0.08044951,0.08117199,0.09696024,1.52979234e-01,1.97586190e-01,1.11188798e-01,5.98182497e-02
44,0.09588515,0.11113185,0.08040792,0.08120517,0.09689477,1.52836354e-01,1.97154185e-01,1.11061094e-01,5.98359959e-02
45,0.09589272,0.11114632,0.08042469,0.08121558,0.09690169,1.52668575e-01,1.97287979e-01,1.11107021e-01,5.99764217e-02
46,0.09593251,0.11097385,0.08042362,0.08107815,0.09694569,1.53341355e-01,1.98518905e-01,1.11379369e-01,5.97826967e-02
47,0.09543453,0.11110485,0.08023873,0.08115239,0.09645476,1.53742527e-01,1.99226733e-01,1.11670653e-01,5.96629750e-02
48,0.09493783,0.11197869,0.08003277,0.08135903,0.09596429,1.54645003e-01,2.00309405e-01,1.12133399e-01,5.91659305e-02
49,0.09435563,0.11172663,0.07980818,0.08115009,0.09538940,1.55415325e-01,1.99526061e-01,1.12466910e-01,5.88716912e-02
50,0.09389568,0.11152793,0.07958322,0.08133856,0.09493602,1.56386247e-01,2.00136847e-01,1.12738712e-01,5.85141986e-02
51,0.09361651,0.11269322,0.07942997,0.08135553,0.09465807,1.56452552e-01,2.00089036e-01,1.12820836e-01,5.86109167e-02
52,0.09320600,0.11214465,0.07930320,0.08124434,0.09425392,1.57097281e-01,2.02517943e-01,1.13345237e-01,5.82083607e-02
53,0.09288379,0.11205970,0.07915832,0.08116647,0.09393733,1.58168896e-01,2.01366912e-01,1.13295891e-01,5.81830730e-02
54,0.09266068,0.11176434,0.07901721,0.08120117,0.09371621,1.57974293e-01,2.02846011e-01,1.13642142e-01,5.78732561e-02
55,0.09242626,0.11192005,0.07895971,0.08087535,0.09348401,1.58281038e-01,2.02768795e-01,1.13739797e-01,5.81059944e-02
56,0.09230049,0.11245189,0.07888330,0.08116433,0.09335995,1.58453051e-01,2.02346125e-01,1.13713962e-01,5.81188065e-02
57,0.09220217,0.11222978,0.07882726,0.08112078,0.09326062,1.58506802e-01,2.02145330e-01,1.13883160e-01,5.79088111e-02
58,0.09215159,0.11228598,0.07878290,0.08115198,0.09321285,1.58487519e-01,2.02786538e-01,1.13986646e-01,5.80426286e-02
59,0.09190117,0.11218456,0.07872562,0.08110649,0.09296204,1.58550712e-01,2.02903490e-01,1.13924363e-01,5.79924114e-02
60,0.09191922,0.11218552,0.07871979,0.08109207,0.09298138,1.58816543e-01,2.03080817e-01,1.13950431e-01,5.79074501e-02
61,0.09207599,0.11273593,0.07876945,0.08118025,0.09313866,1.58824150e-01,2.02906126e-01,1.14163112e-01,5.77907808e-02
62,0.09171511,0.11281780,0.07860327,0.08143838,0.09278395,1.59344688e-01,2.03676049e-01,1.14269508e-01,5.79325777e-02
63,0.09139453,0.11349692,0.07846110,0.08140244,0.09246700,1.59929879e-01,2.03284531e-01,1.14423289e-01,5.80266978e-02
64,0.09080017,0.11298326,0.07822726,0.08110045,0.09188089,1.60597764e-01,2.04637031e-01,1.15014203e-01,5.73391961e-02
65,0.09065178,0.11332107,0.07812707,0.08140434,0.09173432,1.60823311e-01,2.04729548e-01,1.14978435e-01,5.74377002e-02
66,0.09041653,0.11349435,0.07806060,0.08125560,0.09150081,1.61000936e-01,2.05376468e-01,1.14932937e-01,5.74071091e-02
67,0.09001368,0.11366182,0.07788040,0.08132749,0.09110194,1.61520404e-01,2.05536982e-01,1.15009516e-01,5.76548300e-02
68,0.08966278,0.11339093,0.07772905,0.08122931,0.09075412,1.61834752e-01,2.05644443e-01,1.14924583e-01,5.76398289e-02
