epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.53931477,0.20926525,0.19294335,0.11371103,0.66308686
2,0.28415880,0.19209035,0.13796770,0.10821418,0.34658074
3,0.23074756,0.18126857,0.12397957,0.10440944,0.28162797
4,0.20214212,0.17301252,0.11588237,0.10177674,0.24666034
5,0.18327570,0.16833209,0.11031965,0.10017348,0.22365963
6,0.16894564,0.16341134,0.10594204,0.09802404,0.20620257
7,0.15716907,0.15962966,0.10224884,0.09617945,0.19204418
8,0.14699741,0.15490452,0.09892686,0.09501332,0.17961902
9,0.13865598,0.15305688,0.09613078,0.09391764,0.16947020
10,0.13091363,0.14956855,0.09346059,0.09294764,0.16004847
11,0.12467195,0.14737557,0.09116643,0.09263650,0.15221183
12,0.11873217,0.14520559,0.08903409,0.09136103,0.14503115
13,0.11400265,0.14118049,0.08727869,0.09053549,0.13920941
14,0.10939545,0.13980180,0.08550507,0.08980544,0.13348914
15,0.10567672,0.13751019,0.08404623,0.08951952,0.12895507
16,0.10182514,0.13869593,0.08247047,0.08937602,0.12409687
17,0.09839319,0.13336387,0.08112740,0.08859492,0.12001286
18,0.09536303,0.13405158,0.07987478,0.08833294,0.11625899
19,0.09246487,0.13481751,0.07869481,0.08818608,0.11273635
20,0.09011084,0.13009628,0.07768434,0.08742726,0.10975947
21,0.08746969,0.13240558,0.07655592,0.08806199,0.10648128
22,0.08490125,0.13257514,0.07541934,0.08790248,0.10329484
23,0.08299069,0.12980078,0.07458061,0.08679798,0.10099026
24,0.08075123,0.13057985,0.07369235,0.08770181,0.09839605
25,0.07884422,0.13186554,0.07276089,0.08718765,0.09600429
26,0.07727009,0.12909467,0.07201372,0.08691705,0.09406860
27,0.07547570,0.13270654,0.07117262,0.08764422,0.09183778
28,0.07401043,0.13148172,0.07049435,0.08703193,0.09011521
29,0.07253593,0.12874056,0.06979831,0.08691058,0.08833127
30,0.07132797,0.13218098,0.06914665,0.08724443,0.08668898
31,0.07008197,0.12914055,0.06854885,0.08646323,0.08515688
32,0.06888060,0.13014946,0.06800059,0.08635780,0.08377607
33,0.06775739,0.12855236,0.06741859,0.08613545,0.08234535
34,0.06671782,0.12903826,0.06687325,0.08723456,0.08103153
35,0.06566268,0.13073820,0.06632206,0.08650423,0.07966025
36,0.06470379,0.12952044,0.06588962,0.08669112,0.07863295
37,0.06378151,0.12872717,0.06541931,0.08610010,0.07746836
38,0.06314474,0.13155749,0.06507499,0.08668947,0.07673037
39,0.06228828,0.13059649,0.06460100,0.08633070,0.07559153
40,0.06154665,0.13168048,0.06422094,0.08633091,0.07467033
41,0.06063053,0.12923261,0.06378601,0.08567185,0.07361088
42,0.06013749,0.12716079,0.06343428,0.08559638,0.07289270
43,0.05935868,0.12739106,0.06303315,0.08527479,0.07197630
44,0.05866507,0.13035721,0.06268132,0.08596693,0.07114921
45,0.05816814,0.12815548,0.06236830,0.08527292,0.07044325
46,0.05759574,0.12825172,0.06203752,0.08488792,0.06977113
47,0.05699682,0.13111296,0.06173780,0.08640056,0.06903242
48,0.05674215,0.13032327,0.06157702,0.08625970,0.06874087
49,0.05616628,0.12832690,0.06127083,0.08518494,0.06803035
50,0.05545026,0.12829260,0.06083577,0.08559780,0.06702944
51,0.05508742,0.12571785,0.06064715,0.08420308,0.06665068
52,0.05479147,0.12972933,0.06045048,0.08507217,0.06627952
53,0.05419141,0.13107343,0.06017898,0.08562982,0.06553408
54,0.05396033,0.12701728,0.06001307,0.08507261,0.06524241
55,0.05346822,0.13023490,0.05969227,0.08549290,0.06459579
56,0.05305090,0.12729406,0.05952236,0.08527631,0.06414797
57,0.05267944,0.12961987,0.05926833,0.08572244,0.06367819
58,0.05213170,0.13078268,0.05894012,0.08591633,0.06299292
59,0.05187558,0.13042720,0.05880841,0.08571526,0.06264997
60,0.05171353,0.12717208,0.05872698,0.08510405,0.06246947
61,0.05122025,0.13109963,0.05845141,0.08536949,0.06186074
62,0.05091690,0.12494416,0.05822359,0.08422103,0.06139974
63,0.05062095,0.12592916,0.05802858,0.08530842,0.06104813
64,0.05032708,0.12795463,0.05795453,0.08546663,0.06081661
65,0.04994319,0.12889181,0.05766284,0.08501664,0.06024410
66,0.04980861,0.12778005,0.05756405,0.08536791,0.06005765
67,0.04956260,0.12928990,0.05746101,0.08542899,0.05979086
68,0.04925252,0.13080589,0.05727613,0.08670823,0.05945381
69,0.04906919,0.12948554,0.05712743,0.08573997,0.05911312
70,0.04884044,0.12874116,0.05699915,0.08574625,0.05889300
71,0.04834277,0.13068781,0.05673597,0.08578679,0.05827099
72,0.04812462,0.12884655,0.05659860,0.08558972,0.05802249
73,0.04809728,0.12873862,0.05651948,0.08589507,0.05787619
74,0.04777167,0.12785527,0.05634552,0.08498297,0.05753266
75,0.04752210,0.13068470,0.05618275,0.08616777,0.05719001
76,0.04740493,0.13076137,0.05612261,0.08579264,0.05707489
77,0.04712534,0.12936551,0.05591745,0.08575429,0.05668144
78,0.04669883,0.13038384,0.05571104,0.08625799,0.05623789
79,0.04669505,0.12962175,0.05570003,0.08560748,0.05620944
80,0.04635250,0.12713261,0.05549835,0.08489507,0.05577677
81,0.04615045,0.12691298,0.05538186,0.08542547,0.05554534
82,0.04585594,0.12875594,0.05519385,0.08602753,0.05519020
83,0.04556188,0.12956868,0.05502490,0.08527154,0.05480259
84,0.04532455,0.13088928,0.05488789,0.08601326,0.05456204
85,0.04520255,0.13406469,0.05483039,0.08639682,0.05444823
86,0.04490295,0.12838874,0.05461371,0.08492478,0.05402848
87,0.04486100,0.12781845,0.05455681,0.08562599,0.05393274
88,0.04497973,0.12958747,0.05464501,0.08597763,0.05411295
89,0.04444979,0.13275570,0.05432859,0.08632142,0.05346060
90,0.04452759,0.13436538,0.05440187,0.08704418,0.05358434
91,0.04416893,0.12970022,0.05416203,0.08603877,0.05309330
92,0.04405533,0.12688230,0.05406734,0.08514482,0.05295298
93,0.04394870,0.13111001,0.05395069,0.08581658,0.05277458
94,0.04380170,0.13075157,0.05388064,0.08606002,0.05260558
95,0.04369890,0.13038522,0.05382112,0.08562379,0.05246352
96,0.04319351,0.12847471,0.05355583,0.08587643,0.05191800
97,0.04331181,0.12699011,0.05356056,0.08512970,0.05194950
98,0.04318867,0.12955770,0.05347812,0.08571058,0.05181534
99,0.04298763,0.13025117,0.05335482,0.08632745,0.05160020
100,0.04274798,0.13009120,0.05326211,0.08602803,0.05133947
101,0.04302612,0.12983858,0.05340192,0.08646643,0.05165562
102,0.04274637,0.13045237,0.05323822,0.08576595,0.05133330
103,0.04246869,0.13231407,0.05306775,0.08557095,0.05100547
104,0.04244010,0.13170972,0.05303070,0.08603724,0.05095695
105,0.04224902,0.12878194,0.05287881,0.08571944,0.05065568
106,0.04211625,0.13178583,0.05279305,0.08687876,0.05054695
107,0.04201869,0.12647549,0.05276864,0.08582919,0.05042159
108,0.04192456,0.12827324,0.05272647,0.08544804,0.05031418
109,0.04182173,0.12845196,0.05264702,0.08620656,0.05020277
110,0.04164392,0.12930502,0.05254533,0.08582026,0.04996941
111,0.04150766,0.12755934,0.05242451,0.08551402,0.04977710
112,0.04139843,0.13232132,0.05237107,0.08644882,0.04966857
113,0.04144464,0.12915660,0.05237984,0.08612493,0.04968708
114,0.04117710,0.12975434,0.05223102,0.08543368,0.04937561
115,0.04099360,0.12878405,0.05212644,0.08596239,0.04915548
116,0.04106519,0.12950247,0.05212095,0.08567191,0.04925518
117,0.04094564,0.12661845,0.05206894,0.08544706,0.04906702
118,0.04081941,0.12815007,0.05199907,0.08527479,0.04891819
119,0.04078444,0.12979201,0.05192751,0.08586357,0.04886439
120,0.04079654,0.12820595,0.05193765,0.08653820,0.04888250
121,0.04065941,0.12649066,0.05189301,0.08538947,0.04875335
122,0.04048132,0.12891397,0.05175895,0.08570277,0.04845806
123,0.04041851,0.12925075,0.05168917,0.08556412,0.04841328
124,0.04036045,0.12926389,0.05169583,0.08600775,0.04836448
125,0.04029473,0.12954018,0.05162107,0.08594713,0.04826284
