epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.50393956,0.20912720,0.18600187,0.11272939,0.62256077
2,0.24920210,0.19042548,0.12930060,0.10758886,0.30623778
3,0.21137993,0.17704247,0.11893869,0.10418005,0.25949978
4,0.19059516,0.17083315,0.11285905,0.10203104,0.23377993
5,0.17595463,0.16587407,0.10851868,0.10005477,0.21596601
6,0.16522854,0.15853807,0.10509423,0.09730597,0.20253786
7,0.15683685,0.15467852,0.10250719,0.09642588,0.19243585
8,0.15017267,0.15210368,0.10030549,0.09518029,0.18420023
9,0.14568504,0.14768367,0.09883413,0.09385878,0.17868063
10,0.14164494,0.14541556,0.09752491,0.09326929,0.17381482
11,0.13918551,0.14519095,0.09660284,0.09304429,0.17064254
12,0.13693018,0.14393802,0.09584562,0.09281129,0.16785012
13,0.13599358,0.14403694,0.09549013,0.09267175,0.16664791
14,0.13493444,0.14390653,0.09518823,0.09264454,0.16550928
15,0.13457589,0.14352936,0.09496872,0.09250876,0.16489386
16,0.13263239,0.13926885,0.09432396,0.09133841,0.16259378
17,0.12634640,0.14166261,0.09201642,0.09070396,0.15458968
18,0.12139126,0.13543567,0.09031815,0.08981677,0.14866482
19,0.11719669,0.13620209,0.08862003,0.08957145,0.14329893
20,0.11380952,0.13436563,0.08735532,0.08890164,0.13911307
21,0.11110237,0.13305082,0.08628846,0.08872074,0.13565978
22,0.10875383,0.13121815,0.08532104,0.08834236,0.13273744
23,0.10706067,0.13076113,0.08468061,0.08796207,0.13066436
24,0.10576674,0.13071309,0.08412560,0.08782807,0.12906730
25,0.10407552,0.12984405,0.08341507,0.08784346,0.12687184
26,0.10346801,0.13069295,0.08314810,0.08766514,0.12609745
27,0.10265076,0.12939619,0.08293974,0.08749497,0.12527371
28,0.10214429,0.13050020,0.08267883,0.08748964,0.12457343
29,0.10214100,0.12978772,0.08266504,0.08751753,0.12455227
30,0.10152214,0.12923699,0.08240121,0.08747130,0.12368647
31,0.10229203,0.12767786,0.08273212,0.08748477,0.12470010
32,0.10071680,0.12620741,0.08214764,0.08664714,0.12286684
33,0.09893267,0.12629210,0.08136904,0.08634914,0.12061800
34,0.09694131,0.12623841,0.08054824,0.08672823,0.11820407
35,0.09497405,0.12680184,0.07974139,0.08642250,0.11572982
36,0.09401434,0.12593465,0.07936085,0.08658799,0.11464341
37,0.09266076,0.12597471,0.07881120,0.08615247,0.11294138
38,0.09131727,0.12508696,0.07823885,0.08634804,0.11129502
39,0.09028202,0.12420867,0.07777639,0.08578212,0.10998280
40,0.08951064,0.12444292,0.07749930,0.08575184,0.10911690
41,0.08870229,0.12573064,0.07717655,0.08612801,0.10822881
42,0.08861487,0.12461250,0.07707842,0.08584044,0.10795872
43,0.08814582,0.12403184,0.07687100,0.08581508,0.10736685
44,0.08779454,0.12406620,0.07674243,0.08575148,0.10701309
45,0.08790803,0.12448522,0.07677605,0.08580176,0.10707729
46,0.08901799,0.12416266,0.07736030,0.08596780,0.10862803
47,0.08805341,0.12380990,0.07692220,0.08525896,0.10735490
48,0.08702508,0.12637640,0.07645826,0.08649556,0.10609172
49,0.08571007,0.12418464,0.07590195,0.08571128,0.10445040
50,0.08473471,0.12577269,0.07552479,0.08578141,0.10336381
51,0.08357147,0.12573056,0.07492318,0.08606417,0.10180976
52,0.08298621,0.12740204,0.07465501,0.08630084,0.10103526
53,0.08198795,0.12495703,0.07420584,0.08548418,0.09991853
54,0.08127649,0.12472167,0.07389431,0.08547849,0.09895475
55,0.08052109,0.12539379,0.07350865,0.08566088,0.09801098
56,0.08040805,0.12453687,0.07352988,0.08553856,0.09794521
57,0.08004176,0.12533602,0.07335607,0.08554040,0.09749043
58,0.07979224,0.12504095,0.07321641,0.08536711,0.09711097
59,0.07962607,0.12562996,0.07310676,0.08550883,0.09684450
60,0.07950479,0.12477221,0.07305615,0.08537157,0.09679132
61,0.08057753,0.12622905,0.07358329,0.08577434,0.09813479
62,0.08000611,0.12622975,0.07332827,0.08586551,0.09743334
63,0.07948005,0.12703949,0.07310743,0.08584559,0.09672502
64,0.07889180,0.12598208,0.07285132,0.08549332,0.09612594
65,0.07814384,0.12491734,0.07244893,0.08508316,0.09509389
66,0.07706741,0.12694154,0.07195935,0.08570827,0.09381257
67,0.07659126,0.12499662,0.07179473,0.08479402,0.09330543
68,0.07602909,0.12573807,0.07151408,0.08541601,0.09253435
69,0.07554835,0.12479604,0.07128396,0.08504741,0.09199746
70,0.07511129,0.12513606,0.07105803,0.08487312,0.09143859
71,0.07457506,0.12467278,0.07074918,0.08464657,0.09061369
72,0.07445329,0.12470174,0.07071052,0.08447330,0.09052322
73,0.07415548,0.12529468,0.07058424,0.08479637,0.09015999
74,0.07399963,0.12530016,0.07047730,0.08477662,0.08995125
75,0.07415745,0.12542220,0.07063388,0.08477354,0.09027979
76,0.07535295,0.12651817,0.07119944,0.08580451,0.09173964
77,0.07508651,0.12538134,0.07106815,0.08457547,0.09143377
78,0.07441069,0.12490998,0.07078675,0.08491063,0.09064725
79,0.07399415,0.12561740,0.07055653,0.08457351,0.09009380
80,0.07343212,0.12751490,0.07024337,0.08517251,0.08931743
81,0.07290346,0.12568093,0.06996951,0.08480694,0.08861400
82,0.07215035,0.12508002,0.06960080,0.08475400,0.08773112
83,0.07190798,0.12568640,0.06951705,0.08445608,0.08744023
84,0.07121867,0.12760282,0.06917554,0.08518428,0.08661180
85,0.07110918,0.12578575,0.06905494,0.08463509,0.08637629
86,0.07069983,0.12631478,0.06893296,0.08455367,0.08596046
87,0.07053498,0.12634780,0.06881109,0.08465317,0.08568961
88,0.07006250,0.12635126,0.06868752,0.08476039,0.08526345
89,0.07017392,0.12576771,0.06866847,0.08456361,0.08531637
90,0.06995964,0.12592756,0.06856468,0.08454368,0.08502050
91,0.07121761,0.12601046,0.06917608,0.08438261,0.08660363
92,0.07166074,0.12425528,0.06935985,0.08427705,0.08707317
93,0.07107209,0.12685828,0.06905872,0.08516010,0.08631317
94,0.07051233,0.12539220,0.06888071,0.08500290,0.08576955
95,0.06983584,0.12749466,0.06851903,0.08485709,0.08493950
96,0.06950470,0.12551329,0.06831729,0.08457084,0.08446965
97,0.06901537,0.12533873,0.06808250,0.08417486,0.08386011
98,0.06855777,0.12600366,0.06778644,0.08441248,0.08318798
99,0.06825705,0.12585964,0.06772931,0.08486918,0.08292690
100,0.06796556,0.12536061,0.06754814,0.08409447,0.08249385
101,0.06770776,0.12575093,0.06738846,0.08440618,0.08215572
102,0.06759461,0.12561284,0.06731791,0.08412420,0.08205472
103,0.06721591,0.12574862,0.06711068,0.08451846,0.08152644
104,0.06706047,0.12539491,0.06711159,0.08434342,0.08147101
105,0.06697584,0.12558916,0.06713364,0.08435559,0.08142018
106,0.06837001,0.12709233,0.06777486,0.08473054,0.08307552
107,0.06815344,0.12605253,0.06760917,0.08493565,0.08271564
108,0.06803973,0.12701574,0.06760962,0.08523286,0.08270224
109,0.06775062,0.12517882,0.06741123,0.08392348,0.08227013
110,0.06725270,0.12660578,0.06722761,0.08447754,0.08170625
111,0.06693285,0.12679756,0.06702239,0.08461575,0.08120134
112,0.06652984,0.12446067,0.06682997,0.08433313,0.08078045
113,0.06612012,0.12668948,0.06663745,0.08463622,0.08025949
114,0.06570838,0.12515597,0.06642860,0.08410537,0.07974727
115,0.06541083,0.12620975,0.06626663,0.08450022,0.07942276
116,0.06529154,0.12621678,0.06619184,0.08442411,0.07919954
117,0.06502526,0.12648035,0.06602528,0.08432453,0.07882563
118,0.06492048,0.12600418,0.06597341,0.08432790,0.07872441
119,0.06473801,0.12617451,0.06591897,0.08429517,0.07857960
120,0.06481151,0.12596673,0.06589786,0.08428366,0.07856684
