epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.35926499,0.53033596,0.30940569,0.18109759,1.68951959
2,0.77519134,0.34136191,0.23077272,0.14705658,0.94896054
3,0.60418974,0.28682783,0.20349111,0.13439072,0.73978122
4,0.50523058,0.26035943,0.18550054,0.12718948,0.61722805
5,0.43559028,0.24422405,0.17172983,0.12254582,0.53136858
6,0.38388875,0.23333554,0.16080882,0.11939400,0.46804034
7,0.34540593,0.22451570,0.15210680,0.11680856,0.42067470
8,0.31523033,0.21871870,0.14511142,0.11507241,0.38424681
9,0.29205729,0.21269447,0.13959654,0.11338933,0.35627962
10,0.27419944,0.20796840,0.13510085,0.11207773,0.33449900
11,0.25871893,0.20405063,0.13116138,0.11102857,0.31563969
12,0.24647041,0.19995092,0.12803553,0.10986943,0.30111710
13,0.23623197,0.19640456,0.12529334,0.10888470,0.28873013
14,0.22704086,0.19301048,0.12285573,0.10799317,0.27747212
15,0.21945629,0.18994320,0.12072366,0.10707166,0.26810179
16,0.21212626,0.18658408,0.11878508,0.10629011,0.25932445
17,0.20593060,0.18380019,0.11697223,0.10552538,0.25163572
18,0.20015504,0.18103655,0.11537083,0.10483164,0.24477024
19,0.19465773,0.17896950,0.11380593,0.10419541,0.23807521
20,0.19028129,0.17545177,0.11255057,0.10322476,0.23280172
21,0.18575575,0.17327188,0.11124762,0.10254013,0.22749227
22,0.18139750,0.17046914,0.11000255,0.10178952,0.22211768
23,0.17746376,0.16886665,0.10878663,0.10129710,0.21723214
24,0.17363265,0.16539598,0.10767122,0.10038994,0.21273396
25,0.17038732,0.16348087,0.10671501,0.09972361,0.20885888
26,0.16672621,0.16183647,0.10564070,0.09899288,0.20452074
27,0.16427747,0.15918304,0.10479304,0.09833520,0.20132451
28,0.16129951,0.15834506,0.10396176,0.09814143,0.19792996
29,0.15846787,0.15624034,0.10305049,0.09731730,0.19432283
30,0.15593944,0.15548137,0.10228618,0.09709750,0.19142304
31,0.15403994,0.15402365,0.10159869,0.09700435,0.18890318
32,0.15166146,0.15325828,0.10080887,0.09678487,0.18591938
33,0.15013091,0.15257857,0.10033384,0.09644050,0.18413264
34,0.14809380,0.15002514,0.09964389,0.09580928,0.18152789
35,0.14697905,0.14980045,0.09929513,0.09564118,0.18021550
36,0.14464912,0.14862645,0.09849861,0.09528404,0.17729803
37,0.14350377,0.14791281,0.09811617,0.09513064,0.17592247
38,0.14150665,0.14692842,0.09740674,0.09491975,0.17338765
39,0.14055117,0.14701449,0.09707835,0.09483720,0.17207275
40,0.13934532,0.14584526,0.09665463,0.09432941,0.17060257
41,0.13772796,0.14357472,0.09611496,0.09366111,0.16863766
42,0.13663734,0.14365110,0.09571149,0.09372275,0.16719416
43,0.13557736,0.14461475,0.09535238,0.09378328,0.16586844
44,0.13449382,0.14254156,0.09493954,0.09343399,0.16448157
45,0.13355310,0.14261254,0.09458936,0.09340429,0.16326243
46,0.13238916,0.14304337,0.09416473,0.09336232,0.16175544
47,0.13137700,0.14083994,0.09377942,0.09277686,0.16046768
48,0.13048384,0.13997133,0.09349633,0.09269061,0.15941641
49,0.12932209,0.14128157,0.09300052,0.09281717,0.15785428
50,0.12865086,0.13978221,0.09276041,0.09242886,0.15697016
51,0.12774691,0.13997152,0.09247488,0.09222195,0.15595419
52,0.12695639,0.13934297,0.09213830,0.09243582,0.15490619
53,0.12605311,0.13916390,0.09184564,0.09198474,0.15374007
54,0.12509399,0.13843936,0.09144462,0.09216940,0.15246156
55,0.12459994,0.13720416,0.09127422,0.09176551,0.15192370
56,0.12315785,0.13789758,0.09075822,0.09145021,0.15018428
57,0.12316292,0.13667420,0.09077702,0.09157048,0.15027305
58,0.12231135,0.13704308,0.09042687,0.09152647,0.14919203
59,0.12183338,0.13737550,0.09024426,0.09137215,0.14853540
60,0.12082291,0.13575533,0.08990508,0.09077379,0.14736247
61,0.12054571,0.13485402,0.08978172,0.09068912,0.14699757
62,0.11935955,0.13689025,0.08929435,0.09104255,0.14538062
63,0.11886733,0.13591060,0.08912742,0.09102751,0.14478977
64,0.11842538,0.13411015,0.08897275,0.09041736,0.14426328
65,0.11815556,0.13598313,0.08888218,0.09129730,0.14393555
66,0.11722507,0.13451700,0.08852380,0.09040183,0.14284476
67,0.11669094,0.13456090,0.08831558,0.09080644,0.14213126
68,0.11613642,0.13322012,0.08813558,0.09029119,0.14148612
69,0.11555421,0.13268059,0.08789941,0.09010151,0.14075493
70,0.11500650,0.13264771,0.08769245,0.09033021,0.14009430
71,0.11483413,0.13182404,0.08760795,0.08983444,0.13981609
72,0.11402945,0.13196675,0.08729876,0.08991652,0.13883049
73,0.11386717,0.13174296,0.08726917,0.09010741,0.13874179
74,0.11310725,0.13172487,0.08697911,0.09006856,0.13777638
75,0.11282520,0.13170975,0.08688562,0.08976885,0.13746469
76,0.11241179,0.13101503,0.08679092,0.08953852,0.13698457
77,0.11182666,0.13020239,0.08646418,0.08933400,0.13617201
78,0.11189778,0.12969994,0.08655843,0.08920393,0.13638927
79,0.11071282,0.12968749,0.08603744,0.08918932,0.13475267
80,0.11070729,0.13052468,0.08610199,0.08894505,0.13484188
81,0.11010345,0.13004761,0.08584123,0.08968302,0.13414676
82,0.10992159,0.12976385,0.08575261,0.08932894,0.13384759
83,0.10958084,0.12967678,0.08562849,0.08942769,0.13339559
84,0.10905048,0.13112977,0.08544909,0.08922023,0.13284435
85,0.10895438,0.12797733,0.08537572,0.08865429,0.13265600
86,0.10872817,0.13013175,0.08526347,0.08916587,0.13228802
87,0.10792583,0.12926468,0.08495599,0.08892474,0.13130238
88,0.10806288,0.12780147,0.08503078,0.08871951,0.13152323
89,0.10774391,0.12821902,0.08491285,0.08887054,0.13122565
90,0.10749513,0.12846600,0.08478142,0.08862877,0.13083482
91,0.10698051,0.12843929,0.08462851,0.08877310,0.13020771
92,0.10687828,0.12740050,0.08452962,0.08844416,0.13003772
93,0.10679405,0.12810268,0.08454439,0.08842378,0.13003402
94,0.10609738,0.12823748,0.08425083,0.08859378,0.12905314
95,0.10621291,0.12734016,0.08430594,0.08855007,0.12924955
96,0.10556632,0.12590311,0.08403352,0.08785848,0.12846851
97,0.10542395,0.12705041,0.08404461,0.08851035,0.12846393
98,0.10537587,0.12771159,0.08397358,0.08858660,0.12826410
99,0.10515147,0.12551461,0.08390897,0.08746868,0.12803521
100,0.10477832,0.12564606,0.08377475,0.08771352,0.12756871
101,0.10430588,0.12658820,0.08358013,0.08776649,0.12697545
102,0.10437428,0.12520046,0.08358657,0.08724199,0.12702623
103,0.10421256,0.12650809,0.08348008,0.08767091,0.12672084
104,0.10380829,0.12531330,0.08339523,0.08762113,0.12634401
105,0.10336559,0.12559598,0.08323822,0.08763255,0.12590980
106,0.10324587,0.12506662,0.08309805,0.08779545,0.12555254
107,0.10322979,0.12573319,0.08315632,0.08739044,0.12566003
108,0.10281951,0.12515163,0.08299608,0.08736899,0.12517519
109,0.10301514,0.12471780,0.08301726,0.08756484,0.12523898
110,0.10264694,0.12632919,0.08298457,0.08777726,0.12504241
111,0.10227764,0.12464833,0.08275812,0.08728561,0.12444123
112,0.10213874,0.12455714,0.08268566,0.08730361,0.12422030
113,0.10187207,0.12397985,0.08261695,0.08732050,0.12395057
114,0.10168992,0.12528452,0.08253260,0.08715056,0.12375734
115,0.10181637,0.12420798,0.08261266,0.08735376,0.12400768
116,0.10135009,0.12571035,0.08241951,0.08730194,0.12334767
117,0.10112805,0.12475314,0.08232407,0.08705563,0.12314765
118,0.10121468,0.12442114,0.08231941,0.08691782,0.12312072
119,0.10074464,0.12445056,0.08217504,0.08713756,0.12261370
120,0.10049626,0.12301070,0.08208896,0.08685700,0.12230554
121,0.10072289,0.12511455,0.08215299,0.08694903,0.12258204
122,0.10009518,0.12412212,0.08190532,0.08670779,0.12183542
123,0.10017466,0.12377258,0.08190758,0.08677379,0.12187418
124,0.09983640,0.12147105,0.08181207,0.08614150,0.12152372
125,0.10004747,0.12358565,0.08184124,0.08640735,0.12170810
126,0.09962294,0.12332623,0.08165969,0.08637904,0.12115413
127,0.09998169,0.12524751,0.08182069,0.08694790,0.12162524
128,0.09927061,0.12440162,0.08163689,0.08697417,0.12098152
129,0.09914997,0.12290594,0.08152075,0.08622980,0.12074429
130,0.09912329,0.12478596,0.08153444,0.08642054,0.12067623
131,0.09891371,0.12427171,0.08146886,0.08648799,0.12038694
132,0.09892967,0.12337040,0.08149549,0.08609078,0.12051062
133,0.09856838,0.12446065,0.08123839,0.08686667,0.11990735
134,0.09856311,0.12219706,0.08133006,0.08600268,0.12004381
135,0.09835180,0.12308622,0.08126603,0.08625950,0.11983094
136,0.09820716,0.12486489,0.08113181,0.08650903,0.11947051
