epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.88281691,0.69685525,0.37680395,0.21702015,2.41350911
2,1.29394892,0.49196929,0.30834479,0.17994241,1.64652776
3,1.02896111,0.41904790,0.27359693,0.16363171,1.30324607
4,0.86350327,0.36994126,0.24933996,0.15263658,1.08819251
5,0.74808346,0.33758896,0.23112471,0.14509153,0.93904491
6,0.66233580,0.31628874,0.21679760,0.13999987,0.82919602
7,0.59627632,0.29996399,0.20496798,0.13612783,0.74344878
8,0.54384215,0.28700914,0.19545561,0.13286954,0.67817906
9,0.50378053,0.27760536,0.18762219,0.13052323,0.62675824
10,0.46948094,0.26774625,0.18116490,0.12809987,0.58505556
11,0.44221555,0.26056898,0.17541595,0.12658199,0.54980409
12,0.41820315,0.25573029,0.17046832,0.12531052,0.51962727
13,0.39763247,0.24845627,0.16611611,0.12356501,0.49420305
14,0.37946801,0.24347213,0.16218898,0.12229367,0.47112969
15,0.36488596,0.23891392,0.15888122,0.12122396,0.45284123
16,0.35092745,0.23492803,0.15561432,0.12035403,0.43506807
17,0.33954800,0.22895619,0.15299125,0.11892563,0.42086546
18,0.32766022,0.22593565,0.15006522,0.11806060,0.40549049
19,0.31815397,0.22278162,0.14779471,0.11732107,0.39372332
20,0.30879394,0.21812524,0.14559297,0.11631402,0.38220991
21,0.30003630,0.21535810,0.14336655,0.11550905,0.37093985
22,0.29252753,0.21176165,0.14142737,0.11462144,0.36140565
23,0.28582011,0.20915129,0.13982553,0.11409916,0.35326004
24,0.27934891,0.20626305,0.13810694,0.11336047,0.34511766
25,0.27357776,0.20352749,0.13671963,0.11267905,0.33772611
26,0.26828803,0.20033091,0.13522222,0.11178392,0.33091754
27,0.26198362,0.19729494,0.13360093,0.11088802,0.32326791
28,0.25725058,0.19501562,0.13235539,0.11035205,0.31734986
29,0.25243750,0.19222004,0.13114520,0.10961198,0.31178543
30,0.24861804,0.19024937,0.13004797,0.10887020,0.30660744
31,0.24375976,0.18743677,0.12886427,0.10794846,0.30088889
32,0.24008521,0.18499965,0.12780771,0.10726997,0.29607962
33,0.23683996,0.18252244,0.12699167,0.10651229,0.29206844
34,0.23195906,0.18063791,0.12556655,0.10576931,0.28583160
35,0.22887747,0.17871111,0.12482740,0.10490960,0.28229058
36,0.22672289,0.17702616,0.12416327,0.10446561,0.27944494
37,0.22262197,0.17420330,0.12310480,0.10346745,0.27458844
38,0.22019620,0.17274788,0.12236179,0.10281273,0.27115675
39,0.21728881,0.17087889,0.12158213,0.10220331,0.26773094
40,0.21404451,0.16863324,0.12063111,0.10160195,0.26375687
41,0.21156886,0.16707058,0.11985169,0.10092112,0.26054210
42,0.20955039,0.16558075,0.11934899,0.10054610,0.25817985
43,0.20741710,0.16465308,0.11876308,0.10008481,0.25545965
44,0.20467637,0.16328271,0.11792889,0.09958820,0.25193777
45,0.20252899,0.16262867,0.11725929,0.09941729,0.24921670
46,0.19965893,0.16013274,0.11650610,0.09843934,0.24567762
47,0.19833459,0.15917982,0.11609884,0.09809897,0.24394926
48,0.19691548,0.15848253,0.11565751,0.09774339,0.24227612
49,0.19478781,0.15728889,0.11505066,0.09731509,0.23959384
50,0.19345984,0.15581120,0.11468311,0.09720782,0.23803935
51,0.19187080,0.15591677,0.11417293,0.09673902,0.23601771
52,0.19043381,0.15398771,0.11370334,0.09630232,0.23407851
53,0.18829896,0.15368838,0.11310623,0.09600124,0.23142795
54,0.18668004,0.15264784,0.11259766,0.09554701,0.22944883
55,0.18596975,0.15224942,0.11233167,0.09566491,0.22853649
56,0.18424247,0.15166001,0.11188160,0.09531597,0.22639420
57,0.18330158,0.15142697,0.11156240,0.09501622,0.22547310
58,0.18197281,0.14960407,0.11107154,0.09462483,0.22342037
