epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.41048265,0.22681207,0.16781770,0.11766896,0.49995624
2,0.22628610,0.19741772,0.12273986,0.10834151,0.27470843
3,0.18585961,0.18499640,0.11054416,0.10442234,0.22489974
4,0.16360492,0.17654851,0.10354079,0.10179086,0.19799676
5,0.14717992,0.16994722,0.09823500,0.09971624,0.17841112
6,0.13475510,0.16408525,0.09405777,0.09817357,0.16353459
7,0.12517549,0.16187558,0.09080066,0.09703305,0.15215916
8,0.11742126,0.15843504,0.08808347,0.09649437,0.14298302
9,0.11052673,0.15325347,0.08552433,0.09497716,0.13458991
10,0.10505757,0.15060307,0.08346381,0.09472780,0.12801980
11,0.10014423,0.14999865,0.08157771,0.09462390,0.12206136
12,0.09578153,0.14577028,0.07974322,0.09332225,0.11661195
13,0.09217973,0.14760469,0.07826871,0.09341989,0.11221763
14,0.08847438,0.14856954,0.07668591,0.09348062,0.10766500
15,0.08548084,0.14259763,0.07539563,0.09200263,0.10400177
16,0.08243177,0.14219254,0.07401726,0.09209153,0.10012917
17,0.07957485,0.14480684,0.07277085,0.09216368,0.09668299
18,0.07728920,0.14134923,0.07172097,0.09079797,0.09393046
19,0.07478942,0.13861563,0.07051400,0.09055169,0.09078084
20,0.07257975,0.14179563,0.06950035,0.09064676,0.08804728
21,0.07054222,0.13955461,0.06853550,0.09013812,0.08559483
22,0.06848924,0.14393754,0.06755934,0.09022404,0.08314230
23,0.06670548,0.14399007,0.06668704,0.09052466,0.08104802
24,0.06510720,0.14493811,0.06586766,0.09072823,0.07904829
25,0.06360687,0.14516792,0.06508757,0.09042793,0.07719135
26,0.06197447,0.14244190,0.06427261,0.08963270,0.07525217
27,0.06064370,0.14696078,0.06354313,0.09019893,0.07362470
28,0.05927828,0.14973085,0.06281956,0.09051899,0.07194685
29,0.05816908,0.14830349,0.06223585,0.09059522,0.07057137
30,0.05703125,0.14852093,0.06161905,0.09043331,0.06922061
31,0.05600616,0.14791525,0.06103400,0.09016431,0.06790461
32,0.05497402,0.14729645,0.06045444,0.09008326,0.06660523
33,0.05418896,0.14829501,0.06003312,0.09035375,0.06569131
34,0.05323062,0.14742074,0.05946429,0.09005739,0.06445558
35,0.05233987,0.14831977,0.05895871,0.09045120,0.06338430
36,0.05153192,0.14609564,0.05851389,0.08944334,0.06239354
37,0.05066941,0.15013127,0.05798098,0.09067648,0.06130251
38,0.04974084,0.14578547,0.05747428,0.09016564,0.06019476
39,0.04899169,0.14965476,0.05706465,0.09148948,0.05927575
40,0.04849983,0.14711682,0.05673043,0.08987410,0.05861780
41,0.04764807,0.14750219,0.05623444,0.08999732,0.05759323
