epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.65145278,0.22351066,0.21302371,0.11724377,0.80479587
2,0.33333627,0.20543338,0.14992607,0.11173013,0.40761800
3,0.27271319,0.19566483,0.13528717,0.10891156,0.33382850
4,0.24415998,0.18790637,0.12782269,0.10670647,0.29854921
5,0.22717616,0.18227416,0.12328043,0.10497100,0.27803320
6,0.21566267,0.17806598,0.12008372,0.10363688,0.26407944
7,0.20730393,0.17527285,0.11772913,0.10254077,0.25368413
8,0.20030163,0.17280782,0.11568312,0.10185738,0.24520715
9,0.19482421,0.17165462,0.11399358,0.10142323,0.23838121
10,0.19058606,0.16962434,0.11279526,0.10099037,0.23309356
11,0.18890314,0.16890220,0.11235567,0.10065462,0.23126442
12,0.18609293,0.16788211,0.11153988,0.10034375,0.22789304
13,0.18466842,0.16736962,0.11111037,0.10021323,0.22599614
14,0.18344441,0.16703910,0.11064817,0.10007780,0.22447249
15,0.18397606,0.16693353,0.11072106,0.10006948,0.22482742
16,0.18043454,0.16285895,0.10968306,0.09842661,0.22055537
17,0.17221842,0.16127802,0.10728894,0.09793818,0.21085633
18,0.16615513,0.15764895,0.10538295,0.09712077,0.20323651
19,0.16038411,0.15532236,0.10351125,0.09580633,0.19619609
20,0.15536325,0.15400069,0.10191802,0.09513496,0.19010533
21,0.15215777,0.15165309,0.10091951,0.09453609,0.18609370
22,0.14903130,0.14965538,0.09989853,0.09416659,0.18254073
23,0.14659560,0.14930426,0.09904158,0.09368850,0.17946015
24,0.14482005,0.14890683,0.09851359,0.09342389,0.17747858
25,0.14359332,0.14968115,0.09800655,0.09372243,0.17561354
26,0.14143028,0.14830954,0.09734701,0.09327965,0.17320454
27,0.14093427,0.14729260,0.09704786,0.09299437,0.17216949
28,0.14048981,0.14691022,0.09703665,0.09281088,0.17195008
29,0.13984003,0.14703316,0.09673705,0.09281616,0.17105683
30,0.13995126,0.14701661,0.09681280,0.09284676,0.17123075
31,0.13872415,0.14697386,0.09640925,0.09265996,0.16996090
32,0.13674686,0.14207127,0.09575300,0.09126354,0.16736102
33,0.13411633,0.14296550,0.09483618,0.09144518,0.16411297
34,0.13083150,0.14252324,0.09358398,0.09151953,0.16011199
35,0.12920562,0.14033642,0.09308870,0.09098459,0.15812891
36,0.12681382,0.14219003,0.09220638,0.09119377,0.15506802
37,0.12548428,0.14050369,0.09184003,0.09076389,0.15379443
38,0.12449426,0.13917913,0.09127693,0.09014471,0.15206549
39,0.12325238,0.13849419,0.09080443,0.09031016,0.15050589
40,0.12199264,0.13699931,0.09043513,0.09011229,0.14905232
41,0.12168079,0.13828017,0.09024577,0.08998425,0.14858676
42,0.12093186,0.13860068,0.09006022,0.09011699,0.14780508
43,0.12094604,0.13803571,0.08999774,0.09000631,0.14776490
44,0.12074465,0.13848486,0.08994625,0.09008894,0.14753491
45,0.12043870,0.13803116,0.08984437,0.08995650,0.14712588
46,0.12031281,0.13723225,0.08987884,0.08971785,0.14714922
47,0.11948246,0.13687615,0.08954653,0.08947978,0.14607691
48,0.11802940,0.13681000,0.08886558,0.08971714,0.14400528
49,0.11620973,0.13753245,0.08820211,0.08940760,0.14181197
50,0.11435518,0.13538102,0.08751967,0.08877303,0.13962033
51,0.11366024,0.13419064,0.08727711,0.08886026,0.13876721
52,0.11253840,0.13497582,0.08687191,0.08852155,0.13734965
53,0.11169063,0.13394981,0.08655117,0.08855350,0.13633433
54,0.11035401,0.13581077,0.08600188,0.08907143,0.13458213
55,0.11034426,0.13317801,0.08602411,0.08844265,0.13473788
56,0.10974632,0.13372622,0.08585988,0.08858165,0.13406994
57,0.10921755,0.13318440,0.08548559,0.08857594,0.13310513
58,0.10851320,0.13316547,0.08534553,0.08855735,0.13254424
59,0.10863214,0.13289035,0.08535614,0.08833249,0.13251289
60,0.10895846,0.13319891,0.08540455,0.08842911,0.13284786
61,0.10892643,0.13493441,0.08547911,0.08835836,0.13287472
62,0.10858645,0.13205661,0.08533086,0.08820608,0.13245639
63,0.10731967,0.13077276,0.08483063,0.08794644,0.13084619
64,0.10652241,0.13186432,0.08450627,0.08804845,0.12986075
65,0.10568092,0.13124902,0.08416321,0.08828697,0.12882056
66,0.10500570,0.13171345,0.08393297,0.08767317,0.12810501
67,0.10411226,0.13088944,0.08357268,0.08786200,0.12697425
68,0.10326642,0.13201242,0.08322358,0.08790191,0.12598358
69,0.10266964,0.13005337,0.08302029,0.08720059,0.12517479
70,0.10230796,0.12975398,0.08283490,0.08717105,0.12470729
71,0.10164610,0.12877599,0.08252645,0.08710853,0.12383085
72,0.10191649,0.13024415,0.08268511,0.08737495,0.12422461
73,0.10097637,0.13017855,0.08234274,0.08750908,0.12314743
74,0.10138507,0.13005398,0.08246716,0.08740771,0.12364734
75,0.10083813,0.12996674,0.08226255,0.08739191,0.12289865
76,0.10170433,0.12958019,0.08255841,0.08777654,0.12385619
77,0.10095471,0.12826542,0.08229994,0.08725542,0.12309912
78,0.10009462,0.13087422,0.08201128,0.08800772,0.12201666
79,0.09961837,0.12864980,0.08180206,0.08753678,0.12142685
80,0.09910373,0.12925868,0.08143050,0.08744515,0.12053947
81,0.09814338,0.12858993,0.08119656,0.08727298,0.11960557
82,0.09766513,0.12805001,0.08088914,0.08694296,0.11885334
83,0.09681611,0.12785173,0.08065576,0.08723690,0.11795732
84,0.09691216,0.12794763,0.08072070,0.08674662,0.11819753
85,0.09603580,0.12962632,0.08032988,0.08732470,0.11706329
86,0.09544082,0.12797852,0.08011302,0.08716081,0.11633718
87,0.09510231,0.12852220,0.07992167,0.08689624,0.11587753
88,0.09531189,0.12804311,0.07991502,0.08686764,0.11592626
89,0.09508304,0.12794127,0.07996589,0.08686014,0.11591314
90,0.09500599,0.12773174,0.07988476,0.08677434,0.11571555
91,0.09540198,0.12848050,0.08004697,0.08684201,0.11609244
92,0.09570311,0.12687215,0.08015311,0.08663236,0.11656753
93,0.09472586,0.12641401,0.07986891,0.08636538,0.11556918
94,0.09438315,0.12685491,0.07960554,0.08673970,0.11491112
95,0.09378113,0.12798892,0.07932973,0.08672157,0.11410319
96,0.09324495,0.12810035,0.07912854,0.08662199,0.11351884
97,0.09274727,0.12731985,0.07888334,0.08658664,0.11295850
98,0.09215074,0.12531014,0.07873845,0.08620472,0.11226239
99,0.09169622,0.12739783,0.07848186,0.08684223,0.11157582
100,0.09143757,0.12826791,0.07828455,0.08681940,0.11121536
101,0.09101379,0.12602992,0.07814081,0.08626870,0.11065565
102,0.09071346,0.12663047,0.07804457,0.08631343,0.11036179
103,0.09063883,0.12685206,0.07801868,0.08643121,0.11031537
104,0.09066940,0.12692642,0.07801037,0.08641529,0.11031214
105,0.09028882,0.12684076,0.07771670,0.08636458,0.10963837
106,0.09133221,0.12743353,0.07836950,0.08663345,0.11131899
107,0.09120805,0.12571727,0.07834102,0.08617236,0.11118060
108,0.09059327,0.12715970,0.07804635,0.08667319,0.11039000
109,0.09015023,0.12720936,0.07780894,0.08621008,0.10980300
110,0.08982218,0.12790697,0.07765464,0.08676851,0.10932603
111,0.08919890,0.12605175,0.07749062,0.08596021,0.10870937
112,0.08828671,0.12633488,0.07704471,0.08612461,0.10757988
113,0.08816179,0.12698852,0.07695815,0.08628684,0.10731864
114,0.08749189,0.12732033,0.07669078,0.08623847,0.10656929
115,0.08782740,0.12760205,0.07680162,0.08653352,0.10692380
116,0.08749789,0.12743415,0.07670933,0.08633896,0.10653149
117,0.08680536,0.12755874,0.07636449,0.08622945,0.10560306
118,0.08666399,0.12696326,0.07641567,0.08618559,0.10569822
119,0.08676817,0.12665832,0.07641780,0.08612015,0.10562868
120,0.08684380,0.12693380,0.07643149,0.08615191,0.10583256
121,0.08807343,0.12439592,0.07691866,0.08576526,0.10720622
122,0.08737807,0.12607016,0.07664632,0.08605673,0.10635484
123,0.08725677,0.12675863,0.07646149,0.08616954,0.10605849
124,0.08668854,0.12923188,0.07630117,0.08679075,0.10554659
125,0.08658159,0.12687033,0.07634782,0.08589176,0.10553736
126,0.08564518,0.12744493,0.07590793,0.08608559,0.10439423
127,0.08560121,0.12713591,0.07582651,0.08607899,0.10414216
128,0.08512599,0.12681720,0.07567769,0.08625414,0.10365630
129,0.08459838,0.12771205,0.07540214,0.08621650,0.10286947
130,0.08406135,0.12737837,0.07518397,0.08604341,0.10235922
131,0.08407014,0.12603223,0.07509681,0.08570815,0.10223472
132,0.08400292,0.12567081,0.07513155,0.08562983,0.10223224
133,0.08383337,0.12578636,0.07503000,0.08565652,0.10201031
134,0.08370374,0.12600538,0.07503512,0.08567986,0.10192986
135,0.08339750,0.12622498,0.07489597,0.08577703,0.10153764
136,0.08466162,0.12620164,0.07537863,0.08575639,0.10296140
137,0.08407038,0.12817845,0.07513947,0.08626544,0.10230141
138,0.08400801,0.12731449,0.07512001,0.08590341,0.10218639
139,0.08395904,0.12610797,0.07513192,0.08589427,0.10211797
140,0.08350858,0.12765422,0.07488439,0.08597096,0.10154437
141,0.08341034,0.12784974,0.07480359,0.08624660,0.10146699
142,0.08275398,0.12532766,0.07453717,0.08563080,0.10053040
143,0.08243749,0.12615922,0.07451245,0.08546997,0.10041870
144,0.08175403,0.12647226,0.07413165,0.08569553,0.09945372
145,0.08164205,0.12638395,0.07414678,0.08582231,0.09948407
146,0.08169221,0.12592282,0.07401507,0.08554285,0.09930912
147,0.08158889,0.12643962,0.07408337,0.08544305,0.09931308
148,0.08122764,0.12612944,0.07392528,0.08541023,0.09884809
149,0.08131916,0.12609220,0.07401567,0.08542079,0.09911533
150,0.08112346,0.12636375,0.07376828,0.08551953,0.09855249
151,0.08213287,0.12735388,0.07426367,0.08558673,0.09982588
152,0.08222900,0.12852247,0.07437313,0.08581311,0.10015782
153,0.08157706,0.12676982,0.07403722,0.08561618,0.09918122
154,0.08170013,0.12574530,0.07420751,0.08562228,0.09953368
155,0.08086762,0.12779951,0.07367403,0.08571638,0.09829111
156,0.08074623,0.12650399,0.07366687,0.08556225,0.09825798
157,0.08036509,0.12447955,0.07349538,0.08531312,0.09774879
158,0.08007413,0.12563332,0.07332479,0.08538408,0.09739561
159,0.07965925,0.12558002,0.07322661,0.08516643,0.09700850
160,0.07953572,0.12484997,0.07308351,0.08531658,0.09666315
161,0.07930350,0.12676130,0.07298951,0.08531857,0.09636842
162,0.07904767,0.12604471,0.07283137,0.08522596,0.09602026
163,0.07889069,0.12578270,0.07276952,0.08519125,0.09586447
164,0.07892834,0.12585988,0.07278968,0.08519248,0.09600507
165,0.07859692,0.12576530,0.07274805,0.08514232,0.09570480
166,0.07957973,0.12619377,0.07317930,0.08574683,0.09686101
167,0.07946724,0.12732068,0.07306724,0.08529070,0.09666278
168,0.07955636,0.12695724,0.07307713,0.08542283,0.09678857
169,0.07945218,0.12574658,0.07302981,0.08510946,0.09653338
170,0.07922562,0.12615008,0.07296625,0.08495248,0.09644647
171,0.07872484,0.12695510,0.07273287,0.08555372,0.09571684
172,0.07847048,0.12686257,0.07265307,0.08516662,0.09547721
173,0.07848648,0.12652223,0.07261190,0.08503478,0.09542221
174,0.07803282,0.12625076,0.07237561,0.08519771,0.09482282
175,0.07765438,0.12639880,0.07217863,0.08518129,0.09429357
176,0.07729879,0.12588732,0.07210160,0.08520658,0.09396162
177,0.07785409,0.12672696,0.07226464,0.08511267,0.09452352
178,0.07690030,0.12664545,0.07191149,0.08520465,0.09355401
179,0.07725516,0.12596291,0.07199327,0.08501741,0.09377742
180,0.07705541,0.12603959,0.07196974,0.08501206,0.09371676
181,0.07807262,0.12495635,0.07245994,0.08472614,0.09502483
182,0.07801281,0.12554253,0.07233907,0.08554253,0.09482098
183,0.07762372,0.12690509,0.07225047,0.08546479,0.09444138
184,0.07742970,0.12729299,0.07217389,0.08532495,0.09419782
