epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.38761259,0.19824428,0.16350080,0.10959338,0.47962767
2,0.21399975,0.17892149,0.11961437,0.10486796,0.26268394
3,0.18735868,0.16755345,0.11216687,0.10119700,0.23056131
4,0.17337763,0.16037656,0.10807275,0.09937964,0.21371978
5,0.16425492,0.15541392,0.10520185,0.09826845,0.20209615
6,0.15824104,0.15279700,0.10321849,0.09666423,0.19450217
7,0.15311429,0.15310874,0.10150737,0.09680937,0.18800742
8,0.15021228,0.15101671,0.10047361,0.09619005,0.18416227
9,0.14713195,0.14698405,0.09940216,0.09473912,0.18030434
10,0.14473222,0.14682207,0.09859700,0.09452198,0.17730156
11,0.14304024,0.14689953,0.09796582,0.09481370,0.17506692
12,0.14165510,0.14437883,0.09744500,0.09418466,0.17320046
13,0.14093069,0.14415622,0.09721701,0.09381479,0.17241455
14,0.14063230,0.14448183,0.09713377,0.09405403,0.17205971
15,0.14009887,0.14469327,0.09687879,0.09394087,0.17123375
16,0.14093878,0.14529135,0.09721636,0.09394455,0.17237980
17,0.13698000,0.14325276,0.09578868,0.09315918,0.16734530
18,0.13377693,0.14290963,0.09465486,0.09239575,0.16345878
19,0.13120730,0.13692050,0.09370019,0.09120945,0.16017347
20,0.12895108,0.13795608,0.09288230,0.09128407,0.15740046
21,0.12733783,0.13580454,0.09227055,0.09119219,0.15527553
22,0.12584209,0.13746858,0.09172992,0.09092316,0.15350915
23,0.12373753,0.13578436,0.09100276,0.09029860,0.15097869
24,0.12262446,0.13559325,0.09055611,0.09029078,0.14952459
25,0.12166238,0.13454873,0.09017106,0.08987072,0.14825351
26,0.12038779,0.13427032,0.08980612,0.08987247,0.14692787
27,0.11989138,0.13363724,0.08954992,0.08990672,0.14621094
28,0.11959755,0.13360207,0.08942904,0.08951926,0.14579425
29,0.11895616,0.13371641,0.08913804,0.08951958,0.14486738
30,0.11906530,0.13341820,0.08921954,0.08953402,0.14512916
