epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.56485225,0.22583800,0.19668352,0.11719236,0.69257426
2,0.28513719,0.20501507,0.13793561,0.11129699,0.34796425
3,0.23881187,0.19404514,0.12590886,0.10828219,0.29152767
4,0.21745134,0.18775234,0.12023229,0.10647035,0.26567019
5,0.20445936,0.18100448,0.11662507,0.10464162,0.25010718
6,0.19511098,0.17741233,0.11393287,0.10369768,0.23861001
7,0.18804728,0.17359512,0.11188416,0.10248109,0.22999864
8,0.18231414,0.17083630,0.11023129,0.10178599,0.22311792
9,0.17797869,0.16769090,0.10901707,0.10088387,0.21806730
10,0.17509375,0.16595903,0.10807110,0.10048153,0.21429132
11,0.17229511,0.16506713,0.10726214,0.10022650,0.21099861
12,0.17090124,0.16406862,0.10689238,0.09988331,0.20943714
13,0.16980369,0.16367764,0.10656636,0.09969714,0.20815223
14,0.16913646,0.16336844,0.10635672,0.09963703,0.20730721
15,0.16889940,0.16315990,0.10625675,0.09955076,0.20696395
16,0.16527149,0.15845998,0.10518695,0.09848563,0.20258206
17,0.15916040,0.15649107,0.10325254,0.09761267,0.19516256
18,0.15468034,0.15356355,0.10185500,0.09659576,0.18975927
19,0.15038273,0.15179133,0.10044651,0.09634661,0.18443734
20,0.14747762,0.15021807,0.09947424,0.09589815,0.18087724
21,0.14506671,0.14891841,0.09862683,0.09536003,0.17785253
22,0.14320191,0.14808696,0.09800469,0.09527194,0.17546092
23,0.14134369,0.14835600,0.09736701,0.09532513,0.17302308
24,0.13994515,0.14610315,0.09686191,0.09468473,0.17126503
25,0.13931691,0.14618708,0.09666647,0.09460265,0.17056836
26,0.13842808,0.14573591,0.09633614,0.09427377,0.16940594
27,0.13818428,0.14518479,0.09618286,0.09424165,0.16896445
28,0.13753140,0.14571662,0.09601687,0.09434818,0.16827973
29,0.13723867,0.14502490,0.09589578,0.09414984,0.16777180
30,0.13721120,0.14527353,0.09589052,0.09426020,0.16780634
31,0.13677304,0.14539493,0.09569166,0.09448255,0.16712620
32,0.13478487,0.14281161,0.09496070,0.09373049,0.16461526
33,0.13328542,0.14344260,0.09444510,0.09354823,0.16276621
34,0.13185697,0.14136152,0.09387529,0.09322649,0.16085452
35,0.13078464,0.14101238,0.09356958,0.09292661,0.15965998
36,0.12911529,0.14057922,0.09290050,0.09269307,0.15748021
37,0.12843560,0.13981746,0.09269099,0.09255799,0.15670519
38,0.12712966,0.13889769,0.09219385,0.09236597,0.15503080
39,0.12670190,0.13928412,0.09204513,0.09234159,0.15443618
40,0.12612696,0.13885119,0.09184468,0.09200339,0.15379305
41,0.12554506,0.13788991,0.09162718,0.09185940,0.15307533
42,0.12526223,0.13827059,0.09150184,0.09202194,0.15268021
43,0.12520229,0.13825565,0.09151219,0.09192832,0.15264498
44,0.12506049,0.13812547,0.09141790,0.09186034,0.15241912
45,0.12518824,0.13786842,0.09146968,0.09184327,0.15255300
46,0.12510547,0.13872214,0.09145982,0.09208360,0.15250074
47,0.12420075,0.13638688,0.09111348,0.09139616,0.15136938
48,0.12316550,0.13512479,0.09074787,0.09131136,0.15012669
49,0.12206323,0.13713115,0.09026411,0.09160873,0.14866204
50,0.12148345,0.13557536,0.09007502,0.09126284,0.14793770
51,0.12075296,0.13556400,0.08983079,0.09093225,0.14708760
52,0.12015405,0.13520475,0.08956704,0.09117338,0.14632247
53,0.11940234,0.13522743,0.08932405,0.09087515,0.14537936
54,0.11885338,0.13437498,0.08906702,0.09101117,0.14459618
55,0.11861307,0.13389447,0.08899024,0.09074212,0.14436780
56,0.11776067,0.13462141,0.08868901,0.09073362,0.14337273
57,0.11825833,0.13430585,0.08890449,0.09076440,0.14407362
58,0.11788873,0.13435721,0.08874672,0.09078561,0.14362548
