epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.17167190,0.16197281,0.10709022,0.09485338,0.20912951
2,0.09684239,0.14936716,0.08022875,0.09223465,0.11802801
3,0.07955269,0.14700029,0.07278019,0.09110785,0.09672312
4,0.06916083,0.14183445,0.06788004,0.09128885,0.08394291
5,0.06182180,0.14440232,0.06420960,0.09119383,0.07488311
6,0.05653795,0.14468691,0.06137691,0.09161046,0.06837857
7,0.05269630,0.14472369,0.05926294,0.09134267,0.06370219
8,0.04955212,0.14365410,0.05742248,0.09051656,0.05980764
9,0.04732732,0.13859153,0.05609196,0.08917372,0.05706287
10,0.04519013,0.13789747,0.05477675,0.08844831,0.05443746
11,0.04386635,0.13832514,0.05401784,0.08940557,0.05287813
12,0.04264379,0.14088902,0.05316639,0.08877281,0.05128742
13,0.04185095,0.14002773,0.05268472,0.08888889,0.05033624
14,0.04127910,0.13964659,0.05230836,0.08882592,0.04961908
15,0.04100558,0.13941419,0.05214540,0.08874588,0.04929486
16,0.04535718,0.14472086,0.05495881,0.08988847,0.05474873
17,0.04191899,0.14062421,0.05278416,0.08924290,0.05054336
18,0.03930200,0.13612326,0.05107523,0.08849844,0.04731780
19,0.03711611,0.13656366,0.04958410,0.08776679,0.04464638
20,0.03572627,0.14118798,0.04854925,0.08870219,0.04283192
21,0.03410705,0.13752598,0.04746680,0.08803327,0.04087450
22,0.03282479,0.13676798,0.04647831,0.08823457,0.03927244
23,0.03180965,0.13729109,0.04569464,0.08869861,0.03800064
24,0.03087904,0.13762715,0.04505898,0.08870123,0.03690872
25,0.03012106,0.13749991,0.04441782,0.08858040,0.03590575
26,0.02941023,0.13475941,0.04389543,0.08731093,0.03506749
27,0.02877497,0.13715565,0.04340594,0.08797006,0.03428626
28,0.02846167,0.13704773,0.04309839,0.08775041,0.03384392
29,0.02808939,0.13630243,0.04287071,0.08773385,0.03344681
30,0.02792886,0.13657171,0.04277563,0.08776299,0.03328214
31,0.03166961,0.13936002,0.04564190,0.08911244,0.03789809
32,0.03075962,0.14131842,0.04501099,0.08907326,0.03683063
33,0.02951758,0.13674124,0.04401058,0.08825249,0.03523286
34,0.02883614,0.13677869,0.04348429,0.08823576,0.03441808
35,0.02782200,0.13641500,0.04268867,0.08769615,0.03315796
36,0.02705610,0.13658480,0.04201866,0.08750637,0.03218346
37,0.02632595,0.13588792,0.04143813,0.08807026,0.03131016
38,0.02567677,0.13640670,0.04091967,0.08760728,0.03053535
39,0.02509512,0.13487136,0.04044861,0.08803438,0.02982764
40,0.02446519,0.13570344,0.03990093,0.08780069,0.02901745
41,0.02401111,0.13441430,0.03950921,0.08743924,0.02848099
42,0.02367228,0.13477306,0.03924976,0.08786936,0.02806411
43,0.02345074,0.13431662,0.03901267,0.08737453,0.02778047
44,0.02310276,0.13473076,0.03875019,0.08757635,0.02735945
45,0.02301884,0.13468342,0.03864947,0.08764302,0.02724815
46,0.02639067,0.13617103,0.04151636,0.08905945,0.03141387
47,0.02565046,0.13779723,0.04092639,0.08897722,0.03051310
48,0.02526012,0.13778703,0.04058389,0.08894460,0.03003788
49,0.02465351,0.13582105,0.04010317,0.08838866,0.02930381
50,0.02394792,0.13699712,0.03948724,0.08868970,0.02845063
51,0.02350237,0.13503192,0.03908851,0.08763005,0.02788232
52,0.02288873,0.13556033,0.03853222,0.08795423,0.02713351
53,0.02244360,0.13482084,0.03817407,0.08797403,0.02659316
54,0.02203963,0.13618651,0.03779814,0.08827288,0.02608625
55,0.02159337,0.13562907,0.03741402,0.08804813,0.02555343
56,0.02121029,0.13664899,0.03705905,0.08784878,0.02506925
57,0.02090813,0.13565782,0.03676642,0.08799479,0.02469043
58,0.02053720,0.13595859,0.03643351,0.08796785,0.02425183
59,0.02048049,0.13662273,0.03639452,0.08804558,0.02419144
60,0.02043625,0.13627310,0.03633554,0.08796751,0.02412242
61,0.02316121,0.13789146,0.03882358,0.08797911,0.02750341
62,0.02295292,0.13608239,0.03861612,0.08802251,0.02722481
63,0.02245316,0.13918094,0.03820852,0.08919131,0.02664600
64,0.02215412,0.13734100,0.03790013,0.08828597,0.02624602
65,0.02155589,0.13727383,0.03736685,0.08865577,0.02552730
66,0.02130274,0.13924589,0.03714171,0.08884135,0.02520032
67,0.02092350,0.13902428,0.03680476,0.08871762,0.02472788
68,0.02043221,0.13738499,0.03637106,0.08878948,0.02415065
69,0.02005882,0.13806061,0.03600918,0.08871288,0.02369130
70,0.01961088,0.13779978,0.03561075,0.08873714,0.02317402
71,0.01942492,0.13872661,0.03541926,0.08874234,0.02291674
72,0.01914437,0.13653739,0.03515120,0.08827920,0.02256948
73,0.01898014,0.13701620,0.03500142,0.08832145,0.02237090
74,0.01872740,0.13679536,0.03473361,0.08818944,0.02206159
75,0.01861656,0.13683141,0.03467580,0.08826190,0.02194708
76,0.02121827,0.13961434,0.03714762,0.08897368,0.02515715
