epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.32691062,0.18141939,0.14878002,0.10388374,0.40116414
2,0.17740996,0.16695206,0.10848333,0.09962234,0.21693631
3,0.14901966,0.15833476,0.09953926,0.09647483,0.18238351
4,0.13296964,0.15371262,0.09396904,0.09504283,0.16252169
5,0.12180090,0.14930960,0.09004171,0.09388110,0.14883980
6,0.11386073,0.14506973,0.08705515,0.09224518,0.13885495
7,0.10781228,0.14336008,0.08479139,0.09159262,0.13154149
8,0.10317646,0.14107838,0.08295293,0.09120429,0.12582373
9,0.09948746,0.13677478,0.08149020,0.08985466,0.12122439
10,0.09654123,0.13592597,0.08030912,0.08971342,0.11763758
11,0.09495896,0.13592341,0.07957886,0.08957740,0.11561961
12,0.09316757,0.13409088,0.07888689,0.08913409,0.11349522
13,0.09219887,0.13375899,0.07843408,0.08897660,0.11220784
14,0.09130729,0.13447699,0.07813898,0.08917623,0.11126262
15,0.09131456,0.13395988,0.07804639,0.08898869,0.11112793
16,0.09069074,0.13198533,0.07784642,0.08817604,0.11047072
17,0.08593370,0.13407795,0.07574217,0.08842883,0.10454687
18,0.08178135,0.12997667,0.07393713,0.08755970,0.09946796
19,0.07817697,0.12866760,0.07228146,0.08708209,0.09507794
20,0.07521394,0.13105317,0.07094973,0.08716846,0.09151997
21,0.07303024,0.12929357,0.06989723,0.08727175,0.08878265
22,0.07093870,0.12967492,0.06886153,0.08691515,0.08618612
23,0.06940411,0.12762266,0.06813319,0.08600844,0.08436340
24,0.06818191,0.13085420,0.06754017,0.08671758,0.08282835
25,0.06692980,0.13027138,0.06693231,0.08686908,0.08131748
26,0.06608413,0.13178685,0.06645623,0.08648565,0.08026768
27,0.06554571,0.12954538,0.06623032,0.08629189,0.07962629
28,0.06495853,0.12989438,0.06591081,0.08636183,0.07891355
29,0.06474477,0.13023336,0.06580652,0.08649595,0.07863772
30,0.06458691,0.12970152,0.06574654,0.08650703,0.07845774
31,0.06593936,0.13205572,0.06640694,0.08724650,0.08007219
32,0.06421863,0.13033850,0.06553971,0.08671898,0.07802380
