epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.58319518,0.24740731,0.20177799,0.12454650,0.74932876
2,0.28044721,0.18553452,0.13797320,0.10651210,0.35898748
3,0.22622204,0.16235806,0.12357778,0.09875694,0.29464994
4,0.19492558,0.14986018,0.11445604,0.09436177,0.25829668
5,0.17454607,0.14301325,0.10790069,0.09182613,0.23445517
6,0.16017135,0.13848011,0.10316542,0.09006298,0.21829341
7,0.14986678,0.13542223,0.09955090,0.08888269,0.20698558
8,0.14155648,0.13218532,0.09655486,0.08774802,0.19807185
9,0.13521395,0.13131042,0.09420682,0.08723302,0.19158441
10,0.13027145,0.12949900,0.09237535,0.08653803,0.18667504
11,0.12572858,0.12832641,0.09063130,0.08594804,0.18233335
12,0.12199469,0.12781175,0.08918302,0.08591121,0.17882344
13,0.11880678,0.12610325,0.08794453,0.08518262,0.17613269
14,0.11588721,0.12571842,0.08680410,0.08516312,0.17374173
15,0.11356219,0.12587713,0.08587737,0.08489259,0.17194419
16,0.11124542,0.12387975,0.08493415,0.08432407,0.17020697
17,0.10926934,0.12543730,0.08415329,0.08496998,0.16895873
18,0.10739193,0.12445018,0.08334681,0.08442719,0.16771059
19,0.10560946,0.12418564,0.08261242,0.08419792,0.16648660
20,0.10420453,0.12503282,0.08204234,0.08439908,0.16593841
21,0.10304001,0.12429151,0.08152608,0.08426761,0.16532816
22,0.10191229,0.12617296,0.08104790,0.08459114,0.16488797
23,0.10109627,0.12519557,0.08065024,0.08407092,0.16468867
24,0.10037241,0.12459807,0.08033821,0.08403210,0.16462172
25,0.09985290,0.12523505,0.08006486,0.08427225,0.16456775
26,0.09918927,0.12439758,0.07974098,0.08387122,0.16447663
27,0.09895078,0.12481464,0.07962510,0.08383539,0.16477766
28,0.09860068,0.12439633,0.07942234,0.08392857,0.16487809
29,0.09848458,0.12397049,0.07928989,0.08406272,0.16524428
30,0.09848157,0.12520249,0.07927105,0.08393814,0.16574807
31,0.09840021,0.12636086,0.07917516,0.08461723,0.16605911
32,0.09844697,0.12388468,0.07911012,0.08366820,0.16650120
33,0.09866937,0.12505802,0.07918101,0.08377970,0.16718772
34,0.09882564,0.12482047,0.07918540,0.08398815,0.16777251
35,0.09917237,0.12443784,0.07926311,0.08376712,0.16841659
36,0.09927928,0.12515194,0.07929474,0.08383423,0.16894029
37,0.09962636,0.12532988,0.07937627,0.08383683,0.16961366
38,0.09984296,0.12597701,0.07942183,0.08387384,0.17018717
39,0.10027973,0.12623952,0.07952379,0.08392010,0.17084598
40,0.10064240,0.12730622,0.07961112,0.08424346,0.17153119
41,0.10102395,0.12765131,0.07973252,0.08438394,0.17220273
42,0.10138510,0.12729151,0.07983744,0.08430841,0.17283168
43,0.10178500,0.12764954,0.07997807,0.08421193,0.17355124
44,0.10216914,0.12884960,0.08005750,0.08456208,0.17412986
45,0.10266291,0.12851540,0.08020129,0.08436919,0.17478911
46,0.10323812,0.12810794,0.08039735,0.08441212,0.17564396
47,0.10370973,0.12951886,0.08052536,0.08467130,0.17630989
48,0.10407064,0.13015470,0.08064384,0.08473876,0.17686339
49,0.10463884,0.13030487,0.08084675,0.08491955,0.17765631
50,0.10519513,0.13019252,0.08100194,0.08491893,0.17836970
51,0.10559030,0.13014212,0.08114089,0.08478286,0.17896472
52,0.10615350,0.13069895,0.08132516,0.08519548,0.17968486
53,0.10659354,0.13142538,0.08144252,0.08494629,0.18027182
54,0.10715496,0.13161308,0.08162080,0.08528015,0.18093389
55,0.10767224,0.13182866,0.08175936,0.08514386,0.18154644
56,0.10825832,0.13266942,0.08198729,0.08545275,0.18232016
57,0.10879063,0.13359172,0.08216213,0.08543977,0.18298456
58,0.10930857,0.13311136,0.08229860,0.08571487,0.18356304
59,0.10981099,0.13347214,0.08247482,0.08585391,0.18423942
60,0.11040748,0.13460771,0.08266259,0.08610566,0.18481519
61,0.11084902,0.13475678,0.08280097,0.08602403,0.18544690
62,0.11155812,0.13561146,0.08303814,0.08630524,0.18618585
63,0.11204654,0.13624134,0.08320619,0.08668872,0.18675862
64,0.11264936,0.13650430,0.08339202,0.08640446,0.18741743
65,0.11314112,0.13633734,0.08355780,0.08645670,0.18797930
66,0.11372321,0.13772260,0.08372851,0.08667760,0.18858714
67,0.11425863,0.13791049,0.08391864,0.08681731,0.18925895
68,0.11471083,0.13833333,0.08403532,0.08730974,0.18969852
69,0.11530708,0.13870594,0.08423681,0.08735304,0.19028672
70,0.11590158,0.14038292,0.08444779,0.08772485,0.19097400
71,0.11644700,0.14008365,0.08462665,0.08760655,0.19156065
72,0.11691620,0.13943920,0.08476099,0.08722461,0.19210131
73,0.11745056,0.14007049,0.08495232,0.08733006,0.19260649
74,0.11799166,0.14060612,0.08511609,0.08774281,0.19322656
75,0.11857654,0.14090720,0.08532887,0.08809764,0.19386005
76,0.11840171,0.14254993,0.08524724,0.08799666,0.19353550
77,0.11835767,0.14197382,0.08521161,0.08794016,0.19346550
78,0.11822852,0.14066319,0.08517343,0.08789024,0.19340791
79,0.11808031,0.14092739,0.08511554,0.08796351,0.19327457
80,0.11795783,0.14132160,0.08503670,0.08798113,0.19303100
81,0.11793036,0.14229171,0.08503021,0.08850414,0.19301914
82,0.11772571,0.14150579,0.08497000,0.08786332,0.19287834
83,0.11768358,0.14060906,0.08490474,0.08794936,0.19280982
84,0.11759569,0.14120634,0.08490235,0.08784383,0.19267814
85,0.11737667,0.14079592,0.08481393,0.08740870,0.19248978
86,0.11727424,0.14051412,0.08478226,0.08778542,0.19244804
87,0.11716272,0.14068140,0.08471739,0.08801613,0.19226426
88,0.11705391,0.14076396,0.08467361,0.08785301,0.19219022
89,0.11696915,0.14072062,0.08464332,0.08796258,0.19211353
90,0.11687111,0.14128888,0.08459900,0.08794220,0.19200201
91,0.11676481,0.14055194,0.08457669,0.08753592,0.19193792
92,0.11658930,0.14172318,0.08448055,0.08795089,0.19173886
93,0.11657389,0.14039271,0.08447826,0.08780669,0.19173123
94,0.11641675,0.14021273,0.08442834,0.08760976,0.19157822
95,0.11633987,0.14088227,0.08439142,0.08783907,0.19155257
96,0.11622709,0.14143731,0.08432873,0.08803245,0.19139022
97,0.11622155,0.14099625,0.08434868,0.08777500,0.19136677
98,0.11612921,0.14065477,0.08429492,0.08794011,0.19126612
99,0.11596311,0.14149905,0.08423759,0.08806276,0.19116992
100,0.11591987,0.14102710,0.08421283,0.08772149,0.19107652
101,0.11583464,0.14147607,0.08417224,0.08794371,0.19103176
102,0.11575596,0.14201558,0.08414031,0.08816118,0.19097807
103,0.11571012,0.14038022,0.08413382,0.08796908,0.19088851
104,0.11556376,0.14148398,0.08406109,0.08813295,0.19079742
105,0.11560000,0.14070941,0.08406160,0.08774542,0.19081894
106,0.11545828,0.14112083,0.08402644,0.08795768,0.19067672
107,0.11533908,0.14120619,0.08396837,0.08818166,0.19057202
108,0.11526211,0.14059356,0.08395704,0.08777229,0.19050720
109,0.11526195,0.14165191,0.08394332,0.08832071,0.19054357
110,0.11509921,0.14106232,0.08386732,0.08808824,0.19035668
111,0.11513606,0.14059985,0.08388630,0.08786408,0.19038406
112,0.11504188,0.14109095,0.08384583,0.08802767,0.19032173
113,0.11486029,0.14144563,0.08377891,0.08810688,0.19013888
114,0.11486986,0.14149131,0.08377701,0.08814496,0.19012845
115,0.11475815,0.14170615,0.08376024,0.08804642,0.19005799
116,0.11479531,0.14082726,0.08375723,0.08789491,0.19010751
117,0.11458234,0.14171578,0.08365985,0.08824245,0.18987662
118,0.11463609,0.13997874,0.08369431,0.08759194,0.18992867
