epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.24227855,0.13915886,0.12850715,0.09056905,0.30046757
2,0.13533273,0.12842176,0.09469797,0.08689076,0.16633899
3,0.11629438,0.12506878,0.08759871,0.08568205,0.14332327
4,0.10531929,0.12564278,0.08339564,0.08617043,0.13025317
5,0.09732235,0.12402992,0.08014331,0.08565405,0.12064004
6,0.09104649,0.12553859,0.07763910,0.08543700,0.11340439
7,0.08644063,0.12603750,0.07567586,0.08546705,0.10801417
8,0.08283035,0.12537023,0.07405199,0.08490335,0.10390601
9,0.08007928,0.12435401,0.07285557,0.08513680,0.10090311
10,0.07813396,0.12396888,0.07198552,0.08455591,0.09883281
11,0.07659920,0.12364844,0.07126828,0.08456952,0.09727865
12,0.07542169,0.12307983,0.07066400,0.08437230,0.09605981
13,0.07475829,0.12222007,0.07035590,0.08427658,0.09558884
14,0.07424044,0.12209166,0.07012095,0.08427270,0.09528749
15,0.07404425,0.12223809,0.07002853,0.08425852,0.09531968
16,0.07323707,0.12224749,0.06970181,0.08441723,0.09482894
17,0.06959840,0.12124054,0.06796118,0.08349419,0.09073308
18,0.06671853,0.12117166,0.06650385,0.08336896,0.08749786
19,0.06404508,0.12076164,0.06518147,0.08274837,0.08460937
20,0.06217700,0.11997013,0.06423228,0.08269288,0.08272735
21,0.06052195,0.11890940,0.06338458,0.08301945,0.08104636
22,0.05893455,0.12014376,0.06252123,0.08295151,0.07941539
23,0.05780504,0.11903122,0.06187568,0.08212360,0.07833565
24,0.05701468,0.11928179,0.06148447,0.08244467,0.07776035
25,0.05620470,0.11922966,0.06100702,0.08248393,0.07706546
26,0.05540114,0.11894871,0.06057154,0.08207269,0.07642626
27,0.05510526,0.11942269,0.06043457,0.08215603,0.07640317
28,0.05463470,0.11970641,0.06016286,0.08240863,0.07614867
29,0.05445436,0.11933735,0.06002988,0.08215868,0.07622996
30,0.05440203,0.11860343,0.06002789,0.08200446,0.07652027
31,0.05500876,0.12029771,0.06038717,0.08257278,0.07763416
32,0.05362141,0.11949113,0.05955806,0.08174722,0.07622282
33,0.05278263,0.12009900,0.05914217,0.08257697,0.07560190
34,0.05147540,0.11845522,0.05835806,0.08204983,0.07432012
35,0.05053720,0.11767332,0.05782781,0.08228490,0.07352313
36,0.04963983,0.11728016,0.05730736,0.08205716,0.07275233
37,0.04889457,0.11725743,0.05686982,0.08168328,0.07221533
38,0.04823516,0.11690062,0.05647364,0.08195459,0.07173967
39,0.04778754,0.11513968,0.05619340,0.08160426,0.07147796
40,0.04735576,0.11719715,0.05586721,0.08180749,0.07120341
41,0.04696276,0.11610856,0.05568021,0.08166430,0.07111430
42,0.04676252,0.11672008,0.05552729,0.08192617,0.07112680
43,0.04659752,0.11682779,0.05544848,0.08176783,0.07127278
44,0.04646217,0.11610048,0.05536717,0.08168702,0.07142827
45,0.04649822,0.11608645,0.05537891,0.08160632,0.07174352
46,0.04745270,0.11544650,0.05598187,0.08229917,0.07325055
47,0.04679585,0.11449499,0.05557683,0.08184046,0.07275402
