epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.98173071,0.39504309,0.26916680,0.16029731,1.29041023
2,0.62806536,0.29294840,0.21216259,0.13658122,0.81536913
3,0.49854900,0.23663378,0.18768175,0.12190774,0.64675080
4,0.41745633,0.20359786,0.17056627,0.11210453,0.54132340
5,0.35915394,0.18625742,0.15788176,0.10671749,0.46941091
6,0.31826572,0.17683529,0.14843084,0.10405626,0.41849904
7,0.28751182,0.16715282,0.14079409,0.10055603,0.38093532
8,0.26321015,0.16149537,0.13428199,0.09843209,0.35051393
9,0.24363479,0.15737014,0.12898742,0.09715751,0.32735569
10,0.22740788,0.15337389,0.12442614,0.09580626,0.30751567
11,0.21479238,0.14947635,0.12077374,0.09419646,0.29260807
12,0.20294876,0.14719739,0.11720019,0.09333357,0.27834342
13,0.19331147,0.14349832,0.11430082,0.09223002,0.26696633
14,0.18518754,0.14321139,0.11174296,0.09202593,0.25742161
15,0.17777209,0.14114575,0.10945579,0.09121642,0.24909378
16,0.17237763,0.13928273,0.10756393,0.09043793,0.24273772
17,0.16663646,0.13668524,0.10573649,0.08961944,0.23633844
18,0.16180440,0.13538738,0.10393578,0.08919435,0.23025128
19,0.15758357,0.13364661,0.10243307,0.08849901,0.22589784
20,0.15400141,0.13302529,0.10136462,0.08831535,0.22234411
21,0.15131120,0.13283580,0.10038412,0.08808503,0.21940250
22,0.14818291,0.13048181,0.09929822,0.08752920,0.21634863
23,0.14522984,0.13022730,0.09825038,0.08737139,0.21287704
24,0.14297467,0.12950789,0.09741023,0.08679772,0.21070870
25,0.14026052,0.12808875,0.09636318,0.08676286,0.20767199
26,0.13847294,0.12841500,0.09571118,0.08652599,0.20623931
27,0.13589906,0.12683489,0.09467468,0.08614870,0.20289977
28,0.13425479,0.12702364,0.09412860,0.08595521,0.20193626
29,0.13277333,0.12651379,0.09347679,0.08569341,0.20019282
30,0.13068076,0.12583538,0.09275763,0.08537437,0.19834858
31,0.12931271,0.12495268,0.09228434,0.08501508,0.19685871
32,0.12817278,0.12492853,0.09174700,0.08508052,0.19569890
33,0.12696820,0.12526536,0.09125477,0.08496271,0.19498506
34,0.12586782,0.12442432,0.09077147,0.08479564,0.19369719
35,0.12440902,0.12458648,0.09024215,0.08484927,0.19250875
36,0.12292727,0.12429634,0.08961228,0.08511021,0.19089494
37,0.12236615,0.12388728,0.08935601,0.08483027,0.19060161
38,0.12051133,0.12289486,0.08864034,0.08468915,0.18882190
39,0.12019754,0.12335176,0.08853496,0.08440227,0.18876660
40,0.11934358,0.12334193,0.08820296,0.08435839,0.18823457
41,0.11856004,0.12295704,0.08782511,0.08432625,0.18753278
42,0.11779782,0.12345504,0.08745610,0.08443817,0.18689235
43,0.11713846,0.12238481,0.08728087,0.08409661,0.18664504
44,0.11576922,0.12276456,0.08669209,0.08429418,0.18526196
45,0.11566644,0.12463101,0.08658663,0.08494431,0.18538267
46,0.11473869,0.12289480,0.08623752,0.08402468,0.18466952
47,0.11455524,0.12217538,0.08609986,0.08398877,0.18460615
48,0.11344567,0.12291826,0.08566890,0.08441520,0.18380255
49,0.11287454,0.12240280,0.08539148,0.08381286,0.18329723
50,0.11215678,0.12254797,0.08504833,0.08411077,0.18261533
51,0.11202939,0.12347294,0.08508120,0.08432542,0.18297149
52,0.11159481,0.12357118,0.08487759,0.08447641,0.18271499
53,0.11103818,0.12304048,0.08461002,0.08390868,0.18205476
54,0.11094680,0.12289717,0.08452692,0.08444153,0.18244585
55,0.10975168,0.12317285,0.08406490,0.08413598,0.18141576
56,0.10950172,0.12229928,0.08395382,0.08366262,0.18166945
57,0.10931664,0.12437964,0.08380031,0.08392008,0.18151065
58,0.10903022,0.12355623,0.08369497,0.08450843,0.18141587
59,0.10895251,0.12326766,0.08363839,0.08403744,0.18162086
60,0.10849244,0.12285029,0.08350393,0.08414105,0.18141372
61,0.10812151,0.12208215,0.08334009,0.08378008,0.18131353
62,0.10816875,0.12166608,0.08331747,0.08399708,0.18144263
63,0.10745428,0.12423575,0.08302224,0.08447417,0.18105504
64,0.10785137,0.12278992,0.08305139,0.08388852,0.18151780
65,0.10724803,0.12180796,0.08288694,0.08367225,0.18119571
66,0.10752009,0.12376749,0.08292658,0.08380209,0.18154939
67,0.10721084,0.12468231,0.08277826,0.08450906,0.18166463
