epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.75461218,0.21292118,0.22803860,0.11329920,0.94145603
2,0.38633513,0.18130048,0.16139290,0.10459195,0.48062468
3,0.30461539,0.17148037,0.14322644,0.10087729,0.38190913
4,0.26480680,0.16408865,0.13353556,0.09834833,0.33502272
5,0.24094277,0.15781649,0.12730489,0.09668767,0.30686173
6,0.22566567,0.15409129,0.12319813,0.09560977,0.28935378
7,0.21414011,0.15101751,0.12000000,0.09462774,0.27662632
8,0.20708413,0.14671265,0.11808198,0.09338141,0.26923572
9,0.20080279,0.14772587,0.11620422,0.09364429,0.26262292
10,0.19771908,0.14552724,0.11526131,0.09266259,0.26036925
11,0.19573410,0.14431734,0.11458790,0.09246932,0.25872640
12,0.19322950,0.14352248,0.11379724,0.09216961,0.25699322
13,0.19261280,0.14365272,0.11367468,0.09219710,0.25766408
14,0.19174964,0.14333260,0.11343382,0.09206631,0.25826722
15,0.19029895,0.14326457,0.11310833,0.09202680,0.25811493
16,0.18711330,0.14109476,0.11187330,0.09133255,0.25414682
17,0.18095932,0.13803905,0.11019553,0.09046404,0.24762315
18,0.17459344,0.13644242,0.10806288,0.08965381,0.24025866
19,0.16916446,0.13443907,0.10643743,0.08919095,0.23407778
20,0.16625737,0.13350907,0.10556428,0.08869453,0.23146003
21,0.16231211,0.13234221,0.10419035,0.08799863,0.22722888
22,0.16092313,0.13195070,0.10365734,0.08753651,0.22622988
23,0.15792622,0.13054855,0.10269947,0.08745491,0.22295576
24,0.15703137,0.13001008,0.10238633,0.08721918,0.22283431
25,0.15642801,0.12964816,0.10222810,0.08702282,0.22311369
26,0.15479308,0.13004249,0.10160382,0.08706487,0.22151495
27,0.15430677,0.12922363,0.10136419,0.08683959,0.22149010
28,0.15409514,0.12943769,0.10131718,0.08687894,0.22234919
29,0.15379061,0.12962367,0.10127298,0.08690852,0.22289450
30,0.15444199,0.12955780,0.10142510,0.08688695,0.22475355
31,0.15383179,0.13039642,0.10112924,0.08648913,0.22411990
32,0.15245200,0.12952893,0.10050791,0.08671648,0.22263155
33,0.14943113,0.12833532,0.09968192,0.08624439,0.21973761
34,0.14767710,0.12743203,0.09910363,0.08655797,0.21792726
35,0.14649673,0.12538034,0.09848081,0.08538012,0.21630779
36,0.14497493,0.12650490,0.09801247,0.08564554,0.21532467
37,0.14406224,0.12597304,0.09750681,0.08535665,0.21429111
38,0.14383717,0.12559815,0.09755300,0.08511740,0.21501825
39,0.14286398,0.12655253,0.09714630,0.08545283,0.21399467
40,0.14223721,0.12610387,0.09698386,0.08522822,0.21412165
41,0.14247755,0.12568052,0.09707025,0.08534323,0.21529984
42,0.14177705,0.12568073,0.09680490,0.08528621,0.21508256
43,0.14199453,0.12612052,0.09678184,0.08528985,0.21547070
44,0.14156011,0.12644274,0.09668751,0.08536095,0.21605967
45,0.14215177,0.12645531,0.09695472,0.08533722,0.21721044
46,0.14242298,0.12698238,0.09704294,0.08556311,0.21789829
47,0.14139375,0.12611304,0.09665412,0.08517488,0.21707902
48,0.14044350,0.12574449,0.09615735,0.08510320,0.21560512
49,0.13921677,0.12551638,0.09584048,0.08512483,0.21503804
50,0.13856137,0.12545383,0.09550812,0.08524763,0.21403452
51,0.13743425,0.12634403,0.09504728,0.08506299,0.21248576
52,0.13720602,0.12503333,0.09489766,0.08489130,0.21180093
53,0.13597893,0.12392918,0.09463945,0.08444180,0.21061290
54,0.13582811,0.12490961,0.09457151,0.08480502,0.21031434
55,0.13527490,0.12390822,0.09431815,0.08448237,0.20969213
56,0.13430358,0.12382133,0.09399432,0.08424558,0.20844346
57,0.13465931,0.12388835,0.09415246,0.08445071,0.20855746
58,0.13395710,0.12369474,0.09394709,0.08438044,0.20780167
59,0.13375823,0.12375254,0.09369759,0.08446348,0.20754357
60,0.13386203,0.12367915,0.09373897,0.08439203,0.20739842
61,0.13423172,0.12488127,0.09403321,0.08492471,0.20847668
62,0.13283206,0.12409989,0.09349577,0.08484278,0.20647439
63,0.13206563,0.12496599,0.09335587,0.08454979,0.20601864
64,0.13137699,0.12245641,0.09285844,0.08403808,0.20433864
65,0.13058750,0.12266118,0.09257533,0.08408939,0.20351974
66,0.13025371,0.12212349,0.09247539,0.08378719,0.20334729
67,0.12898359,0.12340422,0.09202810,0.08442670,0.20144138
68,0.12861100,0.12159547,0.09190602,0.08370836,0.20115720
69,0.12883082,0.12112575,0.09200115,0.08343232,0.20107238
70,0.12758769,0.12115569,0.09162492,0.08362991,0.19980193
71,0.12724141,0.12108023,0.09134543,0.08354704,0.19924413
72,0.12733235,0.12146608,0.09152729,0.08373471,0.19950700
73,0.12682506,0.12104362,0.09131258,0.08354578,0.19899952
74,0.12635934,0.12093304,0.09114438,0.08358590,0.19827069
75,0.12683278,0.12086027,0.09127994,0.08353385,0.19891339
76,0.12666314,0.12062662,0.09124735,0.08374023,0.19883736
77,0.12693996,0.12247612,0.09131248,0.08341334,0.19927220
78,0.12622933,0.12046729,0.09106072,0.08323297,0.19819079
79,0.12512959,0.12013444,0.09058934,0.08353152,0.19685559
80,0.12408778,0.12096490,0.09039869,0.08356017,0.19627675
81,0.12420130,0.12068314,0.09031890,0.08378104,0.19604658
82,0.12347726,0.12081703,0.08999576,0.08353973,0.19497113
83,0.12334840,0.12008105,0.08994940,0.08310669,0.19484472
84,0.12171016,0.11951058,0.08932719,0.08314815,0.19287223
85,0.12251510,0.11961046,0.08968577,0.08325736,0.19362786
86,0.12168902,0.11949967,0.08946241,0.08316396,0.19304223
87,0.12153019,0.11934136,0.08938900,0.08308551,0.19277090
88,0.12131559,0.11943170,0.08927128,0.08306669,0.19228315
89,0.12085167,0.11947912,0.08909763,0.08313929,0.19213701
90,0.12109220,0.11938445,0.08913176,0.08302814,0.19174324
91,0.12205575,0.11891702,0.08937832,0.08276019,0.19320323
92,0.12155621,0.11887817,0.08949815,0.08276362,0.19327502
93,0.12041129,0.11838869,0.08896539,0.08318569,0.19163986
94,0.12009953,0.11912673,0.08879874,0.08309671,0.19111542
95,0.11949263,0.11776148,0.08865845,0.08270949,0.19060524
96,0.11840138,0.11842815,0.08806898,0.08304874,0.18924513
97,0.11903664,0.11794156,0.08833118,0.08290513,0.18984182
98,0.11826220,0.11830274,0.08812168,0.08294758,0.18903452
99,0.11759584,0.11778545,0.08779372,0.08262903,0.18819810
100,0.11755997,0.11862328,0.08775185,0.08318817,0.18802418
101,0.11675390,0.11740121,0.08765850,0.08249334,0.18750499
102,0.11667090,0.11749259,0.08746400,0.08244451,0.18724261
103,0.11688531,0.11752685,0.08757894,0.08243659,0.18747904
104,0.11637810,0.11771696,0.08734178,0.08252132,0.18682598
105,0.11706831,0.11768367,0.08774177,0.08248990,0.18795513
106,0.11681519,0.11882183,0.08755422,0.08323179,0.18742530
107,0.11697927,0.11875416,0.08766488,0.08282466,0.18811458
108,0.11592955,0.11800626,0.08722514,0.08212350,0.18666365
109,0.11570494,0.11751830,0.08718376,0.08233948,0.18636784
110,0.11541291,0.11767093,0.08703816,0.08248917,0.18603886
111,0.11554108,0.11643618,0.08708942,0.08214728,0.18606766
112,0.11499348,0.11713134,0.08678773,0.08235255,0.18531595
113,0.11385042,0.11676471,0.08637592,0.08218096,0.18401360
114,0.11351611,0.11623054,0.08625018,0.08200393,0.18370398
115,0.11355354,0.11704137,0.08626300,0.08210613,0.18382340
116,0.11337282,0.11665261,0.08618391,0.08217869,0.18343429
117,0.11304931,0.11700974,0.08610275,0.08230616,0.18331618
118,0.11386589,0.11640639,0.08638973,0.08209176,0.18413494
119,0.11330845,0.11650197,0.08616962,0.08213762,0.18338274
120,0.11319696,0.11648423,0.08621918,0.08209783,0.18356325
121,0.11408622,0.11668244,0.08643728,0.08221314,0.18439295
122,0.11348687,0.11711609,0.08623011,0.08196873,0.18392560
123,0.11299062,0.11636024,0.08613307,0.08237166,0.18345347
124,0.11295375,0.11569911,0.08603482,0.08200000,0.18327913
125,0.11235207,0.11617066,0.08590512,0.08164354,0.18256733
126,0.11148871,0.11639026,0.08551256,0.08213122,0.18160822
127,0.11155406,0.11602567,0.08553757,0.08195329,0.18175902
128,0.11097445,0.11680513,0.08534019,0.08214528,0.18118513
129,0.11117412,0.11613822,0.08532872,0.08203139,0.18125288
130,0.11038830,0.11581136,0.08506612,0.08186622,0.18019550
131,0.11009363,0.11570354,0.08499246,0.08177031,0.18024360
132,0.10988192,0.11594378,0.08480873,0.08172571,0.17953918
133,0.10956763,0.11599480,0.08483631,0.08186919,0.17946919
134,0.11013618,0.11589835,0.08489402,0.08192371,0.17984361
135,0.11042101,0.11578758,0.08513661,0.08188634,0.18036684
136,0.11065777,0.11543004,0.08518487,0.08172076,0.18067371
137,0.11026076,0.11551341,0.08493907,0.08165706,0.18030319
138,0.11052851,0.11485680,0.08521181,0.08144559,0.18098126
139,0.10942738,0.11533533,0.08475362,0.08209894,0.17955814
140,0.10937188,0.11594725,0.08462059,0.08216936,0.17922426
141,0.10926212,0.11567152,0.08460243,0.08171733,0.17941340
142,0.10857412,0.11402120,0.08439668,0.08146080,0.17848439
143,0.10840132,0.11567206,0.08426972,0.08175468,0.17805323
144,0.10788258,0.11529192,0.08409875,0.08181884,0.17783272
145,0.10823918,0.11443065,0.08413063,0.08127095,0.17789439
146,0.10774475,0.11477763,0.08383802,0.08156773,0.17714206
147,0.10718909,0.11494675,0.08372356,0.08147035,0.17676176
148,0.10717336,0.11482148,0.08369638,0.08148121,0.17654458
149,0.10733656,0.11458084,0.08389061,0.08151190,0.17704925
150,0.10704525,0.11462254,0.08368718,0.08142913,0.17658752
151,0.10818783,0.11420130,0.08414345,0.08124130,0.17801738
152,0.10757376,0.11517055,0.08391713,0.08142970,0.17737612
153,0.10778516,0.11472884,0.08399620,0.08153247,0.17766976
154,0.10692639,0.11474444,0.08372349,0.08161915,0.17683561
155,0.10705558,0.11370760,0.08373141,0.08171761,0.17661908
156,0.10619447,0.11561027,0.08328599,0.08156364,0.17581007
157,0.10603240,0.11582747,0.08332815,0.08154310,0.17561850
158,0.10583804,0.11543243,0.08323888,0.08160807,0.17556290
159,0.10617766,0.11420580,0.08338096,0.08149146,0.17578948
160,0.10573787,0.11467922,0.08318996,0.08137164,0.17530836
161,0.10568372,0.11433393,0.08326339,0.08126778,0.17522070
162,0.10569156,0.11409010,0.08323584,0.08125869,0.17522722
163,0.10556832,0.11408831,0.08322540,0.08123368,0.17533399
164,0.10462841,0.11424148,0.08281296,0.08117688,0.17424831
165,0.10513522,0.11412827,0.08302999,0.08113919,0.17480037
166,0.10582797,0.11463974,0.08318962,0.08105946,0.17572584
167,0.10601982,0.11337584,0.08329471,0.08123192,0.17586845
168,0.10512198,0.11403455,0.08301435,0.08153331,0.17499471
169,0.10465124,0.11422284,0.08273908,0.08133178,0.17425921
170,0.10480317,0.11524905,0.08286936,0.08179563,0.17426449
171,0.10452878,0.11491692,0.08272362,0.08108982,0.17410705
172,0.10435010,0.11333408,0.08261215,0.08084242,0.17380951
173,0.10444854,0.11379927,0.08268505,0.08104505,0.17387747
174,0.10353285,0.11453004,0.08236483,0.08121289,0.17313929
175,0.10371938,0.11331958,0.08242603,0.08068428,0.17320288
176,0.10402367,0.11337056,0.08249127,0.08086587,0.17346906
177,0.10312238,0.11347186,0.08219920,0.08089918,0.17255069
178,0.10378286,0.11357281,0.08249352,0.08092443,0.17300429
179,0.10363654,0.11354937,0.08238957,0.08086857,0.17273186
180,0.10381331,0.11358682,0.08232625,0.08094655,0.17318220
181,0.10401395,0.11383490,0.08255803,0.08135073,0.17356552
182,0.10363201,0.11440116,0.08238774,0.08131602,0.17322775
183,0.10354983,0.11353493,0.08221028,0.08089982,0.17296752
184,0.10350178,0.11403101,0.08236790,0.08083518,0.17323843
185,0.10278524,0.11302896,0.08193369,0.08075445,0.17222308
186,0.10298264,0.11418680,0.08204347,0.08132865,0.17243245
187,0.10267857,0.11332055,0.08213653,0.08062296,0.17227050
188,0.10249706,0.11313992,0.08193768,0.08065056,0.17225777
189,0.10207243,0.11249739,0.08165458,0.08044060,0.17142833
190,0.10210122,0.11297364,0.08169630,0.08083276,0.17132983
191,0.10219687,0.11285173,0.08167616,0.08064940,0.17134370
192,0.10152142,0.11279884,0.08153094,0.08073565,0.17061515
193,0.10189115,0.11304964,0.08178911,0.08080527,0.17120885
194,0.10177218,0.11290391,0.08154704,0.08070709,0.17064521
195,0.10190137,0.11287207,0.08167845,0.08065660,0.17109664
196,0.10214147,0.11276933,0.08186379,0.08062520,0.17194657
197,0.10202167,0.11301822,0.08170893,0.08079865,0.17162539
198,0.10169198,0.11358554,0.08152625,0.08124781,0.17133567
199,0.10160135,0.11184477,0.08146448,0.08035060,0.17082441
200,0.10134568,0.11397856,0.08151090,0.08138826,0.17100937
201,0.10159874,0.11322447,0.08155249,0.08117920,0.17120610
202,0.10135241,0.11262483,0.08145782,0.08035432,0.17073879
203,0.10044586,0.11288565,0.08110226,0.08087018,0.16985189
204,0.10120646,0.11248086,0.08137012,0.08061095,0.17034194
205,0.10000579,0.11384522,0.08093443,0.08100550,0.16929798
206,0.09997026,0.11313962,0.08087353,0.08077951,0.16925178
207,0.10033476,0.11300061,0.08111119,0.08084720,0.16948501
208,0.10003604,0.11265251,0.08081514,0.08064543,0.16922975
209,0.09983553,0.11286229,0.08085447,0.08072919,0.16881894
210,0.10049730,0.11281218,0.08112871,0.08072059,0.16968151
211,0.10083909,0.11334541,0.08119251,0.08101876,0.17040814
212,0.10045230,0.11286611,0.08106129,0.08044767,0.16984493
213,0.10057954,0.11245165,0.08109188,0.08056429,0.16988357
214,0.10025399,0.11278671,0.08100581,0.08104185,0.16961145
215,0.09964969,0.11129038,0.08078341,0.08030615,0.16908053
216,0.09983669,0.11227208,0.08081041,0.08046960,0.16912243
217,0.09989600,0.11227495,0.08081487,0.08022620,0.16948476
218,0.09933722,0.11189991,0.08070656,0.08026505,0.16890928
219,0.09917815,0.11151346,0.08054154,0.08035395,0.16831931
220,0.09926683,0.11250618,0.08067010,0.08055525,0.16851296
221,0.09899513,0.11194798,0.08043318,0.08043298,0.16803886
222,0.09825990,0.11212494,0.08008833,0.08046023,0.16725221
223,0.09850082,0.11196903,0.08023812,0.08036054,0.16771711
224,0.09877424,0.11197683,0.08035897,0.08034922,0.16769971
225,0.09836839,0.11203377,0.08019568,0.08033261,0.16742416
226,0.09894561,0.11246471,0.08046416,0.08043120,0.16837825
227,0.09877938,0.11237220,0.08052294,0.08051804,0.16820658
228,0.09869959,0.11201910,0.08032611,0.08024575,0.16807025
229,0.09899258,0.11300154,0.08051204,0.08076578,0.16857757
230,0.09833678,0.11191928,0.08005343,0.08060678,0.16732565
231,0.09842597,0.11234125,0.08036299,0.08022925,0.16785021
232,0.09822441,0.11216026,0.08016929,0.08058902,0.16760185
233,0.09787419,0.11267772,0.07996716,0.08088885,0.16693614
234,0.09764700,0.11209701,0.07984075,0.08082010,0.16680219
235,0.09782400,0.11285824,0.08000022,0.08050102,0.16688785
236,0.09771761,0.11178481,0.07993431,0.08037127,0.16691574
237,0.09684153,0.11186381,0.07958608,0.08034801,0.16616346
238,0.09701869,0.11158707,0.07965820,0.08034660,0.16588710
239,0.09753787,0.11155700,0.07993200,0.08025548,0.16663095
240,0.09714308,0.11151674,0.07958083,0.08027274,0.16618498
241,0.09747770,0.11182578,0.07985678,0.08056667,0.16662915
242,0.09726787,0.11307397,0.07975576,0.08079059,0.16665624
243,0.09796361,0.11182257,0.08007355,0.08007164,0.16726415
244,0.09726409,0.11243896,0.07976741,0.08026544,0.16654987
245,0.09698352,0.11108879,0.07973929,0.08008007,0.16638255
246,0.09653509,0.11046626,0.07948097,0.08002853,0.16565531
247,0.09737255,0.11161680,0.07983950,0.08060311,0.16670691
248,0.09677361,0.11187203,0.07946516,0.08025950,0.16562614
249,0.09634847,0.11189321,0.07941911,0.08019151,0.16548069
250,0.09605567,0.11143799,0.07918855,0.08023934,0.16502957
251,0.09640816,0.11129323,0.07938498,0.08026472,0.16567723
252,0.09575336,0.11146975,0.07920928,0.08025374,0.16481716
253,0.09596207,0.11115276,0.07920278,0.08013478,0.16486096
254,0.09631491,0.11126860,0.07940516,0.08015366,0.16543513
255,0.09588939,0.11126269,0.07918596,0.08020250,0.16479954
256,0.09656793,0.11130995,0.07949951,0.08039798,0.16560438
257,0.09658854,0.11094191,0.07935200,0.08016730,0.16573266
258,0.09670345,0.11073781,0.07953788,0.08002187,0.16604361
259,0.09587761,0.11310963,0.07915952,0.08068940,0.16502959
260,0.09589907,0.11068346,0.07928912,0.07993034,0.16532954
261,0.09579041,0.11180582,0.07911290,0.08032054,0.16495216
262,0.09562583,0.11069286,0.07916267,0.08007341,0.16485057
263,0.09549600,0.11153338,0.07907129,0.08020792,0.16487599
264,0.09578067,0.11119172,0.07915778,0.08021536,0.16503097
265,0.09585500,0.11146905,0.07916745,0.08006376,0.16492585
266,0.09525585,0.11117920,0.07893148,0.08020470,0.16418001
267,0.09540437,0.11093872,0.07899351,0.08017683,0.16425698
268,0.09462602,0.11112844,0.07871180,0.08016162,0.16362464
269,0.09475009,0.11124902,0.07875634,0.08007536,0.16391521
270,0.09490437,0.11112389,0.07876609,0.08002564,0.16377549
271,0.09550109,0.11203565,0.07908120,0.08062451,0.16489128
272,0.09524462,0.11119328,0.07897866,0.08022552,0.16449688
273,0.09569684,0.11117519,0.07920283,0.08020314,0.16522679
274,0.09521406,0.11120841,0.07886831,0.08065177,0.16457704
275,0.09506080,0.11141573,0.07888512,0.08003864,0.16426171
276,0.09492812,0.11122529,0.07882599,0.08011418,0.16424437
277,0.09455681,0.11073045,0.07862497,0.08006157,0.16378264
278,0.09510473,0.11027277,0.07875368,0.07985970,0.16429219
279,0.09475082,0.11074512,0.07851849,0.07984507,0.16361148
280,0.09409817,0.11106407,0.07846301,0.08012362,0.16317480
281,0.09368036,0.11111137,0.07818719,0.08021534,0.16261807
282,0.09373996,0.11065919,0.07827141,0.08012179,0.16263578
283,0.09398262,0.11080213,0.07837599,0.08007397,0.16285107
284,0.09379867,0.11098072,0.07827028,0.08011870,0.16273559
285,0.09443114,0.11093022,0.07859481,0.08012214,0.16327674
286,0.09439079,0.11039949,0.07858426,0.08026306,0.16369733
287,0.09446551,0.11199798,0.07859179,0.08042849,0.16372795
288,0.09462488,0.11178858,0.07861678,0.08014247,0.16401074
289,0.09455625,0.11122838,0.07857353,0.08003794,0.16372548
290,0.09419865,0.11182486,0.07849014,0.08006094,0.16335034
291,0.09416380,0.11169231,0.07846142,0.07987097,0.16321894
292,0.09402163,0.11137226,0.07836620,0.08008772,0.16306473
293,0.09342971,0.11122384,0.07808029,0.07998702,0.16245211
294,0.09375822,0.11103291,0.07821247,0.08004360,0.16281188
295,0.09353529,0.11141648,0.07817578,0.08008892,0.16261716
296,0.09296772,0.11065600,0.07792480,0.07993164,0.16222052
297,0.09319134,0.11052017,0.07813706,0.07970489,0.16220101
298,0.09290804,0.11079190,0.07790490,0.07987435,0.16194023
299,0.09323635,0.11070386,0.07800302,0.07992888,0.16206601
300,0.09257504,0.11067335,0.07785073,0.07983332,0.16150515
301,0.09382678,0.11142360,0.07825849,0.07990375,0.16273582
302,0.09356635,0.11180604,0.07819517,0.08047460,0.16281342
303,0.09342254,0.11153276,0.07808632,0.08020098,0.16248588
304,0.09365613,0.11047455,0.07819549,0.07981733,0.16282968
305,0.09293238,0.11056712,0.07792645,0.07993519,0.16217703
306,0.09319172,0.10978795,0.07799518,0.07964501,0.16217080
307,0.09286424,0.11061606,0.07793479,0.07977513,0.16197657
308,0.09281779,0.11175954,0.07783295,0.08006125,0.16177278
309,0.09271669,0.10993533,0.07779676,0.08000353,0.16156998
310,0.09228037,0.11070742,0.07772335,0.08006728,0.16157468
311,0.09215823,0.11028382,0.07747776,0.07998246,0.16103227
312,0.09205933,0.11022122,0.07758445,0.07982668,0.16063951
313,0.09212238,0.11020793,0.07763189,0.07986521,0.16093293
314,0.09196902,0.10991564,0.07750194,0.07977676,0.16077206
315,0.09180607,0.11013115,0.07753135,0.07985491,0.16085345
316,0.09276184,0.11086698,0.07785655,0.08033870,0.16191293
