epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.17612051,0.13161332,0.11008420,0.08796816,0.22344388
2,0.09981125,0.12788853,0.08139640,0.08548138,0.12862394
3,0.08298784,0.12424851,0.07417275,0.08440774,0.11099306
4,0.07357213,0.12527973,0.06982527,0.08506278,0.10247169
5,0.06709458,0.11994580,0.06664427,0.08274048,0.09746345
6,0.06225395,0.12180580,0.06423481,0.08318859,0.09445580
7,0.05883512,0.11821223,0.06238449,0.08207380,0.09290867
8,0.05626119,0.11812897,0.06095980,0.08110706,0.09232634
9,0.05450808,0.11631360,0.05996935,0.08075569,0.09251438
10,0.05346071,0.11605756,0.05925158,0.08117823,0.09331018
11,0.05267505,0.11472992,0.05880365,0.08049918,0.09440961
12,0.05248537,0.11512800,0.05861658,0.08073472,0.09609087
13,0.05254411,0.11542657,0.05858205,0.08061171,0.09788678
14,0.05293358,0.11501048,0.05874836,0.08053808,0.09997833
15,0.05351190,0.11464672,0.05902656,0.08045481,0.10235129
16,0.05564340,0.11528549,0.06025575,0.08081790,0.10620862
17,0.05360052,0.11411194,0.05893927,0.08109934,0.10506172
18,0.05219535,0.11608974,0.05806142,0.08091457,0.10476542
19,0.05126659,0.11476530,0.05744481,0.08110595,0.10499351
20,0.05063441,0.11424517,0.05702720,0.08022304,0.10550355
21,0.05035983,0.11569481,0.05676577,0.08086761,0.10627429
22,0.05028228,0.11512406,0.05662723,0.08084953,0.10721848
23,0.05048598,0.11656976,0.05667914,0.08082969,0.10840509
24,0.05064173,0.11426645,0.05667628,0.08044703,0.10954963
25,0.05103536,0.11488251,0.05684049,0.08039269,0.11086643
26,0.05158474,0.11473465,0.05709945,0.08083935,0.11229280
27,0.05221147,0.11511226,0.05736030,0.08083708,0.11380539
28,0.05304393,0.11555596,0.05778894,0.08087504,0.11545441
29,0.05376328,0.11561202,0.05811717,0.08081228,0.11702024
30,0.05454995,0.11580473,0.05851220,0.08083396,0.11882771
31,0.05757114,0.11581244,0.06018877,0.08114678,0.12249630
32,0.05775608,0.11642254,0.06020341,0.08148780,0.12316369
33,0.05793155,0.11575918,0.06021463,0.08091024,0.12386717
34,0.05810982,0.11757169,0.06021288,0.08118241,0.12457242
35,0.05860207,0.11830997,0.06041597,0.08194139,0.12563239
36,0.05904414,0.11769502,0.06057875,0.08118377,0.12650902
37,0.05949375,0.11848109,0.06078569,0.08163792,0.12754015
38,0.06004452,0.11800576,0.06100710,0.08158078,0.12847217
39,0.06065954,0.11876918,0.06125286,0.08169509,0.12954487
40,0.06137404,0.11834848,0.06156024,0.08145128,0.13064645
41,0.06205864,0.11833980,0.06188500,0.08162926,0.13178438
42,0.06279758,0.11899658,0.06221185,0.08161981,0.13288359
43,0.06353939,0.11989513,0.06255321,0.08206015,0.13403391
44,0.06425866,0.12028518,0.06286591,0.08201283,0.13518760
45,0.06502282,0.12049451,0.06321152,0.08209608,0.13650327
46,0.06766176,0.12116237,0.06456809,0.08247718,0.13950330
47,0.06831818,0.12312135,0.06484487,0.08250466,0.14028795
48,0.06886984,0.12328345,0.06505226,0.08272797,0.14102939
49,0.06947220,0.12211615,0.06530679,0.08272990,0.14189387
50,0.06998834,0.12240663,0.06549297,0.08255262,0.14256548
51,0.06960863,0.12454125,0.06533769,0.08340525,0.14220730
52,0.06933234,0.12195129,0.06516556,0.08260938,0.14182544
53,0.06906419,0.12277578,0.06502328,0.08288835,0.14149517
54,0.06879384,0.12260912,0.06487911,0.08276570,0.14123050
55,0.06862427,0.12323515,0.06476353,0.08282012,0.14100001
56,0.06833567,0.12270224,0.06462567,0.08266600,0.14067472
57,0.06818726,0.12300169,0.06454048,0.08274819,0.14049821
58,0.06805571,0.12288519,0.06448376,0.08270666,0.14033131
59,0.06799338,0.12293200,0.06445267,0.08261421,0.14026883
60,0.06797316,0.12274628,0.06442172,0.08262806,0.14023246
61,0.06919471,0.12243468,0.06510435,0.08260627,0.14186459
62,0.06888589,0.12367169,0.06492972,0.08257977,0.14155039
63,0.06858668,0.12306272,0.06479030,0.08345461,0.14120108
64,0.06838330,0.12260856,0.06465295,0.08224056,0.14093981
65,0.06799086,0.12295263,0.06446782,0.08306165,0.14053603
66,0.06774792,0.12274019,0.06434747,0.08241093,0.14024681
67,0.06755912,0.12312442,0.06420781,0.08265278,0.14001553
68,0.06725265,0.12378487,0.06406012,0.08303610,0.13971038
69,0.06703388,0.12322998,0.06393925,0.08271882,0.13943119
70,0.06690769,0.12264550,0.06387065,0.08267603,0.13931309
