epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.17612541,0.13209740,0.11009719,0.08812707,0.22139850
2,0.09956388,0.12889026,0.08131904,0.08574741,0.12524434
3,0.08247060,0.12567399,0.07398352,0.08485758,0.10587673
4,0.07272438,0.12762504,0.06948198,0.08577425,0.09558905
5,0.06584012,0.12223446,0.06610136,0.08342439,0.08883685
6,0.06055831,0.12470599,0.06345433,0.08407268,0.08414797
7,0.05667879,0.12142274,0.06134983,0.08307650,0.08102005
8,0.05361269,0.12175444,0.05964249,0.08216453,0.07894407
9,0.05134442,0.12011412,0.05836077,0.08180898,0.07772804
10,0.04973899,0.12005177,0.05732984,0.08231739,0.07719341
11,0.04840554,0.11879550,0.05657288,0.08167665,0.07705038
12,0.04765136,0.11921796,0.05608483,0.08192884,0.07756013
13,0.04715885,0.11945145,0.05574713,0.08170764,0.07825719
14,0.04701076,0.11891943,0.05563708,0.08156473,0.07934089
15,0.04710569,0.11821298,0.05567279,0.08140638,0.08073804
16,0.04854909,0.11887736,0.05661313,0.08179531,0.08378916
17,0.04577207,0.11799042,0.05482021,0.08224616,0.08162543
18,0.04362407,0.11989525,0.05344567,0.08196332,0.08025173
19,0.04201863,0.11718392,0.05239538,0.08175674,0.07955380
20,0.04066766,0.11606686,0.05150713,0.08087166,0.07912100
21,0.03971354,0.11700909,0.05082082,0.08146184,0.07905040
22,0.03893528,0.11656492,0.05025767,0.08128710,0.07917996
23,0.03845898,0.11845668,0.04991334,0.08143195,0.07961612
24,0.03795177,0.11539888,0.04950629,0.08079633,0.08002400
25,0.03769446,0.11528979,0.04930918,0.08055679,0.08068411
26,0.03760003,0.11453227,0.04921783,0.08082623,0.08147424
27,0.03763246,0.11507028,0.04916833,0.08075912,0.08240721
28,0.03789215,0.11501633,0.04932534,0.08078069,0.08354036
29,0.03807125,0.11490951,0.04939478,0.08060996,0.08459862
30,0.03840590,0.11467776,0.04959929,0.08052761,0.08593219
31,0.04082636,0.11369968,0.05121157,0.08067247,0.08933622
32,0.04031779,0.11579897,0.05083013,0.08104578,0.08949426
33,0.03979514,0.11324372,0.05042440,0.08026595,0.08964887
34,0.03936874,0.11431095,0.05006472,0.08042626,0.08986325
35,0.03923379,0.11432768,0.04993757,0.08092339,0.09044305
36,0.03906639,0.11404760,0.04977608,0.08027081,0.09090704
37,0.03894834,0.11447106,0.04968544,0.08054682,0.09151805
38,0.03890871,0.11373714,0.04959873,0.08061984,0.09205529
39,0.03898926,0.11370739,0.04958372,0.08024715,0.09278378
40,0.03917296,0.11319514,0.04965151,0.07993452,0.09355229
41,0.03935802,0.11318736,0.04974837,0.08011569,0.09437791
42,0.03960835,0.11345229,0.04986876,0.07989924,0.09520202
43,0.03991591,0.11393314,0.05003469,0.08035393,0.09610537
44,0.04020913,0.11400899,0.05018667,0.08015403,0.09700087
45,0.04061849,0.11382792,0.05042553,0.08017188,0.09810723
46,0.04288437,0.11408746,0.05190378,0.08035695,0.10107619
47,0.04300308,0.11613325,0.05193032,0.08051397,0.10161042
48,0.04306790,0.11531862,0.05190883,0.08063305,0.10211147
49,0.04320276,0.11422995,0.05196427,0.08070569,0.10274506
50,0.04326761,0.11433093,0.05193238,0.08016088,0.10322273
51,0.04276684,0.11653480,0.05165619,0.08111506,0.10274026
52,0.04241420,0.11352673,0.05139333,0.08016546,0.10229949
53,0.04209911,0.11460227,0.05117353,0.08065020,0.10193868
54,0.04177215,0.11489007,0.05095491,0.08065285,0.10161223
55,0.04155067,0.11552211,0.05078545,0.08070417,0.10135470
56,0.04121397,0.11503488,0.05057454,0.08051208,0.10097872
57,0.04105029,0.11514089,0.05045493,0.08047639,0.10077737
58,0.04086409,0.11496774,0.05035105,0.08035387,0.10059414
59,0.04081759,0.11505875,0.05031162,0.08031971,0.10052362
60,0.04076194,0.11488883,0.05026142,0.08033061,0.10048405
61,0.04223853,0.11447380,0.05128488,0.08017363,0.10226032
62,0.04187419,0.11616946,0.05103551,0.08041977,0.10190650
63,0.04151914,0.11513751,0.05082128,0.08125230,0.10151500
64,0.04125860,0.11425280,0.05061836,0.08009253,0.10120927
65,0.04080394,0.11520384,0.05033146,0.08103686,0.10073314
66,0.04052263,0.11504384,0.05014738,0.08021996,0.10041029
67,0.04028273,0.11556731,0.04993933,0.08040670,0.10014151
68,0.03993083,0.11603884,0.04971289,0.08067353,0.09979000
69,0.03966363,0.11550758,0.04954367,0.08052589,0.09948249
70,0.03950974,0.11485293,0.04942559,0.08026490,0.09932321
71,0.03925900,0.11555195,0.04925553,0.08041386,0.09902214
72,0.03903845,0.11485350,0.04911187,0.08008681,0.09878714
73,0.03895483,0.11577140,0.04903291,0.08038573,0.09866718
74,0.03879864,0.11556499,0.04895361,0.08037108,0.09853919
75,0.03879510,0.11533128,0.04895018,0.08029044,0.09849492
76,0.04018011,0.11594983,0.04993580,0.08107145,0.10023341
77,0.03995098,0.11649561,0.04973436,0.08095238,0.09992545
78,0.03968504,0.11541518,0.04955303,0.08028533,0.09965927
79,0.03941548,0.11540955,0.04939263,0.08063796,0.09936701
80,0.03913017,0.11645452,0.04918243,0.08092700,0.09905613
81,0.03886677,0.11607147,0.04901198,0.08031539,0.09879056
