epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.16125109,0.14890336,0.10124706,0.09162303,0.16313090,7.61231112e-02,4.87058275e-04,1.42750154e-04,7.78532314e-02
2,0.14840982,0.14419586,0.09796120,0.09048035,0.15099661,9.08893674e-02,4.87105155e-04,1.42712561e-04,9.68673696e-02
3,0.14482049,0.14287464,0.09694381,0.09036223,0.14759795,9.52698443e-02,4.87056780e-04,1.42635909e-04,1.00310481e-01
4,0.14269119,0.14159209,0.09633846,0.09018994,0.14555257,9.81654333e-02,4.87025583e-04,1.42446035e-04,1.01170063e-01
5,0.14129725,0.14070192,0.09596153,0.08992071,0.14421746,1.00625158e-01,4.86776986e-04,1.42620745e-04,1.01574632e-01
6,0.14018632,0.14072851,0.09563561,0.09010144,0.14314713,1.02294455e-01,4.87321455e-04,1.42753241e-04,1.01877760e-01
7,0.13940996,0.14031131,0.09544081,0.08995357,0.14239623,1.03401455e-01,4.87372822e-04,1.42378418e-04,1.02128252e-01
8,0.13889663,0.13995388,0.09527134,0.08984544,0.14189178,1.04245779e-01,4.87178799e-04,1.42863793e-04,1.01848898e-01
9,0.13830576,0.13945637,0.09511907,0.08977823,0.14131442,1.05033891e-01,4.86982325e-04,1.42604199e-04,1.01850444e-01
10,0.13793402,0.13947450,0.09499550,0.08978549,0.14094946,1.05742476e-01,4.87010398e-04,1.42435949e-04,1.01653462e-01
11,0.13774748,0.13938209,0.09496121,0.08973645,0.14077172,1.05918178e-01,4.86633100e-04,1.42633083e-04,1.01679384e-01
12,0.13751266,0.13922518,0.09488194,0.08968054,0.14053842,1.06232003e-01,4.87152604e-04,1.42237130e-04,1.01733915e-01
13,0.13753394,0.13902168,0.09489179,0.08965624,0.14056436,1.06473962e-01,4.87009538e-04,1.42524646e-04,1.01473495e-01
14,0.13737515,0.13903181,0.09483764,0.08966744,0.14040126,1.06324483e-01,4.86898170e-04,1.42555691e-04,1.01717679e-01
15,0.13734592,0.13902426,0.09483816,0.08966763,0.14037166,1.06390847e-01,4.86586547e-04,1.42564368e-04,1.01630385e-01
16,0.13699000,0.13847034,0.09475012,0.08952643,0.14003118,1.07027047e-01,4.87047729e-04,1.42449200e-04,1.01606958e-01
17,0.13630207,0.13754314,0.09454071,0.08925332,0.13935128,1.07923798e-01,4.87364362e-04,1.42229586e-04,1.01260895e-01
18,0.13544948,0.13695000,0.09427549,0.08924086,0.13851474,1.09129710e-01,4.86683173e-04,1.42658045e-04,1.01029591e-01
19,0.13480833,0.13622726,0.09406612,0.08903870,0.13788533,1.10440550e-01,4.86738307e-04,1.42422073e-04,1.00872833e-01
20,0.13430716,0.13624342,0.09391395,0.08903426,0.13739429,1.11145521e-01,4.87321538e-04,1.42529667e-04,1.00655250e-01
21,0.13374898,0.13568467,0.09373300,0.08896270,0.13683671,1.11920210e-01,4.87223053e-04,1.42512659e-04,1.00451895e-01
22,0.13319880,0.13581881,0.09356309,0.08899843,0.13630946,1.13038640e-01,4.86767800e-04,1.42471853e-04,1.00541260e-01
23,0.13286186,0.13565991,0.09342508,0.08895655,0.13598201,1.13535884e-01,4.87170632e-04,1.42511033e-04,1.00664406e-01
