epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.15351707,0.14351366,0.09907333,0.09052547,0.15401393,8.83688352e-02,6.31891757e-04,1.95495869e-04,9.11496070e-02
2,0.14167543,0.14068893,0.09592987,0.09017037,0.14230844,1.03424832e-01,6.31654930e-04,1.95460632e-04,1.06338981e-01
3,0.13846874,0.13958012,0.09498605,0.09025113,0.13913228,1.09078483e-01,6.31690424e-04,1.95386162e-04,1.08128051e-01
4,0.13622245,0.13832609,0.09429111,0.08964354,0.13689594,1.12752410e-01,6.31582446e-04,1.95170167e-04,1.08290710e-01
5,0.13474402,0.13698066,0.09382775,0.08974950,0.13542206,1.15575288e-01,6.31580729e-04,1.95309080e-04,1.08105610e-01
6,0.13328986,0.13514617,0.09339980,0.08922310,0.13397150,1.17735015e-01,6.31747477e-04,1.95310220e-04,1.08051221e-01
7,0.13229526,0.13497260,0.09307807,0.08910994,0.13298045,1.19760309e-01,6.31873276e-04,1.95689809e-04,1.08110854e-01
8,0.13134298,0.13471496,0.09276949,0.08918736,0.13203247,1.21014683e-01,6.31538749e-04,1.95658650e-04,1.08125293e-01
9,0.13064780,0.13453671,0.09255471,0.08924063,0.13134040,1.22084876e-01,6.31851778e-04,1.95053612e-04,1.08487684e-01
10,0.13009713,0.13437881,0.09236580,0.08921589,0.13079111,1.22815205e-01,6.31399832e-04,1.95305854e-04,1.08617556e-01
11,0.12969918,0.13363695,0.09223205,0.08892582,0.13039636,1.23509101e-01,6.31298419e-04,1.95201976e-04,1.08386940e-01
12,0.12932551,0.13332175,0.09212102,0.08888336,0.13002559,1.24012219e-01,6.31541795e-04,1.95284891e-04,1.08723939e-01
13,0.12926989,0.13365922,0.09207581,0.08902635,0.12996693,1.23945185e-01,6.31603805e-04,1.95370930e-04,1.08596387e-01
14,0.12901890,0.13341710,0.09200499,0.08894455,0.12972074,1.24775901e-01,6.31120597e-04,1.95385330e-04,1.08727876e-01
15,0.12901472,0.13335341,0.09201235,0.08890208,0.12971516,1.24403670e-01,6.31459390e-04,1.95658735e-04,1.08782170e-01
16,0.12861157,0.13350681,0.09187945,0.08896281,0.12931623,1.25226423e-01,6.31205832e-04,1.95493224e-04,1.09250382e-01
17,0.12765748,0.13255256,0.09152066,0.08872816,0.12836774,1.26647628e-01,6.31493563e-04,1.95466290e-04,1.09574501e-01
18,0.12656749,0.13291726,0.09114400,0.08862377,0.12728604,1.28248195e-01,6.31608837e-04,1.94758760e-04,1.10077023e-01
19,0.12570059,0.13175749,0.09080452,0.08826836,0.12642589,1.29505206e-01,6.31563444e-04,1.95236206e-04,1.10698120e-01
20,0.12483461,0.13343210,0.09049040,0.08891572,0.12556706,1.30541369e-01,6.31158672e-04,1.95295776e-04,1.11249020e-01
21,0.11293815,0.11730117,0.08653935,0.08288410,0.11374020,1.35001067e-01,1.49123957e-01,4.96524469e-02,9.81144785e-02
22,0.10666132,0.11478125,0.08434741,0.08199599,0.10751055,1.39717532e-01,1.68092170e-01,7.65559039e-02,8.50712979e-02
23,0.10413856,0.11493519,0.08344385,0.08210348,0.10502103,1.42795926e-01,1.74761760e-01,8.40322076e-02,8.04775270e-02
24,0.10252330,0.11415136,0.08286476,0.08168679,0.10342681,1.44956658e-01,1.78261487e-01,8.78840098e-02,7.79995297e-02
25,0.10155102,0.11465106,0.08247290,0.08181996,0.10246884,1.46402646e-01,1.81452449e-01,9.02732753e-02,7.63735860e-02
26,0.10087044,0.11406797,0.08221782,0.08165732,0.10179854,1.47661776e-01,1.81804860e-01,9.19955044e-02,7.52745048e-02
27,0.10035284,0.11421076,0.08201113,0.08165534,0.10128883,1.48617043e-01,1.82703355e-01,9.33223522e-02,7.42613593e-02
28,0.10018677,0.11416362,0.08194091,0.08162963,0.10112614,1.48793299e-01,1.83003503e-01,9.38817575e-02,7.40304540e-02
29,0.09989623,0.11423696,0.08184712,0.08163527,0.10083459,1.48500223e-01,1.83616736e-01,9.41359721e-02,7.36354485e-02
30,0.09979872,0.11426867,0.08179341,0.08162295,0.10074127,1.49199470e-01,1.83573632e-01,9.44421140e-02,7.35499631e-02
31,0.09949148,0.11486485,0.08169147,0.08141459,0.10044666,1.50656469e-01,1.85475184e-01,9.63804723e-02,7.25100271e-02
32,0.09788366,0.11598733,0.08106684,0.08194763,0.09886242,1.53234209e-01,1.87660900e-01,9.95344504e-02,7.03760788e-02
33,0.09664357,0.11554229,0.08058166,0.08179426,0.09763901,1.55309624e-01,1.89707895e-01,1.01929309e-01,6.88462270e-02
34,0.09556441,0.11702727,0.08014873,0.08221354,0.09657940,1.57179330e-01,1.92484203e-01,1.03893866e-01,6.77879551e-02
35,0.09459468,0.11777228,0.07975492,0.08215736,0.09562456,1.58679194e-01,1.93417462e-01,1.05065133e-01,6.72965946e-02
36,0.09385747,0.11802402,0.07947742,0.08205603,0.09489623,1.60068061e-01,1.94164020e-01,1.06167925e-01,6.61091142e-02
37,0.09307351,0.11897379,0.07911265,0.08216605,0.09412377,1.60715456e-01,1.96728844e-01,1.07278253e-01,6.61548032e-02
38,0.09240186,0.11847035,0.07889490,0.08220917,0.09346144,1.61781112e-01,1.97812943e-01,1.08099822e-01,6.57450873e-02
39,0.09204920,0.11883360,0.07874438,0.08203762,0.09311195,1.62284124e-01,1.97409100e-01,1.08229376e-01,6.56464774e-02
40,0.09161319,0.11958800,0.07854955,0.08204641,0.09268201,1.62785876e-01,1.98037757e-01,1.08870226e-01,6.53532459e-02
41,0.09128029,0.11940904,0.07839855,0.08207518,0.09235600,1.63598186e-01,1.99221729e-01,1.09311583e-01,6.54123201e-02
42,0.09116045,0.11900618,0.07834379,0.08204312,0.09223745,1.63402653e-01,1.99314406e-01,1.09375776e-01,6.52514712e-02
43,0.09087849,0.11921199,0.07822912,0.08202897,0.09195507,1.63396778e-01,1.98888101e-01,1.09381013e-01,6.53786294e-02
44,0.09088243,0.11939380,0.07826408,0.08209744,0.09196255,1.63533534e-01,2.00194088e-01,1.09601200e-01,6.53905910e-02
45,0.09088221,0.11925295,0.07824561,0.08207360,0.09196439,1.63982971e-01,1.99758962e-01,1.09641885e-01,6.52699987e-02
46,0.09087548,0.12023308,0.07824179,0.08213620,0.09195923,1.64198169e-01,2.00694897e-01,1.10212198e-01,6.48813701e-02
47,0.09026381,0.11988490,0.07798534,0.08227511,0.09135417,1.65037354e-01,1.99677687e-01,1.10936725e-01,6.42577983e-02
48,0.08964435,0.12168478,0.07775103,0.08270341,0.09074732,1.66169251e-01,2.02417309e-01,1.11839229e-01,6.37752186e-02
49,0.08900286,0.12151033,0.07748878,0.08268191,0.09011599,1.66919265e-01,2.02710016e-01,1.12339261e-01,6.39022910e-02
50,0.08841864,0.12202893,0.07724128,0.08264912,0.08953846,1.67560025e-01,2.03276582e-01,1.13062314e-01,6.38773094e-02
51,0.08795904,0.12217170,0.07701620,0.08250565,0.08908612,1.68226890e-01,2.04792226e-01,1.13650918e-01,6.32983369e-02
52,0.08757090,0.12206775,0.07688908,0.08226389,0.08870423,1.68953059e-01,2.05412328e-01,1.13987289e-01,6.32865021e-02
53,0.08706693,0.12365120,0.07665021,0.08270905,0.08820788,1.69440414e-01,2.05461338e-01,1.14430055e-01,6.28934606e-02
54,0.08675662,0.12200873,0.07653339,0.08247565,0.08790113,1.69967923e-01,2.06397231e-01,1.14434327e-01,6.30283920e-02
55,0.08647048,0.12296370,0.07638490,0.08255480,0.08761687,1.70299772e-01,2.06991082e-01,1.14786489e-01,6.28285021e-02
56,0.08633649,0.12327409,0.07634199,0.08261698,0.08748975,1.70737369e-01,2.08064615e-01,1.15042665e-01,6.28384836e-02
57,0.08612573,0.12246945,0.07626462,0.08242564,0.08727809,1.70662130e-01,2.07819525e-01,1.15104190e-01,6.26982734e-02
58,0.08612332,0.12278784,0.07625243,0.08254878,0.08727801,1.70735233e-01,2.07878367e-01,1.15134300e-01,6.26721006e-02
59,0.08603369,0.12278782,0.07621109,0.08251429,0.08718816,1.70951122e-01,2.07655931e-01,1.15352470e-01,6.24281474e-02
60,0.08606350,0.12284656,0.07619768,0.08251580,0.08721926,1.71020060e-01,2.07576593e-01,1.15369038e-01,6.25538108e-02
61,0.08623114,0.12366943,0.07629588,0.08289618,0.08739027,1.71171907e-01,2.08914950e-01,1.15396385e-01,6.27067556e-02
62,0.08593754,0.12431740,0.07614946,0.08316918,0.08709892,1.71345238e-01,2.08351879e-01,1.16038104e-01,6.21042723e-02
63,0.08546517,0.12438822,0.07594041,0.08275185,0.08663252,1.71968161e-01,2.09509539e-01,1.16294291e-01,6.19401574e-02
64,0.08503937,0.12453114,0.07576076,0.08274587,0.08620919,1.72558878e-01,2.08639912e-01,1.16446697e-01,6.20185822e-02
65,0.08451735,0.12400992,0.07548588,0.08262759,0.08569862,1.73369916e-01,2.10085570e-01,1.16966218e-01,6.20848155e-02
66,0.08414395,0.12391268,0.07536562,0.08283846,0.08532921,1.73745884e-01,2.11253557e-01,1.17400149e-01,6.18042833e-02
67,0.08382665,0.12391233,0.07522000,0.08272628,0.08501725,1.74287903e-01,2.11186145e-01,1.17294431e-01,6.18474837e-02
68,0.08358417,0.12426107,0.07511480,0.08256198,0.08477559,1.74208315e-01,2.11754032e-01,1.17521914e-01,6.18029615e-02
69,0.08327116,0.12439959,0.07497184,0.08272705,0.08446697,1.74849285e-01,2.12549373e-01,1.17531388e-01,6.16368663e-02
70,0.08293169,0.12375664,0.07484055,0.08261898,0.08413309,1.75031306e-01,2.12685897e-01,1.17690636e-01,6.19024642e-02
71,0.08276552,0.12336769,0.07474911,0.08254877,0.08396770,1.75409669e-01,2.12754944e-01,1.17899995e-01,6.16281131e-02
72,0.08273208,0.12379493,0.07475271,0.08269778,0.08393741,1.75511848e-01,2.13608805e-01,1.17980312e-01,6.14996450e-02
73,0.08268745,0.12367985,0.07472162,0.08261010,0.08389219,1.75676941e-01,2.12748168e-01,1.18026544e-01,6.16463607e-02
74,0.08270292,0.12370177,0.07472835,0.08260290,0.08390772,1.75507094e-01,2.12864397e-01,1.18152799e-01,6.15129725e-02
75,0.08257492,0.12377095,0.07466225,0.08261750,0.08377753,1.75189175e-01,2.13157848e-01,1.18100163e-01,6.15963606e-02
76,0.08290855,0.12372165,0.07479160,0.08274810,0.08411359,1.75733853e-01,2.13910317e-01,1.18106955e-01,6.14396678e-02
77,0.08258930,0.12474218,0.07469052,0.08289675,0.08379958,1.75962934e-01,2.13852529e-01,1.18395006e-01,6.13332956e-02
78,0.08216353,0.12435896,0.07447377,0.08267478,0.08337853,1.76486046e-01,2.15410867e-01,1.18484724e-01,6.15215877e-02
79,0.08181230,0.12451127,0.07433475,0.08284674,0.08303144,1.76917828e-01,2.14765901e-01,1.18611487e-01,6.11156620e-02
80,0.08155824,0.12590246,0.07424887,0.08314892,0.08278498,1.77722764e-01,2.15886432e-01,1.18742779e-01,6.11092453e-02
81,0.08128727,0.12338061,0.07411726,0.08292429,0.08251183,1.77442596e-01,2.14588429e-01,1.19005760e-01,6.12138100e-02
