epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.15878359,0.14787962,0.10043550,0.09136878,0.16247815,7.67869600e-02,5.25589342e-04,1.69068096e-04,7.68472094e-02
2,0.14593000,0.14300646,0.09708413,0.09008078,0.15083472,9.14646943e-02,5.25287467e-04,1.69300517e-04,9.30692113e-02
3,0.14205579,0.14147780,0.09603196,0.09005709,0.14729735,9.67162726e-02,5.25852434e-04,1.68695718e-04,9.64249096e-02
4,0.13988327,0.14040727,0.09541062,0.08978558,0.14529345,1.00497272e-01,5.24994588e-04,1.69048145e-04,9.74923788e-02
5,0.13846487,0.13880897,0.09500000,0.08960185,0.14394856,1.02648532e-01,5.25676273e-04,1.68670229e-04,9.80543265e-02
6,0.13714571,0.13848218,0.09459956,0.08954721,0.14269485,1.04607039e-01,5.25480922e-04,1.68603127e-04,9.80640403e-02
7,0.13625827,0.13798861,0.09431004,0.08941470,0.14184224,1.06158789e-01,5.25716065e-04,1.68994417e-04,9.81416667e-02
8,0.13552570,0.13703752,0.09409090,0.08923026,0.14112477,1.07443254e-01,5.25693910e-04,1.68751474e-04,9.76192489e-02
9,0.13495781,0.13644296,0.09391533,0.08910376,0.14057440,1.08292354e-01,5.25737065e-04,1.68922757e-04,9.75498458e-02
10,0.13447271,0.13674598,0.09377718,0.08929997,0.14010851,1.08786538e-01,5.25727225e-04,1.69117523e-04,9.75149459e-02
11,0.13408233,0.13638094,0.09364310,0.08912589,0.13971884,1.09479290e-01,5.25955058e-04,1.68938326e-04,9.74177164e-02
12,0.13389703,0.13615190,0.09359300,0.08916127,0.13953436,1.09496436e-01,5.25279324e-04,1.69499592e-04,9.74051936e-02
13,0.13374215,0.13588603,0.09352968,0.08911915,0.13939120,1.09681754e-01,5.25819744e-04,1.68714156e-04,9.73336051e-02
14,0.13367103,0.13600356,0.09350312,0.08909404,0.13933471,1.10120403e-01,5.25491100e-04,1.68810245e-04,9.73216427e-02
15,0.13365912,0.13592249,0.09350423,0.08907500,0.13930954,1.10111519e-01,5.25985449e-04,1.69134247e-04,9.72922503e-02
16,0.13329788,0.13503925,0.09339525,0.08899128,0.13897860,1.10902614e-01,5.25166125e-04,1.68998479e-04,9.72219553e-02
17,0.13241350,0.13454580,0.09312358,0.08884972,0.13812913,1.11902356e-01,5.25455170e-04,1.69071810e-04,9.72492647e-02
18,0.13168493,0.13402984,0.09285081,0.08877442,0.13744795,1.13211090e-01,5.25384362e-04,1.69305396e-04,9.72592786e-02
19,0.13103757,0.13410939,0.09262237,0.08868530,0.13682620,1.13974265e-01,5.25272209e-04,1.68711584e-04,9.73665193e-02
20,0.13025788,0.13438414,0.09236003,0.08873694,0.13610141,1.15137748e-01,5.25402024e-04,1.69202020e-04,9.75479125e-02
21,0.12970053,0.13440181,0.09217410,0.08904682,0.13556806,1.15832780e-01,5.25825456e-04,1.68486868e-04,9.73059094e-02
22,0.11933796,0.11950273,0.08878023,0.08362508,0.12506202,1.16413275e-01,1.24824743e-01,5.29915455e-02,7.45028230e-02
23,0.11338892,0.11654134,0.08679667,0.08251378,0.11943436,1.18114246e-01,1.41728469e-01,7.76047684e-02,6.32316541e-02
24,0.11078348,0.11615253,0.08591105,0.08225067,0.11707453,1.19271245e-01,1.46883092e-01,8.43780016e-02,6.05793817e-02
25,0.10924356,0.11498466,0.08538619,0.08186512,0.11567529,1.20034368e-01,1.48191437e-01,8.73106849e-02,5.94767116e-02
26,0.10856899,0.11457006,0.08513248,0.08180031,0.11508365,1.20437784e-01,1.50824340e-01,8.90506252e-02,5.88836363e-02
27,0.10783823,0.11451487,0.08487296,0.08178870,0.11440532,1.20880629e-01,1.51498338e-01,9.00721941e-02,5.82972432e-02
28,0.10743102,0.11450151,0.08471598,0.08178546,0.11403423,1.21387098e-01,1.51327456e-01,9.03360133e-02,5.81080386e-02
