epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.26298077,0.18180207,0.13248643,0.10439892,0.32098812
2,0.15188027,0.16543675,0.09995714,0.09912132,0.18447560
3,0.12906281,0.15506463,0.09241841,0.09615555,0.15718105
4,0.11601777,0.15242472,0.08781098,0.09560809,0.14146265
5,0.10743425,0.14550618,0.08456223,0.09385698,0.13097527
6,0.10136688,0.14371368,0.08220796,0.09289286,0.12360046
7,0.09707723,0.14113039,0.08040457,0.09224573,0.11822864
8,0.09359324,0.14008147,0.07891084,0.09206528,0.11388396
9,0.09123012,0.13812237,0.07785568,0.09175806,0.11087802
10,0.08930573,0.13720781,0.07702752,0.09080121,0.10845907
11,0.08789137,0.13722957,0.07638862,0.09089718,0.10670994
12,0.08673990,0.13630153,0.07591215,0.09096457,0.10525940
13,0.08594458,0.13573061,0.07555877,0.09071296,0.10432213
14,0.08557790,0.13553690,0.07543675,0.09050072,0.10394118
15,0.08534453,0.13558045,0.07531381,0.09052599,0.10361064
16,0.08583643,0.13462726,0.07557163,0.09039627,0.10431993
17,0.08251738,0.13281537,0.07406909,0.08948468,0.10017237
18,0.07964321,0.13252547,0.07275918,0.08997062,0.09662034
19,0.07704837,0.12909119,0.07156511,0.08913805,0.09340216
20,0.07479813,0.12730833,0.07057152,0.08828447,0.09068206
21,0.07328380,0.12938492,0.06981376,0.08875880,0.08875328
22,0.07177493,0.13265221,0.06905957,0.08967854,0.08687663
23,0.07037679,0.13105473,0.06846250,0.08887189,0.08519727
24,0.06926300,0.13065266,0.06788484,0.08888302,0.08376094
25,0.06834071,0.12932835,0.06741838,0.08810872,0.08262334
26,0.06774360,0.13064464,0.06712122,0.08832309,0.08185097
27,0.06723590,0.12982494,0.06685523,0.08807244,0.08122240
28,0.06675089,0.13096266,0.06661581,0.08848477,0.08066172
29,0.06643073,0.12994200,0.06643807,0.08820702,0.08024134
30,0.06662355,0.13055507,0.06658102,0.08835685,0.08049925
31,0.06801123,0.12999634,0.06735941,0.08895446,0.08235725
32,0.06679753,0.12959171,0.06670492,0.08844833,0.08083959
33,0.06559401,0.12692793,0.06611700,0.08751875,0.07932194
34,0.06475198,0.13230972,0.06564860,0.08931876,0.07825566
35,0.06357308,0.13095782,0.06510281,0.08842676,0.07686920
36,0.06262010,0.13176378,0.06453209,0.08822182,0.07556861
37,0.06171442,0.13139015,0.06414970,0.08792439,0.07455289
38,0.06122795,0.13063866,0.06383471,0.08788172,0.07385753
39,0.06036134,0.13056795,0.06345502,0.08753280,0.07292924
40,0.05986874,0.13203625,0.06320001,0.08782342,0.07230803
41,0.05963446,0.13197191,0.06298380,0.08760262,0.07188977
42,0.05905155,0.13048058,0.06269924,0.08742132,0.07123160
43,0.05894008,0.13132921,0.06266741,0.08740460,0.07113356
44,0.05858916,0.13083089,0.06245754,0.08732936,0.07069741
45,0.05863325,0.13062945,0.06241724,0.08738913,0.07066106
46,0.06049868,0.13466592,0.06349183,0.08805630,0.07305302
47,0.05984628,0.13293093,0.06315422,0.08813359,0.07223990
48,0.05914587,0.13159299,0.06276181,0.08783480,0.07135777
49,0.05842700,0.13544304,0.06241345,0.08823618,0.07056473
50,0.05790076,0.13246831,0.06206008,0.08717874,0.06981564
51,0.05739896,0.13698493,0.06177677,0.08863796,0.06918043
52,0.05675915,0.13327101,0.06142222,0.08755965,0.06845521
53,0.05640971,0.13376679,0.06125020,0.08762235,0.06796495
54,0.05580525,0.13359442,0.06086612,0.08809559,0.06718180
55,0.05521612,0.13241334,0.06059403,0.08731261,0.06654206
56,0.05504312,0.13266922,0.06050028,0.08735017,0.06628598
57,0.05467539,0.13305318,0.06027275,0.08735564,0.06581950
58,0.05450816,0.13316683,0.06014948,0.08759702,0.06561738
59,0.05434254,0.13372328,0.06007094,0.08761227,0.06537727
60,0.05445920,0.13359021,0.06016013,0.08754394,0.06556546
61,0.05635885,0.13685023,0.06123410,0.08816355,0.06795002
62,0.05595703,0.13566782,0.06094513,0.08794614,0.06736132
63,0.05561762,0.13692061,0.06075794,0.08859377,0.06695240
64,0.05489277,0.13364115,0.06036529,0.08805333,0.06607744
65,0.05469070,0.13714481,0.06025888,0.08870690,0.06582057
66,0.05415632,0.13381331,0.05997416,0.08782385,0.06519829
67,0.05372842,0.13540283,0.05971558,0.08904853,0.06463450
68,0.05324430,0.13346166,0.05942131,0.08748400,0.06400787
69,0.05278479,0.13502357,0.05916370,0.08798155,0.06348597
70,0.05263145,0.13487875,0.05909169,0.08820722,0.06328200
71,0.05248328,0.13552827,0.05891977,0.08794860,0.06298964
72,0.05208067,0.13587776,0.05870549,0.08810556,0.06251617
73,0.05198154,0.13458590,0.05870316,0.08780254,0.06248859
74,0.05173510,0.13559220,0.05856649,0.08785328,0.06214619
75,0.05163497,0.13506231,0.05844602,0.08780452,0.06194163
76,0.05366643,0.13771311,0.05974388,0.08908565,0.06467697
77,0.05363188,0.13610902,0.05960930,0.08878183,0.06448438
78,0.05320569,0.13795495,0.05934786,0.08863027,0.06393097
79,0.05280886,0.13742358,0.05914613,0.08805285,0.06345650
80,0.05223497,0.14044669,0.05882590,0.08893482,0.06276440
81,0.05210142,0.13656010,0.05874237,0.08825254,0.06263204
82,0.05172198,0.13727102,0.05855710,0.08923001,0.06215529
83,0.05135954,0.13758049,0.05832653,0.08907510,0.06167004
84,0.05101251,0.13588832,0.05809269,0.08833982,0.06124007
85,0.05076849,0.13658898,0.05795214,0.08832298,0.06091417
86,0.05031898,0.13725095,0.05767843,0.08840291,0.06038328
87,0.05009074,0.13736132,0.05756854,0.08820183,0.06009952
88,0.05001522,0.13689491,0.05752588,0.08791050,0.06000853
89,0.04987433,0.13725719,0.05744242,0.08817799,0.05982968
90,0.04985813,0.13656537,0.05737501,0.08809219,0.05973379
91,0.05184872,0.13779699,0.05859354,0.08931893,0.06226879
92,0.05158853,0.13775735,0.05846428,0.08910528,0.06198253
93,0.05136368,0.13969763,0.05833963,0.08893495,0.06174571
94,0.05101071,0.14092326,0.05816839,0.08934136,0.06130631
95,0.05089879,0.13642424,0.05804499,0.08916656,0.06108594
96,0.05025036,0.13503253,0.05764738,0.08754120,0.06027256
97,0.05004331,0.13812925,0.05751532,0.08864709,0.06005797
98,0.04991135,0.13878882,0.05739808,0.08900910,0.05984697
99,0.04957491,0.13847169,0.05725129,0.08912603,0.05947033
100,0.04929886,0.13920141,0.05706029,0.08886797,0.05907375
