epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.32422304,0.17958558,0.14813385,0.10460682,0.39919531
2,0.17935857,0.16194355,0.10954465,0.09876005,0.22011024
3,0.15188552,0.15046221,0.10095904,0.09449200,0.18638001
4,0.13700073,0.14015157,0.09588841,0.09171818,0.16792471
5,0.12717416,0.14374872,0.09245001,0.09229731,0.15583703
6,0.12007111,0.13956747,0.08977057,0.09071492,0.14682919
7,0.11465940,0.13596417,0.08779529,0.08985912,0.14031731
8,0.11045894,0.13228626,0.08616657,0.08880556,0.13513279
9,0.10735397,0.13145999,0.08490479,0.08786064,0.13119118
10,0.10425647,0.12972238,0.08364589,0.08755912,0.12731912
11,0.10234657,0.12817273,0.08284038,0.08703608,0.12496270
12,0.10063007,0.12853818,0.08215881,0.08719830,0.12279292
13,0.09937577,0.12692968,0.08163298,0.08676112,0.12125992
14,0.09864418,0.12826160,0.08137710,0.08723608,0.12048986
15,0.09821810,0.12763161,0.08121304,0.08698641,0.11992154
16,0.10198067,0.12918813,0.08276641,0.08725477,0.12466671
17,0.09787304,0.13175955,0.08106149,0.08763672,0.11948670
18,0.09416068,0.12730698,0.07961739,0.08684536,0.11507165
19,0.09067964,0.12881188,0.07807767,0.08683058,0.11068105
20,0.08792602,0.12971501,0.07689853,0.08585220,0.10729958
21,0.08541265,0.12872041,0.07582871,0.08660241,0.10420082
22,0.08322886,0.12886300,0.07478976,0.08639730,0.10143714
23,0.08210252,0.12697813,0.07429682,0.08548248,0.10001208
24,0.08041673,0.12704508,0.07351787,0.08560243,0.09798697
25,0.07892775,0.12571254,0.07285704,0.08533706,0.09612155
26,0.07791986,0.12928812,0.07233192,0.08578380,0.09485146
27,0.07689099,0.12728318,0.07192856,0.08514403,0.09366287
28,0.07641236,0.12789570,0.07171996,0.08518347,0.09312479
29,0.07597612,0.12660779,0.07150008,0.08491777,0.09254191
30,0.07583148,0.12623407,0.07141536,0.08506227,0.09230327
31,0.07991661,0.12995829,0.07340214,0.08627192,0.09744285
32,0.07927985,0.13122262,0.07306941,0.08589507,0.09663698
33,0.07799909,0.12651693,0.07244195,0.08519318,0.09497337
34,0.07620270,0.12824184,0.07163717,0.08562286,0.09284310
