epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.17296844,0.15993848,0.10894832,0.09598214,0.21754841
2,0.08720621,0.15050607,0.07617810,0.09335719,0.10647602
3,0.06945067,0.14359803,0.06806908,0.09154429,0.08461889
4,0.05888857,0.14851669,0.06271070,0.09333502,0.07160915
5,0.05196967,0.14443095,0.05883983,0.09111683,0.06306728
6,0.04709092,0.14048996,0.05591468,0.09070409,0.05697261
7,0.04349825,0.14310922,0.05371649,0.09118601,0.05257316
8,0.04093083,0.14116294,0.05202428,0.09013024,0.04932118
9,0.03886868,0.14187457,0.05059953,0.09007163,0.04671395
10,0.03683957,0.14079322,0.04922282,0.09017198,0.04422354
11,0.03552644,0.13915398,0.04830747,0.08942179,0.04258819
12,0.03451726,0.13965393,0.04760815,0.08951964,0.04138105
13,0.03356597,0.13952933,0.04690472,0.08958747,0.04014080
14,0.03309166,0.13946451,0.04652873,0.08954455,0.03952148
15,0.03272902,0.13880015,0.04627290,0.08934847,0.03909942
16,0.03852173,0.14001845,0.05046418,0.08850958,0.04641360
17,0.03497763,0.13831215,0.04797669,0.08959936,0.04195018
18,0.03276733,0.13790675,0.04633458,0.08978096,0.03917973
19,0.03108375,0.13831637,0.04507251,0.08880533,0.03710226
20,0.02931677,0.13891058,0.04375605,0.08946914,0.03494885
21,0.02802923,0.14075694,0.04274518,0.09053810,0.03336781
22,0.02670764,0.13782913,0.04167540,0.08886555,0.03177766
23,0.02584747,0.13918305,0.04097853,0.08940383,0.03069711
24,0.02487001,0.13765142,0.04012414,0.08879182,0.02946644
25,0.02398426,0.13930903,0.03937805,0.08992059,0.02839931
26,0.02330361,0.13559771,0.03879990,0.08848865,0.02756446
27,0.02281829,0.13705999,0.03839606,0.08876636,0.02697348
28,0.02233330,0.13699924,0.03798212,0.08852783,0.02638873
29,0.02204070,0.13705219,0.03771522,0.08870145,0.02604614
30,0.02171244,0.13698847,0.03741745,0.08866987,0.02563047
31,0.02654921,0.13739905,0.04165401,0.08917466,0.03167249
32,0.02543036,0.13802366,0.04068588,0.08933897,0.03025628
33,0.02411740,0.13933324,0.03955330,0.09033198,0.02859277
34,0.02311484,0.13883622,0.03872821,0.08910393,0.02740926
35,0.02228826,0.13505011,0.03796108,0.08854510,0.02639518
36,0.02154415,0.13608097,0.03730893,0.08831075,0.02548606
37,0.02084801,0.13600164,0.03659649,0.08910877,0.02458774
38,0.02015722,0.13482962,0.03598077,0.08806786,0.02375136
39,0.01955444,0.13320315,0.03541564,0.08785789,0.02301517
40,0.01902011,0.13463299,0.03492872,0.08855552,0.02238968
41,0.01856366,0.13530415,0.03448914,0.08822935,0.02183035
42,0.01816085,0.13460153,0.03410215,0.08799300,0.02132783
43,0.01786991,0.13538147,0.03378328,0.08839220,0.02096775
44,0.01760830,0.13429504,0.03355320,0.08800208,0.02066315
45,0.01745080,0.13457843,0.03335833,0.08817702,0.02044155
46,0.02139584,0.13725572,0.03718873,0.08894763,0.02532538
47,0.02072992,0.13673500,0.03657344,0.08997206,0.02450446
48,0.01996659,0.13564451,0.03587819,0.08895524,0.02358496
49,0.01951992,0.13692665,0.03541315,0.08869055,0.02300813
50,0.01884184,0.13558178,0.03471928,0.08864197,0.02214751
51,0.01822076,0.13719692,0.03416711,0.08844969,0.02141718
52,0.01771677,0.13615443,0.03365571,0.08858405,0.02080814
53,0.01720052,0.13539190,0.03319224,0.08849464,0.02020057
54,0.01677014,0.13551944,0.03271764,0.08809017,0.01968371
55,0.01642289,0.13297050,0.03233541,0.08778475,0.01921483
56,0.01597547,0.13344574,0.03193485,0.08771844,0.01871902
57,0.01567788,0.13491652,0.03155578,0.08801718,0.01832163
58,0.01542305,0.13462516,0.03128992,0.08824972,0.01800713
59,0.01526363,0.13434440,0.03113415,0.08800516,0.01782626
60,0.01508193,0.13381070,0.03094563,0.08780543,0.01760636
61,0.01849024,0.13759722,0.03449757,0.08930084,0.02180331
62,0.01802435,0.13351679,0.03400104,0.08770389,0.02119502
63,0.01766347,0.13823689,0.03369915,0.08959776,0.02078736
64,0.01714257,0.13650418,0.03310063,0.08887663,0.02012504
65,0.01668876,0.13444726,0.03263984,0.08854645,0.01956052
66,0.01616946,0.13394040,0.03218693,0.08743004,0.01898864
67,0.01584268,0.13576837,0.03180749,0.08885830,0.01855634
68,0.01536542,0.13697196,0.03132376,0.08897601,0.01801157
69,0.01509243,0.13600940,0.03098913,0.08839648,0.01764824
70,0.01473149,0.13480278,0.03058070,0.08816544,0.01720174
71,0.01440621,0.13468478,0.03023385,0.08833270,0.01680254
72,0.01413990,0.13501575,0.02996223,0.08820682,0.01650119
73,0.01392684,0.13446230,0.02971946,0.08815013,0.01623044
74,0.01376940,0.13563222,0.02955543,0.08840374,0.01607028
75,0.01368928,0.13532328,0.02944393,0.08827458,0.01594496
76,0.01667715,0.13577831,0.03269412,0.08849941,0.01960381
77,0.01639995,0.13258787,0.03240284,0.08835089,0.01926680
78,0.01601637,0.13561195,0.03201423,0.08855495,0.01880038
79,0.01561513,0.13593581,0.03154513,0.08844609,0.01829336
80,0.01532462,0.13487469,0.03125415,0.08868204,0.01794670
81,0.01482433,0.13467299,0.03076204,0.08846710,0.01736037
82,0.01458249,0.13476605,0.03047530,0.08823080,0.01704725
83,0.01415873,0.13874768,0.03002222,0.08917890,0.01654756
84,0.01382640,0.13577631,0.02967217,0.08843379,0.01615535
85,0.01352315,0.13628305,0.02931330,0.08878787,0.01578525
86,0.01327963,0.13663483,0.02903709,0.08842052,0.01548113
87,0.01303067,0.13574821,0.02875874,0.08829145,0.01518660
88,0.01285537,0.13703315,0.02854637,0.08875824,0.01497268
89,0.01269980,0.13632068,0.02836625,0.08857506,0.01478895
90,0.01270571,0.13637755,0.02836878,0.08852281,0.01478376
91,0.01530610,0.13779208,0.03134555,0.08879866,0.01798395
92,0.01515413,0.13563445,0.03109133,0.08922818,0.01775672
93,0.01484465,0.13659806,0.03081346,0.08908546,0.01740161
94,0.01440597,0.13694916,0.03029921,0.08930746,0.01684862
95,0.01411661,0.13521825,0.03000380,0.08887403,0.01650219
96,0.01387688,0.13557593,0.02970275,0.08888375,0.01620962
97,0.01359988,0.13839108,0.02937629,0.08943721,0.01586640
98,0.01326901,0.13763365,0.02904309,0.08909574,0.01548236
99,0.01293004,0.13694971,0.02864642,0.08945305,0.01508306
100,0.01278603,0.13710108,0.02847852,0.08898750,0.01490432
101,0.01245659,0.13614688,0.02810051,0.08863770,0.01450729
102,0.01226906,0.13546990,0.02790162,0.08869475,0.01429704
103,0.01203578,0.13617689,0.02762667,0.08848186,0.01400854
104,0.01193882,0.13564586,0.02750479,0.08862415,0.01388789
105,0.01194394,0.13584208,0.02750433,0.08860736,0.01390173
106,0.01417931,0.14066369,0.03011569,0.08968193,0.01662490
107,0.01420027,0.13752898,0.03009668,0.08850696,0.01662094
108,0.01376443,0.13665957,0.02965201,0.08894622,0.01612494
109,0.01362340,0.13905824,0.02947855,0.08943442,0.01593675
110,0.01339629,0.13688613,0.02918658,0.08900962,0.01564861
111,0.01314857,0.13534938,0.02892584,0.08840901,0.01535301
112,0.01284371,0.13666500,0.02860494,0.08896226,0.01499879
113,0.01256102,0.13610898,0.02827302,0.08855291,0.01465993
114,0.01234254,0.13637782,0.02797485,0.08900264,0.01437568
115,0.01206519,0.13570190,0.02769115,0.08886061,0.01407829
116,0.01183793,0.13500265,0.02736685,0.08836761,0.01377208
