epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.47682713,0.21841683,0.18309932,0.11452762,0.59278577
2,0.26189266,0.19389510,0.13346184,0.10866953,0.32293421
3,0.22272416,0.17977052,0.12286080,0.10476237,0.27443564
4,0.20209199,0.17079387,0.11689824,0.10194838,0.24872824
5,0.18838183,0.16508816,0.11269880,0.09980677,0.23149629
6,0.17815008,0.16193199,0.10961393,0.09873812,0.21905811
7,0.17018642,0.15761196,0.10708452,0.09713388,0.20909919
8,0.16456372,0.15475285,0.10528665,0.09629536,0.20219618
9,0.16015127,0.15240662,0.10383010,0.09560479,0.19662509
10,0.15735133,0.15209262,0.10282143,0.09504736,0.19281769
11,0.15483144,0.14986409,0.10198336,0.09441550,0.18983825
12,0.15289104,0.14931635,0.10143558,0.09415750,0.18762631
13,0.15189195,0.14842448,0.10099642,0.09385906,0.18613037
14,0.15132826,0.14836746,0.10088568,0.09381666,0.18558283
15,0.15090458,0.14829990,0.10068521,0.09385589,0.18496435
16,0.14846303,0.14394591,0.09984884,0.09245093,0.18187163
17,0.14227837,0.14108216,0.09774298,0.09147381,0.17410466
18,0.13804809,0.13913494,0.09626476,0.09061254,0.16889020
19,0.13365721,0.13691975,0.09472196,0.08991114,0.16333476
20,0.13081901,0.13565458,0.09366312,0.08980285,0.15978841
21,0.12786126,0.13639731,0.09264296,0.08980649,0.15627268
22,0.12615781,0.13603902,0.09200682,0.08938956,0.15412188
23,0.12432604,0.13312079,0.09137524,0.08880196,0.15187149
24,0.12246626,0.13399896,0.09064325,0.08884189,0.14939600
25,0.12166744,0.13252185,0.09032360,0.08859226,0.14835004
26,0.12083632,0.13106697,0.09000285,0.08825379,0.14732375
27,0.12050225,0.13106993,0.08988010,0.08845746,0.14695738
28,0.11992735,0.13087634,0.08974440,0.08819356,0.14633319
29,0.11976046,0.13105882,0.08967550,0.08823962,0.14614091
30,0.11941428,0.13101911,0.08949059,0.08822832,0.14563188
31,0.11945631,0.12930352,0.08948950,0.08762158,0.14562011
32,0.11747853,0.12994770,0.08879888,0.08773369,0.14330212
33,0.11564643,0.12877875,0.08810690,0.08791465,0.14104125
34,0.11424721,0.12785065,0.08755940,0.08761663,0.13922995
35,0.11270385,0.12770920,0.08699386,0.08740977,0.13739052
36,0.11125257,0.12800263,0.08649486,0.08716885,0.13570066
37,0.11022149,0.12591657,0.08607615,0.08677924,0.13440335
38,0.10940043,0.12578189,0.08576405,0.08655580,0.13338357
39,0.10843841,0.12572936,0.08535880,0.08669792,0.13215273
40,0.10786465,0.12512733,0.08509280,0.08640957,0.13142336
41,0.10748375,0.12578728,0.08501066,0.08681753,0.13103412
42,0.10715779,0.12634010,0.08487396,0.08680283,0.13056516
43,0.10697325,0.12565278,0.08485718,0.08670478,0.13049894
44,0.10659687,0.12586174,0.08467626,0.08673708,0.12993517
45,0.10622990,0.12572548,0.08452973,0.08670411,0.12951856
46,0.10670604,0.12581366,0.08473155,0.08675359,0.13014478
47,0.10585825,0.12529505,0.08434143,0.08659097,0.12893694
48,0.10484870,0.12405238,0.08400671,0.08650748,0.12784647
49,0.10366287,0.12570934,0.08352396,0.08664711,0.12634363
50,0.10284141,0.12380636,0.08325307,0.08618953,0.12545626
51,0.10159749,0.12639703,0.08271751,0.08634271,0.12385565
52,0.10125937,0.12425820,0.08258701,0.08606478,0.12339699
53,0.10063739,0.12316560,0.08226819,0.08600878,0.12263433
54,0.09974367,0.12405986,0.08197985,0.08617810,0.12160024
55,0.09952275,0.12368569,0.08196183,0.08591893,0.12146960
56,0.09937219,0.12528704,0.08177354,0.08628717,0.12105329
57,0.09924685,0.12451079,0.08169954,0.08620389,0.12090536
58,0.09868982,0.12478484,0.08150385,0.08627105,0.12033735
59,0.09843512,0.12454600,0.08145936,0.08624043,0.12001369
60,0.09854936,0.12421328,0.08148937,0.08615307,0.12019618
61,0.09918599,0.12865563,0.08175642,0.08668694,0.12094013
62,0.09803360,0.12349705,0.08132790,0.08587782,0.11959614
63,0.09802698,0.12563776,0.08130004,0.08618205,0.11958897
64,0.09724496,0.12436351,0.08094904,0.08616349,0.11849945
65,0.09639994,0.12410553,0.08060608,0.08569708,0.11756102
66,0.09578200,0.12596282,0.08039708,0.08669999,0.11687382
67,0.09526894,0.12437486,0.08015206,0.08545721,0.11611461
68,0.09474997,0.12491525,0.07991317,0.08571532,0.11549089
69,0.09417804,0.12571801,0.07971302,0.08590189,0.11486199
70,0.09404744,0.12450158,0.07965430,0.08593903,0.11467719
71,0.09377246,0.12437114,0.07952979,0.08597046,0.11433495
72,0.09355340,0.12469246,0.07946570,0.08584094,0.11411360
73,0.09299667,0.12521049,0.07919855,0.08598830,0.11336499
74,0.09300058,0.12509463,0.07916122,0.08595522,0.11337625
75,0.09310891,0.12495553,0.07923799,0.08587172,0.11349008
76,0.09358184,0.12736107,0.07940995,0.08658913,0.11400487
77,0.09325254,0.12579632,0.07939820,0.08605760,0.11381145
78,0.09244515,0.12523173,0.07901746,0.08610183,0.11283003
79,0.09233202,0.12656214,0.07887555,0.08652850,0.11251726
80,0.09170927,0.12855469,0.07867034,0.08649834,0.11191676
81,0.09114694,0.12655624,0.07839912,0.08604037,0.11110886
82,0.09100772,0.12678393,0.07835111,0.08642797,0.11102947
83,0.09036962,0.12633647,0.07805321,0.08590051,0.11013126
84,0.09027217,0.12703053,0.07800234,0.08622813,0.11001095
85,0.08978604,0.12544322,0.07775211,0.08563782,0.10937036
86,0.08950875,0.12631705,0.07764388,0.08605915,0.10899712
87,0.08938175,0.12546004,0.07763470,0.08570494,0.10892953
88,0.08916925,0.12599284,0.07757239,0.08578481,0.10875527
89,0.08920823,0.12618394,0.07752755,0.08594141,0.10865327
90,0.08917051,0.12636976,0.07754944,0.08589865,0.10868782
91,0.08962024,0.12860057,0.07774257,0.08645317,0.10926171
92,0.08931449,0.12739592,0.07764534,0.08578211,0.10897356
93,0.08911204,0.12668843,0.07750268,0.08585963,0.10857687
94,0.08853658,0.12601822,0.07725711,0.08548187,0.10790347
95,0.08843518,0.12841918,0.07715580,0.08624970,0.10770162
96,0.08801208,0.12556524,0.07700659,0.08617158,0.10719980
97,0.08762705,0.12739977,0.07678734,0.08605714,0.10663752
98,0.08719041,0.12701169,0.07665454,0.08607961,0.10620652
99,0.08679194,0.12704473,0.07646711,0.08584354,0.10566782
100,0.08653929,0.12625936,0.07635073,0.08548319,0.10537418
101,0.08645389,0.12714700,0.07632361,0.08603505,0.10532619
102,0.08630883,0.12685769,0.07625929,0.08582275,0.10504495
103,0.08630995,0.12677969,0.07627123,0.08590641,0.10514475
104,0.08620372,0.12675272,0.07622960,0.08583886,0.10496138
105,0.08599737,0.12690457,0.07605153,0.08583425,0.10453323
106,0.08676848,0.12664027,0.07640156,0.08600643,0.10556206
107,0.08660264,0.12517665,0.07642993,0.08534178,0.10554576
108,0.08606692,0.12846576,0.07615451,0.08612044,0.10483163
109,0.08593008,0.12718328,0.07607368,0.08573703,0.10459865
110,0.08534803,0.12780751,0.07586383,0.08586373,0.10396559
111,0.08526908,0.12940115,0.07577786,0.08601043,0.10377561
112,0.08508591,0.12781734,0.07575356,0.08622376,0.10366530
113,0.08461243,0.12816490,0.07544263,0.08610515,0.10283276
114,0.08430444,0.12871121,0.07535462,0.08610607,0.10267454
115,0.08435520,0.12758974,0.07538919,0.08578210,0.10266866
116,0.08406715,0.12728972,0.07527152,0.08581913,0.10236977
117,0.08379150,0.12702370,0.07509674,0.08573041,0.10197202
118,0.08363485,0.12745980,0.07502299,0.08565107,0.10177012
119,0.08376517,0.12746844,0.07507769,0.08567897,0.10190625
120,0.08346816,0.12737378,0.07501863,0.08568628,0.10161500
121,0.08424631,0.12854408,0.07533459,0.08583061,0.10247550
122,0.08414739,0.13020759,0.07527919,0.08624150,0.10231970
123,0.08382739,0.12812021,0.07516544,0.08601766,0.10207329
124,0.08368256,0.12902726,0.07505231,0.08592161,0.10181999
125,0.08335930,0.13043076,0.07491314,0.08613446,0.10137408
126,0.08289716,0.12894350,0.07473379,0.08581602,0.10091366
127,0.08267157,0.12869393,0.07459611,0.08596645,0.10054830
128,0.08243285,0.12953953,0.07449538,0.08608221,0.10030781
129,0.08198620,0.12930506,0.07433821,0.08614098,0.09976989
130,0.08195617,0.12774516,0.07435210,0.08547649,0.09978710
131,0.08162561,0.12799846,0.07412745,0.08561277,0.09928653
132,0.08147559,0.12849047,0.07407810,0.08563796,0.09910911
133,0.08145372,0.12896980,0.07404224,0.08588939,0.09905263
134,0.08127171,0.12871578,0.07396965,0.08575261,0.09879592
135,0.08115971,0.12837505,0.07390047,0.08570520,0.09873130
136,0.08220955,0.13038569,0.07435787,0.08618229,0.09991632
137,0.08210423,0.12900438,0.07440311,0.08564124,0.09994504
138,0.08178495,0.12861446,0.07421672,0.08608040,0.09948647
139,0.08167273,0.12871257,0.07417361,0.08577649,0.09941148
140,0.08111859,0.12950764,0.07396566,0.08572953,0.09873433
141,0.08083121,0.12996021,0.07378358,0.08611957,0.09835810
142,0.08086877,0.12778736,0.07380612,0.08543567,0.09834065
143,0.08046063,0.12934321,0.07363345,0.08602081,0.09782889
144,0.08037604,0.12902956,0.07355565,0.08590135,0.09774486
145,0.08004672,0.12900451,0.07341129,0.08560056,0.09729574
146,0.08015770,0.12879955,0.07349103,0.08566838,0.09755503
147,0.07984684,0.12942876,0.07332695,0.08573528,0.09707192
148,0.07976197,0.12930662,0.07328706,0.08583540,0.09699184
149,0.07950847,0.12937267,0.07310233,0.08575667,0.09659765
150,0.07956837,0.12909454,0.07317553,0.08571968,0.09671862
151,0.08049954,0.12926901,0.07363026,0.08574465,0.09789516
152,0.08033990,0.13045027,0.07354999,0.08593744,0.09768937
153,0.07986765,0.12868159,0.07331502,0.08538566,0.09705157
154,0.07982322,0.12979475,0.07329523,0.08581636,0.09706249
155,0.07965381,0.13003529,0.07323315,0.08617407,0.09686667
156,0.07946459,0.12868584,0.07316860,0.08556802,0.09666537
157,0.07931054,0.12978569,0.07304099,0.08572885,0.09636340
