epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.73882281,0.26667108,0.23033071,0.12767678,0.92919733
2,0.38543853,0.23437398,0.16338552,0.12053656,0.47842838
3,0.32245764,0.21846413,0.14892837,0.11649942,0.39917382
4,0.29226265,0.20756318,0.14138613,0.11373807,0.36086401
5,0.27264829,0.20033818,0.13638642,0.11154596,0.33644078
6,0.25869042,0.19529284,0.13286277,0.11027238,0.31940706
7,0.24873340,0.18903779,0.13015846,0.10865548,0.30692043
8,0.24174392,0.18538244,0.12837802,0.10727468,0.29848302
9,0.23620562,0.18173941,0.12678709,0.10639901,0.29137480
10,0.23223859,0.18050674,0.12574688,0.10577659,0.28629464
11,0.22922975,0.17814348,0.12480367,0.10499640,0.28249707
12,0.22631022,0.17726652,0.12415265,0.10467851,0.27923641
13,0.22511409,0.17625032,0.12373366,0.10438174,0.27740206
14,0.22477394,0.17606663,0.12363799,0.10433356,0.27711588
15,0.22430468,0.17599783,0.12357312,0.10427982,0.27660531
16,0.21996512,0.16919004,0.12237051,0.10206222,0.27123345
17,0.21150145,0.16555940,0.11989664,0.10043867,0.26034714
18,0.20542821,0.16172823,0.11814132,0.09900563,0.25289905
19,0.20000961,0.15926899,0.11658403,0.09802000,0.24619780
20,0.19593714,0.15659560,0.11533292,0.09749238,0.24095464
21,0.19197554,0.15667689,0.11423320,0.09691652,0.23629669
22,0.18987130,0.15516440,0.11357642,0.09641181,0.23346034
23,0.18785230,0.15287518,0.11302764,0.09598293,0.23130959
24,0.18525136,0.15325916,0.11211682,0.09566037,0.22750437
25,0.18455001,0.15178825,0.11198719,0.09549859,0.22694578
26,0.18349971,0.15063146,0.11158299,0.09512918,0.22551805
27,0.18297176,0.15027581,0.11149470,0.09515159,0.22499419
28,0.18252997,0.15013646,0.11140293,0.09490937,0.22445805
29,0.18262162,0.15039961,0.11130758,0.09495470,0.22430570
30,0.18162261,0.15027883,0.11105350,0.09491908,0.22326039
31,0.18156077,0.14971988,0.11093300,0.09461011,0.22289169
32,0.17923914,0.14808664,0.11031787,0.09403135,0.22023960
33,0.17708823,0.14624138,0.10962145,0.09360919,0.21759963
34,0.17526437,0.14552074,0.10901841,0.09321360,0.21520403
35,0.17295706,0.14478591,0.10826949,0.09296840,0.21228292
36,0.17141615,0.14421807,0.10780229,0.09293052,0.21046152
37,0.17002269,0.14298910,0.10734940,0.09250691,0.20865456
38,0.17003696,0.14236949,0.10732626,0.09228599,0.20872081
39,0.16819027,0.14202475,0.10668818,0.09201129,0.20631119
40,0.16784130,0.14029979,0.10656944,0.09167580,0.20587359
41,0.16706107,0.14153803,0.10637481,0.09193855,0.20495903
42,0.16670528,0.14175873,0.10624520,0.09193634,0.20446159
43,0.16634869,0.14119847,0.10619155,0.09176988,0.20417996
44,0.16654826,0.14098658,0.10621518,0.09176146,0.20435396
