epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.85293057,0.25878356,0.24462381,0.12815354,1.05707030
2,0.44958877,0.22713872,0.17493124,0.11910747,0.55029987
3,0.35977840,0.21532844,0.15567972,0.11537595,0.43953498
4,0.31392957,0.20553569,0.14526801,0.11192585,0.38371926
5,0.28560907,0.19901201,0.13839145,0.11027517,0.34928385
6,0.26956472,0.19493423,0.13425726,0.10896763,0.32923691
7,0.25621949,0.19410883,0.13091684,0.10855977,0.31352819
8,0.24784081,0.19021128,0.12865218,0.10747292,0.30284837
9,0.24300392,0.18920709,0.12736616,0.10717279,0.29708516
10,0.23793303,0.18836595,0.12612226,0.10697630,0.29130697
11,0.23425959,0.18693672,0.12489235,0.10639902,0.28601671
12,0.23334552,0.18678626,0.12490512,0.10623913,0.28562919
13,0.22987080,0.18559991,0.12387072,0.10596014,0.28089882
14,0.22989826,0.18559064,0.12384859,0.10594142,0.28114219
15,0.22777297,0.18559860,0.12321476,0.10593165,0.27820049
16,0.22503948,0.18245687,0.12265619,0.10462127,0.27562133
17,0.21536560,0.17973949,0.11982165,0.10414186,0.26355881
18,0.20857394,0.17683677,0.11787004,0.10317349,0.25463692
19,0.20169754,0.17586601,0.11607503,0.10263913,0.24697679
20,0.19672425,0.17211992,0.11459150,0.10180751,0.24079328
21,0.19270294,0.17104516,0.11338804,0.10133544,0.23575716
22,0.18943796,0.16837817,0.11249813,0.10063896,0.23216464
23,0.18708294,0.16803328,0.11184883,0.10020825,0.22904361
24,0.18429607,0.16691946,0.11091233,0.09998254,0.22524237
25,0.18246012,0.16670176,0.11048286,0.09968019,0.22333694
26,0.18222281,0.16571923,0.11024723,0.09948896,0.22278069
27,0.18033354,0.16555824,0.10978116,0.09954515,0.22078164
28,0.17979596,0.16547133,0.10955486,0.09931612,0.22002971
29,0.17932480,0.16575054,0.10938230,0.09941871,0.21954275
30,0.17838480,0.16555760,0.10911927,0.09936848,0.21821058
31,0.17733297,0.16372515,0.10886148,0.09898574,0.21695111
32,0.17384627,0.16245897,0.10771089,0.09801615,0.21278934
33,0.17038617,0.16064773,0.10666181,0.09774486,0.20846052
34,0.16818234,0.15976001,0.10589120,0.09726841,0.20562415
35,0.16468163,0.15836975,0.10480167,0.09737530,0.20138849
36,0.16272319,0.15620546,0.10419901,0.09650795,0.19908950
37,0.16085287,0.15628556,0.10358751,0.09596456,0.19668818
38,0.15898434,0.15715835,0.10293515,0.09607462,0.19393075
39,0.15743281,0.15586137,0.10262293,0.09583783,0.19273551
40,0.15525575,0.15404480,0.10185025,0.09518685,0.18989145
41,0.15606958,0.15477623,0.10201089,0.09528631,0.19046033
42,0.15453942,0.15473292,0.10166017,0.09518444,0.18905726
43,0.15409345,0.15461311,0.10154831,0.09513322,0.18854501
