epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.20637685,0.17024269,0.11731960,0.10031079,0.25020125
2,0.11948621,0.15373626,0.08884770,0.09535533,0.14558518
3,0.10052450,0.15016639,0.08173976,0.09476264,0.12258199
4,0.09062199,0.14425402,0.07772630,0.09328502,0.11052080
5,0.08350525,0.14241006,0.07459285,0.09197413,0.10166826
6,0.07816361,0.14133362,0.07216337,0.09116843,0.09501741
7,0.07403616,0.14180500,0.07021025,0.09052340,0.08988046
8,0.07101680,0.14143480,0.06879433,0.09112875,0.08623623
9,0.06829298,0.14391300,0.06746402,0.09085937,0.08285697
10,0.06616148,0.14224881,0.06644736,0.09110800,0.08036600
11,0.06458311,0.14374538,0.06566788,0.09107360,0.07847540
12,0.06340739,0.14199186,0.06502984,0.09056575,0.07698577
13,0.06283624,0.14371094,0.06472200,0.09066804,0.07621394
14,0.06220941,0.14291521,0.06440680,0.09036931,0.07546555
15,0.06189175,0.14318813,0.06426222,0.09040640,0.07515180
16,0.06419033,0.14025686,0.06547935,0.09061347,0.07804409
17,0.06098334,0.14777042,0.06384987,0.09181411,0.07418210
18,0.05857717,0.14717688,0.06255036,0.09106630,0.07122751
19,0.05637946,0.14198327,0.06129394,0.08956514,0.06843021
20,0.05440204,0.14239365,0.06021955,0.08949290,0.06597970
21,0.05284664,0.13945197,0.05930725,0.08956299,0.06400568
22,0.05139629,0.14475838,0.05847086,0.08995832,0.06220905
23,0.05022118,0.14254167,0.05775859,0.09000844,0.06079697
24,0.04916499,0.14064344,0.05714131,0.08966082,0.05944080
25,0.04836816,0.14218325,0.05662183,0.08948605,0.05838134
26,0.04754167,0.13943653,0.05614036,0.08910126,0.05739407
27,0.04695073,0.14070024,0.05578115,0.08933889,0.05663460
28,0.04645325,0.14043196,0.05548445,0.08925422,0.05603382
29,0.04619379,0.14055595,0.05532259,0.08922823,0.05568125
30,0.04612562,0.14065937,0.05525653,0.08932526,0.05558742
31,0.04906752,0.14152815,0.05709074,0.09057496,0.05930005
32,0.04799801,0.13815314,0.05643477,0.08889897,0.05796169
33,0.04701504,0.14169080,0.05583757,0.09041226,0.05673805
34,0.04592893,0.14058572,0.05510242,0.08987914,0.05530425
35,0.04488929,0.13904111,0.05447430,0.08937250,0.05405853
36,0.04394533,0.13863824,0.05390759,0.08895251,0.05289390
