epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.28562511,0.19087317,0.13895991,0.10641714,0.34711732
2,0.16432235,0.17352532,0.10380972,0.10119101,0.19905992
3,0.13760105,0.16440738,0.09502129,0.09819436,0.16696737
4,0.12326807,0.15781055,0.09014203,0.09666803,0.14993960
5,0.11341024,0.15358193,0.08658256,0.09562265,0.13812976
6,0.10655268,0.14933000,0.08401748,0.09456172,0.12981679
7,0.10155807,0.15026779,0.08208019,0.09406170,0.12371341
8,0.09802329,0.14949691,0.08068556,0.09426918,0.11944289
9,0.09483641,0.14698422,0.07934371,0.09330930,0.11545213
10,0.09282866,0.14656389,0.07853128,0.09330196,0.11305417
11,0.09112307,0.14662273,0.07781820,0.09358178,0.11093873
12,0.08988688,0.14511043,0.07723578,0.09302659,0.10933958
13,0.08934442,0.14537040,0.07701650,0.09295465,0.10866519
14,0.08857896,0.14550682,0.07669643,0.09306312,0.10776169
15,0.08863853,0.14581597,0.07671107,0.09303943,0.10783986
16,0.08776293,0.14388231,0.07635750,0.09301669,0.10676373
17,0.08370895,0.14681297,0.07460466,0.09316871,0.10181998
18,0.08065488,0.14304240,0.07321309,0.09158797,0.09806659
19,0.07777589,0.13969083,0.07184225,0.09122718,0.09442026
20,0.07544894,0.14187383,0.07078772,0.09115728,0.09150656
21,0.07353537,0.14067668,0.06986994,0.09081569,0.08914480
22,0.07171685,0.14224262,0.06902606,0.09089835,0.08695964
23,0.07043032,0.14269585,0.06842988,0.09096601,0.08547039
24,0.06941709,0.14274245,0.06792042,0.09132857,0.08416697
25,0.06851709,0.14183316,0.06745494,0.09071534,0.08302602
26,0.06769111,0.14192488,0.06707140,0.09050757,0.08205782
27,0.06711090,0.14201808,0.06680124,0.09063478,0.08138291
28,0.06672567,0.14188920,0.06657948,0.09038507,0.08086944
29,0.06653984,0.14191671,0.06649939,0.09045737,0.08062916
30,0.06651444,0.14207184,0.06648728,0.09051970,0.08064652
31,0.06699355,0.14285934,0.06678007,0.09047311,0.08130681
32,0.06542450,0.14187690,0.06595966,0.09032317,0.07931919
33,0.06405525,0.14376446,0.06530142,0.09081868,0.07773757
34,0.06264205,0.14406063,0.06454549,0.09028262,0.07597334
35,0.06152047,0.14548069,0.06396502,0.09056867,0.07460183
36,0.06054262,0.14416172,0.06345599,0.09043518,0.07340111
37,0.05953678,0.14408907,0.06293217,0.09038561,0.07220020
38,0.05877783,0.14305761,0.06252791,0.08997705,0.07127160
39,0.05793587,0.14328046,0.06212270,0.09033295,0.07027704
40,0.05764441,0.14474010,0.06194145,0.08990209,0.06990834
41,0.05699992,0.14489492,0.06156777,0.09015301,0.06908884
42,0.05678819,0.14455818,0.06144687,0.08992668,0.06883770
43,0.05660571,0.14487632,0.06135210,0.09004526,0.06858727
44,0.05657988,0.14462419,0.06129650,0.09010292,0.06850195
45,0.05632030,0.14464508,0.06117464,0.09001408,0.06822959
46,0.05723419,0.14345127,0.06172276,0.09021393,0.06943958
47,0.05659500,0.14425561,0.06130824,0.08979902,0.06857952
48,0.05547956,0.14577811,0.06073529,0.09068952,0.06722727
49,0.05497827,0.14423216,0.06046236,0.08991193,0.06660483
50,0.05397842,0.14704636,0.05990693,0.09069839,0.06541224
51,0.05330185,0.14635381,0.05949615,0.09045262,0.06449000
52,0.05271117,0.14539985,0.05911951,0.09064692,0.06374882
53,0.05221693,0.14552932,0.05884399,0.09023995,0.06315400
54,0.05179643,0.14653052,0.05861390,0.09042015,0.06263883
55,0.05124404,0.14643395,0.05833644,0.09026798,0.06204049
56,0.05099082,0.14527273,0.05811545,0.08995684,0.06157574
57,0.05081271,0.14600279,0.05804707,0.09038436,0.06144218
58,0.05049261,0.14522274,0.05790829,0.09007152,0.06108677
59,0.05045771,0.14499950,0.05782602,0.09014619,0.06096570
60,0.05048004,0.14498184,0.05785399,0.09008688,0.06101951
61,0.05141496,0.14401908,0.05844561,0.09007657,0.06221044
62,0.05089132,0.14397308,0.05813611,0.09043152,0.06159204
63,0.05006830,0.14525366,0.05761967,0.09043300,0.06050256
64,0.04955227,0.14811376,0.05732306,0.09063184,0.05984998
65,0.04903149,0.14534314,0.05705247,0.08997981,0.05930197
66,0.04854034,0.14456182,0.05670367,0.09034540,0.05860062
67,0.04826045,0.14376380,0.05652671,0.09006256,0.05826152
68,0.04768319,0.14480555,0.05620408,0.08981821,0.05754217
69,0.04738751,0.14629922,0.05597629,0.09053980,0.05713043
70,0.04708301,0.14470097,0.05581782,0.09057726,0.05676280
71,0.04672090,0.14527846,0.05557785,0.09044485,0.05632608
72,0.04660625,0.14489106,0.05556569,0.09003046,0.05623794
73,0.04638311,0.14508131,0.05536082,0.09041610,0.05590924
74,0.04635346,0.14438692,0.05539419,0.09019007,0.05587874
75,0.04631046,0.14468828,0.05532917,0.09016449,0.05580517
76,0.04725905,0.14407586,0.05595401,0.09049188,0.05704807
77,0.04688016,0.14544755,0.05570257,0.09057033,0.05653496
78,0.04656031,0.14473159,0.05553170,0.09072638,0.05617446
79,0.04603938,0.14397716,0.05520445,0.08992119,0.05553642
80,0.04561290,0.14420369,0.05494813,0.09054007,0.05499369
81,0.04523910,0.14354541,0.05472968,0.09039826,0.05457919
82,0.04489699,0.14442820,0.05446965,0.09024578,0.05409936
83,0.04456652,0.14270452,0.05427041,0.08994961,0.05366214
84,0.04414981,0.14396919,0.05401654,0.09034958,0.05314131
