epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.28566688,0.19087520,0.13897083,0.10642008,0.34716924
2,0.16436350,0.17353365,0.10382388,0.10119369,0.19911017
3,0.13763557,0.16442490,0.09503402,0.09819705,0.16700896
4,0.12329643,0.15783624,0.09015295,0.09667084,0.14997413
5,0.11343283,0.15361673,0.08659156,0.09562624,0.13815744
6,0.10657164,0.14935777,0.08402528,0.09456248,0.12983996
7,0.10157148,0.15028541,0.08208636,0.09406011,0.12373071
8,0.09803212,0.14950867,0.08069049,0.09426288,0.11945554
9,0.09484199,0.14699918,0.07934712,0.09330555,0.11546046
10,0.09283094,0.14655908,0.07853312,0.09329222,0.11305809
11,0.09112365,0.14663864,0.07781975,0.09357371,0.11094159
12,0.08988690,0.14511356,0.07723700,0.09301654,0.10934173
13,0.08934329,0.14537480,0.07701721,0.09294315,0.10866605
14,0.08857763,0.14551705,0.07669692,0.09305555,0.10776227
15,0.08863693,0.14581409,0.07671154,0.09303007,0.10784022
16,0.08775232,0.14384502,0.07635353,0.09299259,0.10675244
17,0.08368709,0.14679020,0.07459534,0.09314728,0.10179496
18,0.08062644,0.14301509,0.07320026,0.09156517,0.09803295
19,0.07773957,0.13968974,0.07182649,0.09119750,0.09437786
20,0.07540694,0.14188387,0.07076828,0.09113312,0.09145609
21,0.07348855,0.14070558,0.06984773,0.09079676,0.08908844
22,0.07166456,0.14226979,0.06900099,0.09087782,0.08689617
23,0.07037580,0.14269908,0.06840372,0.09094564,0.08540496
24,0.06936104,0.14276008,0.06789273,0.09130420,0.08409987
25,0.06845952,0.14186045,0.06742587,0.09069913,0.08295660
26,0.06763518,0.14196239,0.06704283,0.09049206,0.08198948
27,0.06705285,0.14203981,0.06677232,0.09061726,0.08131312
28,0.06666747,0.14190273,0.06654961,0.09036928,0.08079897
29,0.06648412,0.14195283,0.06647063,0.09044247,0.08056143
30,0.06645957,0.14210447,0.06645890,0.09050614,0.08058008
31,0.06692508,0.14289558,0.06674515,0.09045189,0.08122280
32,0.06535045,0.14189264,0.06592170,0.09030980,0.07922983
33,0.06397966,0.14379409,0.06526171,0.09080210,0.07764494
34,0.06256307,0.14409963,0.06450420,0.09027054,0.07587718
35,0.06143659,0.14548367,0.06392045,0.09055798,0.07449900
36,0.06045561,0.14419468,0.06340926,0.09041528,0.07329436
37,0.05945204,0.14410266,0.06288653,0.09036567,0.07209601
38,0.05869268,0.14309235,0.06248131,0.08995644,0.07116685
39,0.05784970,0.14329921,0.06207516,0.09031134,0.07017037
40,0.05755667,0.14477683,0.06189346,0.08989101,0.06980116
41,0.05691522,0.14492224,0.06152137,0.09013580,0.06898444
42,0.05670412,0.14460934,0.06140025,0.08991565,0.06873397
43,0.05652078,0.14490051,0.06130551,0.09002338,0.06848345
44,0.05649367,0.14464791,0.06124909,0.09008324,0.06839677
45,0.05623574,0.14466532,0.06112775,0.08999462,0.06812629
46,0.05713562,0.14344768,0.06166842,0.09019502,0.06931762
47,0.05648878,0.14427369,0.06124982,0.08978234,0.06844932
48,0.05537594,0.14579771,0.06067693,0.09066820,0.06709878
49,0.05486635,0.14425689,0.06039980,0.08989783,0.06646740
50,0.05386292,0.14704288,0.05984226,0.09068271,0.06527064
51,0.05318468,0.14636483,0.05942916,0.09043130,0.06434567
52,0.05259541,0.14544612,0.05905287,0.09062981,0.06360541
53,0.05209887,0.14553439,0.05877646,0.09022190,0.06300896
54,0.05167774,0.14655878,0.05854533,0.09039767,0.06249280
55,0.05112698,0.14645374,0.05826832,0.09024723,0.06189665
56,0.05087476,0.14526560,0.05804789,0.08993708,0.06143300
57,0.05069682,0.14600073,0.05798038,0.09036197,0.06130074
58,0.05037762,0.14523842,0.05784144,0.09005649,0.06094592
59,0.05034425,0.14500309,0.05775933,0.09012931,0.06082538
60,0.05036790,0.14499161,0.05778906,0.09006806,0.06088162
61,0.05128208,0.14395163,0.05836956,0.09004351,0.06204820
62,0.05075504,0.14399175,0.05805595,0.09040026,0.06142317
63,0.04992997,0.14528400,0.05753770,0.09041662,0.06033172
64,0.04940913,0.14805417,0.05723882,0.09059708,0.05967381
65,0.04889000,0.14532797,0.05696893,0.08996401,0.05912814
66,0.04839522,0.14454004,0.05661696,0.09032816,0.05842137
67,0.04811515,0.14379398,0.05643840,0.09006479,0.05808043
68,0.04753387,0.14475760,0.05611258,0.08980013,0.05735592
69,0.04724211,0.14625335,0.05588759,0.09050997,0.05695003
70,0.04694172,0.14469300,0.05572973,0.09056188,0.05658581
71,0.04657997,0.14525566,0.05549058,0.09043260,0.05615044
72,0.04646519,0.14487368,0.05547806,0.09001513,0.05606093
73,0.04624768,0.14506796,0.05527702,0.09040359,0.05574094
74,0.04621475,0.14437234,0.05530855,0.09017831,0.05570567
75,0.04617174,0.14465849,0.05524311,0.09014981,0.05563291
76,0.04709912,0.14414551,0.05585524,0.09049005,0.05684790
77,0.04671800,0.14539973,0.05560229,0.09054419,0.05633333
78,0.04639524,0.14468514,0.05542789,0.09070600,0.05596600
79,0.04587219,0.14386319,0.05509897,0.08989948,0.05532593
80,0.04544724,0.14416799,0.05484341,0.09052997,0.05478597
81,0.04507487,0.14352982,0.05462433,0.09039163,0.05437068
82,0.04473307,0.14449757,0.05436427,0.09025764,0.05389262
83,0.04439801,0.14264284,0.05416295,0.08992919,0.05345043
84,0.04398685,0.14395788,0.05391083,0.09034468,0.05293565
85,0.04373717,0.14359357,0.05373578,0.09019383,0.05260298
86,0.04356352,0.14338199,0.05363418,0.09019445,0.05243817
87,0.04341494,0.14490376,0.05354972,0.09026840,0.05225739
88,0.04317870,0.14417134,0.05338156,0.09013400,0.05192621
89,0.04311165,0.14374294,0.05334096,0.09009912,0.05187105
90,0.04307325,0.14375109,0.05336606,0.09007413,0.05187295
91,0.04408228,0.14430246,0.05398955,0.09069269,0.05311499
92,0.04371896,0.14598365,0.05374355,0.09038762,0.05262863
93,0.04342572,0.14323155,0.05355156,0.09036990,0.05225706
94,0.04309806,0.14188991,0.05338290,0.09016472,0.05188839
95,0.04276435,0.14344133,0.05315911,0.08987733,0.05147913
96,0.04234421,0.14522379,0.05289035,0.09082484,0.05096304
97,0.04220691,0.14212747,0.05273500,0.09020234,0.05072119
