epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.37223863,0.15409685,0.16003699,0.09483257,0.46175998
2,0.18398306,0.13983928,0.11068968,0.09023025,0.22714889
3,0.15577160,0.13276610,0.10169253,0.08787344,0.19348236
4,0.14273450,0.12714497,0.09737748,0.08608245,0.17842031
5,0.13366751,0.12363526,0.09420445,0.08499708,0.16800683
6,0.12752690,0.12165184,0.09200551,0.08455445,0.16107614
7,0.12227786,0.12118826,0.09009136,0.08432291,0.15528543
8,0.11858350,0.11869508,0.08872171,0.08361703,0.15140419
9,0.11571246,0.11905592,0.08760827,0.08387662,0.14840056
10,0.11351586,0.11798660,0.08677701,0.08326389,0.14639932
11,0.11185232,0.11811996,0.08617964,0.08325970,0.14501638
12,0.11030766,0.11717658,0.08557584,0.08325912,0.14374672
13,0.10956131,0.11704935,0.08529086,0.08309594,0.14352848
14,0.10906998,0.11698590,0.08510095,0.08314641,0.14356827
15,0.10888954,0.11693508,0.08504718,0.08313691,0.14396997
16,0.10711792,0.11480940,0.08433667,0.08214190,0.14243363
17,0.10307593,0.11517228,0.08279278,0.08267925,0.13822090
18,0.09980039,0.11325107,0.08142158,0.08214273,0.13481152
19,0.09724206,0.11209140,0.08042339,0.08124079,0.13249475
20,0.09508843,0.11279234,0.07951710,0.08143405,0.13051880
21,0.09344171,0.11099862,0.07885301,0.08110255,0.12917985
22,0.09221400,0.11093853,0.07833307,0.08076774,0.12836946
23,0.09091871,0.11033179,0.07775513,0.08030808,0.12738047
24,0.09007369,0.11080938,0.07737806,0.08046550,0.12695964
25,0.08954745,0.10944985,0.07715215,0.08038801,0.12689145
26,0.08904628,0.10894380,0.07693675,0.07999853,0.12688685
27,0.08864433,0.10967128,0.07673881,0.08014071,0.12697034
28,0.08848566,0.10938578,0.07670571,0.08032442,0.12743548
29,0.08847027,0.10941721,0.07663794,0.08016897,0.12794701
30,0.08855240,0.10921435,0.07670997,0.08015670,0.12863886
31,0.08895070,0.11020916,0.07685800,0.08059783,0.12957172
32,0.08770775,0.10774963,0.07629770,0.07967586,0.12865771
33,0.08678803,0.10900336,0.07595112,0.07951946,0.12822917
34,0.08579927,0.10836068,0.07550986,0.07974934,0.12764230
35,0.08499950,0.10690377,0.07511993,0.07918861,0.12712881
36,0.08399745,0.10790807,0.07470220,0.07916675,0.12657344
37,0.08364734,0.10795482,0.07449281,0.07958475,0.12664464
38,0.08309912,0.10798619,0.07425981,0.07944778,0.12648430
39,0.08263786,0.10635348,0.07405073,0.07916282,0.12649043
40,0.08231917,0.10740530,0.07387314,0.07895991,0.12654279
41,0.08236661,0.10699394,0.07389565,0.07903905,0.12713175
42,0.08202203,0.10706816,0.07370580,0.07915570,0.12717647
43,0.08218188,0.10737106,0.07379082,0.07913245,0.12787322
44,0.08209732,0.10715493,0.07371070,0.07904872,0.12819719
45,0.08210770,0.10711914,0.07372443,0.07910092,0.12875251
46,0.08331576,0.10718623,0.07422839,0.07913859,0.13052067
47,0.08267541,0.10698551,0.07394272,0.07902270,0.13022038
48,0.08190434,0.10865949,0.07358834,0.07908214,0.12982197
49,0.08172536,0.10705878,0.07352667,0.07874238,0.13006241
50,0.08128821,0.10669221,0.07331014,0.07879829,0.13002887
51,0.08051835,0.10722834,0.07299681,0.07873390,0.12920527
52,0.08026895,0.10657539,0.07277585,0.07903732,0.12869195
53,0.07968432,0.10693368,0.07256694,0.07875930,0.12817205
54,0.07913018,0.10624975,0.07228416,0.07866286,0.12749931
55,0.07915882,0.10625050,0.07223582,0.07865957,0.12746399
56,0.07889090,0.10566269,0.07214471,0.07854133,0.12718218
57,0.07873007,0.10569402,0.07205900,0.07858995,0.12700860
58,0.07845560,0.10572156,0.07193117,0.07848840,0.12667039
59,0.07830647,0.10574354,0.07189620,0.07844352,0.12659615
60,0.07838129,0.10554507,0.07193247,0.07844981,0.12662528
61,0.07884340,0.10494497,0.07219237,0.07820371,0.12739664
