epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.51949238,0.17586715,0.18852520,0.10241536,0.64629234
2,0.25725616,0.15826139,0.13164742,0.09694889,0.32117839
3,0.21093123,0.14782061,0.11927829,0.09373921,0.26593637
4,0.18952766,0.14038298,0.11313535,0.09124377,0.24107511
5,0.17588709,0.13673116,0.10879498,0.08979613,0.22512831
6,0.16701366,0.13265783,0.10607322,0.08873925,0.21559193
7,0.16071450,0.13138418,0.10394094,0.08804799,0.20873910
8,0.15563872,0.12876451,0.10227029,0.08718769,0.20380850
9,0.15202506,0.12856697,0.10111346,0.08702263,0.20070949
10,0.14956490,0.12676043,0.10024417,0.08644985,0.19868114
11,0.14742942,0.12663833,0.09941297,0.08623013,0.19681414
12,0.14646546,0.12608426,0.09909793,0.08605572,0.19691328
13,0.14529536,0.12556126,0.09864865,0.08574781,0.19647463
14,0.14536536,0.12558903,0.09870155,0.08578725,0.19794890
15,0.14473983,0.12545717,0.09845599,0.08569319,0.19819446
16,0.14312332,0.12475323,0.09792115,0.08537878,0.19721488
17,0.13767113,0.12243605,0.09593386,0.08444411,0.19111929
18,0.13426229,0.12142486,0.09466738,0.08381450,0.18748010
19,0.13108759,0.12150675,0.09352614,0.08415341,0.18454837
20,0.12832219,0.11918191,0.09250163,0.08325425,0.18191144
21,0.12612224,0.11942837,0.09162079,0.08324659,0.17991246
22,0.12460263,0.11875896,0.09107818,0.08298351,0.17910548
23,0.12311376,0.11838392,0.09046641,0.08316164,0.17818900
24,0.12143507,0.11792953,0.08990847,0.08277389,0.17701451
25,0.12096282,0.11738435,0.08969263,0.08261036,0.17735251
26,0.12033215,0.11764787,0.08940082,0.08249858,0.17726542
27,0.12042580,0.11735354,0.08942937,0.08268815,0.17826807
28,0.11992196,0.11770040,0.08923344,0.08273438,0.17839764
29,0.12002471,0.11772283,0.08930306,0.08272468,0.17948103
30,0.12033423,0.11794410,0.08945197,0.08277523,0.18085869
31,0.12023861,0.11842588,0.08934928,0.08283102,0.18120556
32,0.11918527,0.11744176,0.08895407,0.08216739,0.18068546
33,0.11756801,0.11688577,0.08824789,0.08257657,0.17928894
34,0.11625280,0.11706877,0.08769975,0.08237989,0.17832663
35,0.11522047,0.11555133,0.08736002,0.08204324,0.17780428
36,0.11416068,0.11738184,0.08696731,0.08258333,0.17730431
37,0.11344135,0.11736621,0.08660242,0.08238677,0.17707053
38,0.11287142,0.11556144,0.08622025,0.08180879,0.17674359
39,0.11223259,0.11554291,0.08605725,0.08178320,0.17679746
40,0.11219432,0.11555495,0.08604714,0.08171826,0.17743269
41,0.11183229,0.11615849,0.08581134,0.08193325,0.17752561
42,0.11207442,0.11612215,0.08601707,0.08194753,0.17846889
43,0.11211409,0.11557177,0.08595775,0.08171755,0.17907315
44,0.11202158,0.11607710,0.08583967,0.08184665,0.17953451
45,0.11268640,0.11613299,0.08613077,0.08185443,0.18105073
46,0.11349513,0.11621599,0.08641794,0.08181521,0.18243510
47,0.11320966,0.11588361,0.08629104,0.08179173,0.18249884
48,0.11211770,0.11693750,0.08584792,0.08198955,0.18177589
49,0.11200764,0.11629442,0.08578994,0.08187502,0.18213112
50,0.11170975,0.11594010,0.08559601,0.08148045,0.18215302
51,0.11089744,0.11543186,0.08534575,0.08140161,0.18115102
52,0.11040718,0.11596995,0.08505573,0.08159000,0.18047435
53,0.10952493,0.11677527,0.08478749,0.08184789,0.17939034
54,0.10906557,0.11516949,0.08449451,0.08148763,0.17886170
