epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.30700206,0.14323942,0.14425346,0.09181570,0.38936676
2,0.16656486,0.13004465,0.10559104,0.08736261,0.21740749
3,0.14338417,0.12510788,0.09786738,0.08559932,0.19274460
4,0.13137990,0.12159146,0.09355977,0.08404068,0.18179363
5,0.12412719,0.12130199,0.09077289,0.08358122,0.17620047
6,0.11921673,0.11869893,0.08888090,0.08282749,0.17344426
7,0.11593080,0.11940491,0.08755151,0.08276183,0.17241465
8,0.11322256,0.11813109,0.08647822,0.08255680,0.17191247
9,0.11220545,0.11863802,0.08596762,0.08263147,0.17310148
10,0.11119412,0.11867894,0.08549161,0.08273535,0.17418281
11,0.11133464,0.11892095,0.08546827,0.08274044,0.17641088
12,0.11137201,0.11939068,0.08538313,0.08270014,0.17839677
13,0.11180040,0.12010676,0.08551729,0.08295443,0.18090661
14,0.11280912,0.12060355,0.08583551,0.08303118,0.18395690
15,0.11393480,0.12142555,0.08617017,0.08324850,0.18718175
16,0.11546863,0.12143213,0.08668560,0.08323002,0.18935576
17,0.11366437,0.12122041,0.08589359,0.08326202,0.18799439
18,0.11257510,0.12115150,0.08538158,0.08271946,0.18760444
19,0.11206960,0.12170817,0.08511895,0.08311891,0.18792765
20,0.11177447,0.12224912,0.08490937,0.08358473,0.18867413
21,0.11192275,0.12162295,0.08487532,0.08315888,0.18960029
22,0.11207762,0.12295366,0.08487070,0.08333249,0.19065161
23,0.11272120,0.12278150,0.08501841,0.08348746,0.19215673
24,0.11313045,0.12368943,0.08510897,0.08328583,0.19338820
25,0.11391189,0.12478965,0.08531433,0.08388928,0.19490790
26,0.11479863,0.12584003,0.08560261,0.08410485,0.19664723
27,0.11577413,0.12631791,0.08585983,0.08423797,0.19826958
28,0.11675938,0.12721670,0.08616870,0.08455367,0.20016858
29,0.11760565,0.12786893,0.08645467,0.08465484,0.20206536
30,0.11839251,0.12886893,0.08670726,0.08499884,0.20384031
31,0.12095505,0.13011931,0.08762832,0.08547057,0.20671136
32,0.12177331,0.13095097,0.08784722,0.08548231,0.20777193
33,0.12201107,0.13329865,0.08786665,0.08651908,0.20817957
34,0.12280824,0.13057041,0.08810629,0.08494973,0.20935408
35,0.12322900,0.13309181,0.08814395,0.08616188,0.21013244
36,0.12388604,0.13286181,0.08835078,0.08615540,0.21124324
37,0.12442598,0.13417811,0.08851765,0.08640468,0.21209956
38,0.12518940,0.13455811,0.08871305,0.08662052,0.21304792
39,0.12590264,0.13539359,0.08888898,0.08672413,0.21421709
40,0.12657161,0.13487729,0.08908209,0.08652378,0.21524006
41,0.12732043,0.13621382,0.08935770,0.08681985,0.21656225
42,0.12802945,0.13728532,0.08951632,0.08720661,0.21758057
43,0.12884077,0.13807567,0.08978830,0.08733608,0.21902011
44,0.12947777,0.13861818,0.08996699,0.08751124,0.22036044
45,0.13019407,0.13912214,0.09015185,0.08764479,0.22163561
46,0.13256196,0.13965586,0.09098424,0.08788430,0.22438868
47,0.13333231,0.14006173,0.09125298,0.08792510,0.22527442
48,0.13395506,0.14130027,0.09141931,0.08811399,0.22591551
49,0.13463227,0.14170442,0.09160119,0.08861265,0.22676037
50,0.13509833,0.14266789,0.09172645,0.08886169,0.22744470
51,0.13492271,0.14273221,0.09164635,0.08870241,0.22683808
52,0.13482659,0.14300585,0.09158271,0.08852333,0.22649614
53,0.13460178,0.14275613,0.09147217,0.08872850,0.22589972
54,0.13447317,0.14287446,0.09146418,0.08885614,0.22568560
55,0.13424221,0.14274748,0.09137681,0.08855781,0.22537261
56,0.13409100,0.14161000,0.09130786,0.08833861,0.22504708
57,0.13381770,0.14184371,0.09123568,0.08854018,0.22473756
58,0.13384868,0.14210999,0.09120181,0.08855328,0.22468645
