epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.37196648,0.15406539,0.15996456,0.09480796,0.46680081
2,0.18397322,0.13979738,0.11065571,0.09017424,0.23183937
3,0.15597421,0.13279348,0.10170898,0.08779643,0.19975117
4,0.14321111,0.12737972,0.09746895,0.08602418,0.18646154
5,0.13451709,0.12388893,0.09440895,0.08485152,0.17786867
6,0.12879953,0.12197095,0.09234724,0.08433631,0.17280374
7,0.12404762,0.12159038,0.09060145,0.08413496,0.16893275
8,0.12088493,0.11918878,0.08940314,0.08344571,0.16687019
9,0.11855781,0.11947689,0.08847684,0.08359852,0.16567654
10,0.11691036,0.11842008,0.08782868,0.08297157,0.16542089
11,0.11578498,0.11868046,0.08740609,0.08300856,0.16565202
12,0.11480754,0.11816520,0.08700490,0.08305504,0.16600863
13,0.11453603,0.11833718,0.08687843,0.08302015,0.16722126
14,0.11452556,0.11862718,0.08684757,0.08314718,0.16869901
15,0.11475667,0.11882993,0.08692105,0.08319311,0.17044212
16,0.11393390,0.11683278,0.08654226,0.08233096,0.17032667
17,0.11097465,0.11736115,0.08542738,0.08275460,0.16798969
18,0.10855368,0.11532277,0.08439962,0.08233421,0.16627625
19,0.10692054,0.11477590,0.08376618,0.08154328,0.16564607
20,0.10558235,0.11574360,0.08318504,0.08198402,0.16525283
21,0.10479274,0.11450844,0.08286632,0.08175187,0.16535376
22,0.10438622,0.11534071,0.08265624,0.08168942,0.16594238
23,0.10389052,0.11473442,0.08238714,0.08143145,0.16628729
24,0.10384269,0.11552128,0.08232100,0.08163639,0.16716268
25,0.10400732,0.11488926,0.08235906,0.08164328,0.16813553
26,0.10421686,0.11515856,0.08240005,0.08152107,0.16922981
27,0.10455215,0.11580231,0.08247722,0.08171945,0.17037353
28,0.10498448,0.11606133,0.08264632,0.08201372,0.17181765
29,0.10543898,0.11683430,0.08274429,0.08203826,0.17316929
30,0.10603103,0.11716635,0.08297294,0.08218088,0.17476741
31,0.10748768,0.11858943,0.08349645,0.08274042,0.17660659
32,0.10728190,0.11699587,0.08333953,0.08209538,0.17683172
33,0.10726608,0.11789230,0.08333759,0.08210888,0.17744599
34,0.10715463,0.11849835,0.08324518,0.08248839,0.17793307
35,0.10727053,0.11719013,0.08322739,0.08189881,0.17847291
36,0.10707487,0.11824397,0.08313868,0.08211087,0.17889549
37,0.10741716,0.11958411,0.08318838,0.08284495,0.17978520
38,0.10777501,0.12026777,0.08332030,0.08284182,0.18064883
39,0.10806896,0.11900617,0.08337279,0.08276592,0.18142981
40,0.10838822,0.12000914,0.08344763,0.08250894,0.18222233
41,0.10906506,0.12045396,0.08368379,0.08288552,0.18351872
42,0.10932910,0.12098786,0.08374523,0.08300924,0.18422578
43,0.10998909,0.12165579,0.08396385,0.08318461,0.18548956
44,0.11036463,0.12192364,0.08405988,0.08320055,0.18639833
45,0.11078191,0.12244146,0.08417341,0.08341314,0.18750233
46,0.11276999,0.12265012,0.08490443,0.08348115,0.18975038
47,0.11312341,0.12426805,0.08500383,0.08392674,0.19035860
48,0.11308367,0.12449708,0.08496126,0.08381555,0.19064932
49,0.11374146,0.12433665,0.08520243,0.08372581,0.19156465
50,0.11388918,0.12485944,0.08521283,0.08382975,0.19210072
51,0.11351827,0.12513475,0.08509058,0.08376898,0.19159720
52,0.11341823,0.12381048,0.08497925,0.08369945,0.19123311
53,0.11304265,0.12412866,0.08487031,0.08355420,0.19089486
54,0.11259578,0.12413979,0.08468137,0.08370327,0.19034412
55,0.11269214,0.12427474,0.08466837,0.08386166,0.19031607
56,0.11259524,0.12375987,0.08467103,0.08377718,0.19028599
57,0.11245850,0.12345648,0.08459776,0.08350398,0.19008367
58,0.11218804,0.12372532,0.08449191,0.08361177,0.18971906
59,0.11203904,0.12402369,0.08445780,0.08366274,0.18966465
60,0.11216234,0.12382556,0.08451826,0.08362810,0.18969463
61,0.11241534,0.12317889,0.08464380,0.08335943,0.19044401
62,0.11234727,0.12482398,0.08458254,0.08359738,0.19038786
63,0.11181308,0.12415879,0.08435432,0.08379435,0.18968012
64,0.11185159,0.12319770,0.08439025,0.08363960,0.18971422
65,0.11127726,0.12291475,0.08411156,0.08321936,0.18908167
66,0.11112057,0.12436596,0.08409716,0.08411889,0.18894750
67,0.11091215,0.12305787,0.08399540,0.08354688,0.18865628
68,0.11037618,0.12230603,0.08378481,0.08321256,0.18801864
69,0.11038714,0.12370693,0.08377508,0.08337686,0.18808774
70,0.11030395,0.12336620,0.08376515,0.08333643,0.18797926
71,0.10997142,0.12327038,0.08361451,0.08342642,0.18754108
72,0.10999813,0.12272311,0.08361631,0.08313129,0.18752005
73,0.10982033,0.12246171,0.08358893,0.08316178,0.18744931
