epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.26413996,0.14453274,0.13323359,0.09290071,0.32462572
2,0.14289457,0.13234983,0.09733211,0.08834670,0.17643889
3,0.12085182,0.12734192,0.08953112,0.08636882,0.15027323
4,0.10851002,0.12409342,0.08490661,0.08534947,0.13593747
5,0.10079072,0.12397011,0.08173743,0.08478293,0.12703912
6,0.09487854,0.12190343,0.07935233,0.08390474,0.12063281
7,0.09049564,0.12214719,0.07750468,0.08342157,0.11607570
8,0.08737573,0.12009037,0.07614095,0.08301080,0.11301803
9,0.08455719,0.11985494,0.07496193,0.08280015,0.11043975
10,0.08288501,0.11900394,0.07419895,0.08253658,0.10918039
11,0.08142607,0.11832821,0.07355220,0.08255158,0.10815485
12,0.08051215,0.11722878,0.07312415,0.08217684,0.10776891
13,0.07962624,0.11725660,0.07273210,0.08212745,0.10743070
14,0.07943921,0.11674926,0.07264115,0.08209990,0.10799243
15,0.07917319,0.11697723,0.07251082,0.08201177,0.10836668
16,0.07822965,0.11488262,0.07216012,0.08175687,0.10803358
17,0.07468883,0.11464646,0.07054477,0.08146101,0.10458561
18,0.07169955,0.11359982,0.06906394,0.08089254,0.10167430
19,0.06935476,0.11197717,0.06796638,0.08082684,0.09969493
20,0.06726261,0.11082265,0.06694473,0.07981246,0.09787264
21,0.06568235,0.11072718,0.06617978,0.08029359,0.09678389
22,0.06440892,0.11081422,0.06545830,0.08032593,0.09589099
23,0.06317089,0.10964949,0.06487312,0.07993432,0.09517276
24,0.06228862,0.11031900,0.06437582,0.08017106,0.09475252
25,0.06153023,0.10944916,0.06396691,0.07974698,0.09452718
26,0.06112508,0.10914840,0.06372293,0.07979383,0.09469481
27,0.06084289,0.10918481,0.06354563,0.07997243,0.09495282
28,0.06058963,0.10923836,0.06344462,0.07980199,0.09532730
29,0.06055183,0.10923054,0.06338027,0.07974899,0.09590490
30,0.06040055,0.10900184,0.06331300,0.07969690,0.09640311
31,0.06109178,0.11017431,0.06366580,0.07969787,0.09780041
32,0.05977053,0.10837551,0.06296776,0.08003627,0.09685400
33,0.05861104,0.10977783,0.06231157,0.07993056,0.09608920
