n,arch,status,test_rmse,elapsed_sec,activation,batch_size,coriolis_hidden,coriolis_matrix_form,correction_dropout,correction_reg_inertia_normalize,data_train_fraction,data_train_seed,dropout,early_stop_metric,early_stopping,ema_decay,enable_passivity_loss,epochs,feature_noise_std,friction_form,friction_hidden,frozen_lr_ratio,grad_clip_norm,gravity_hidden,hidden_layers,inertia_hidden,inertia_psd,joint_loss_weights,lambda_correction_decay,lambda_correction_reg,lambda_correction_reg_per_component,lambda_passivity,learning_rate,lr_scheduler,min_delta,optimizer,patience,phase2_max_epoch,phase2_min_epoch,phase2_plateau_threshold,phase2_plateau_window,phase2_start_epoch,phi_lr_ratio,physics_warmup_fraction,physics_weight,print_every,seed,snapshot_every,spectral_norm,stride,torch_compile,torch_compile_mode,use_friction_qdd,use_phys_cond,warm_restart_T_0,warm_restart_T_mult,warm_restart_eta_min,weight_decay
1,edr,ok,0.089622,0.0,silu,256,96-96,False,0.2,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.1,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
2,edr,ok,0.089877,0.0,silu,256,48-48,False,0.2,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,1.0,48-48,,48-48,False,,none,0.002,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
3,edr,ok,0.089945,0.0,silu,256,96-96,False,0.2,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.01,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
4,edr,ok,0.090015,0.0,silu,256,96-96,False,0.2,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.005,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
5,edr,ok,0.090018,0.0,silu,256,96-96,False,0.2,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.02,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
6,edr,ok,0.090048,0.0,silu,256,96-96,False,0.2,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.002,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
7,edr,ok,0.090231,0.0,silu,256,64-64,False,0.2,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,1.0,64-64,,64-64,False,,none,0.05,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
8,edr,ok,0.090404,0.0,silu,256,32-32,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,16-16,1.0,1.0,32-32,,32-32,False,,none,0.05,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
9,edr,ok,0.090420,0.0,silu,256,96-96,False,0.2,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,48-48,1.0,1.0,96-96,,96-96,False,,none,0.05,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,False,True,15,1,3e-06,0.002
10,edr,ok,0.090575,0.0,silu,256,32-32,False,0.05,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,16-16,1.0,1.0,32-32,,32-32,False,,none,0.1,,0.01,0.0003,cosine_warm_restarts,0.0002,adamw,50,45,15,0.0015,8,,,,,2,42,0,False,1,False,default,True,True,15,1,3e-06,0.002
