architecture,data_fraction_pct,test_rmse,test_rmse_std,n_seeds,val_rmse,gen_gap
FNN,10,0.101107,0,1,0.0875764,0.0135306
FNN,20,0.099825,0,1,0.0863695,0.0134555
FNN,30,0.100394,0,1,0.0861857,0.0142083
FNN,40,0.099609,0,1,0.0863243,0.0132847
FNN,50,0.098434,0,1,0.0854433,0.0129907
FNN,60,0.099056,0,1,0.0851522,0.0139038
FNN,70,0.098365,0,1,0.0846268,0.0137382
FNN,80,0.100038,0,1,0.0851731,0.0148649
FNN,90,0.097567,0,1,0.084408,0.013159
FNN,100,0.097171,0,1,0.0852938,0.0118772
Physics-Reg.,10,0.091047,0,1,0.0809976,0.0100494
Physics-Reg.,20,0.091257,0,1,0.0812948,0.00996224
Physics-Reg.,30,0.092012,0,1,0.0810086,0.0110034
Physics-Reg.,40,0.091444,0,1,0.0811492,0.0102948
Physics-Reg.,50,0.090247,0,1,0.0812164,0.00903059
Physics-Reg.,60,0.090062,0,1,0.0800859,0.00997605
Physics-Reg.,70,0.089197,0,1,0.079841,0.00935601
Physics-Reg.,80,0.089321,0,1,0.0792292,0.0100918
Physics-Reg.,90,0.090608,0,1,0.0792207,0.0113873
Physics-Reg.,100,0.089562,0,1,0.0789465,0.0106155
EDR,10,0.09095,0,1,0.0808137,0.0101363
EDR,20,0.090117,0,1,0.080057,0.01006
EDR,30,0.089863,0,1,0.0796957,0.0101673
EDR,40,0.090208,0,1,0.0794358,0.0107722
EDR,50,0.09117,0,1,0.0794274,0.0117426
EDR,60,0.090708,0,1,0.0792941,0.0114139
EDR,70,0.091331,0,1,0.0795344,0.0117966
EDR,80,0.091038,0,1,0.0793274,0.0117106
EDR,90,0.090593,0,1,0.0796463,0.0109467
EDR,100,0.090485,0,1,0.0789583,0.0115267
