epoch,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.0373318,1.82268e-05,5.21486e-06,0.0291209
2,0.0716538,0.00112687,0.000334286,0.0741187
3,0.0809426,0.00376583,0.00109181,0.0850925
4,0.0846433,0.00780902,0.00230063,0.089919
5,0.0872407,0.0133988,0.00416443,0.0933943
6,0.0887211,0.0205572,0.007124,0.0964261
7,0.0898358,0.0292365,0.0113131,0.0983583
8,0.0909812,0.0400536,0.016677,0.0999829
9,0.0918393,0.0522302,0.0229646,0.101309
10,0.0931389,0.0666118,0.0302605,0.102572
11,0.0937897,0.0820671,0.0381883,0.103715
12,0.0954119,0.0998723,0.0469029,0.104713
13,0.0964443,0.120575,0.0563122,0.105501
14,0.0972897,0.142941,0.0664663,0.10632
15,0.0986624,0.16605,0.0773901,0.107047
16,0.0995209,0.193301,0.0894761,0.107717
17,0.100419,0.218759,0.102235,0.108302
18,0.101195,0.250672,0.116068,0.108619
19,0.102236,0.282823,0.13055,0.109055
20,0.103186,0.316266,0.146012,0.109262
21,0.103842,0.352017,0.162373,0.109536
22,0.104358,0.391156,0.179549,0.110003
23,0.105425,0.427104,0.19716,0.110059
24,0.105826,0.466499,0.215364,0.110299
25,0.106869,0.509459,0.234683,0.110278
26,0.107021,0.553084,0.25511,0.110328
27,0.108259,0.598431,0.2746,0.110543
28,0.108704,0.644364,0.295029,0.110482
29,0.108925,0.691116,0.315979,0.110315
30,0.109994,0.730804,0.336842,0.110181
31,0.110217,0.782499,0.358753,0.110393
32,0.110878,0.830422,0.380813,0.110185
33,0.111241,0.877642,0.40259,0.10997
34,0.111773,0.919585,0.424662,0.10995
35,0.112651,0.964958,0.446066,0.109873
36,0.112762,1.01811,0.468174,0.109782
37,0.113424,1.06104,0.489772,0.109561
38,0.11382,1.10555,0.511805,0.109277
39,0.11455,1.14937,0.531646,0.109004
40,0.114698,1.19501,0.555012,0.109012
41,0.11515,1.23128,0.573957,0.10872
42,0.115939,1.27635,0.595518,0.10863
43,0.115883,1.31666,0.613909,0.108332
44,0.116513,1.3557,0.631668,0.108124
45,0.116968,1.38033,0.651266,0.10797
46,0.117736,1.41707,0.668121,0.107648
47,0.11784,1.45996,0.685034,0.107515
48,0.118579,1.47789,0.701164,0.107194
49,0.118948,1.50995,0.717353,0.107128
50,0.119753,1.54024,0.730929,0.106816
51,0.120054,1.55733,0.745157,0.10659
52,0.120852,1.58393,0.757621,0.106311
53,0.120979,1.61017,0.768806,0.10629
54,0.121773,1.61813,0.778941,0.10607
55,0.122257,1.65138,0.788438,0.105674
56,0.122816,1.66024,0.797186,0.105698
57,0.123152,1.67419,0.80612,0.105536
58,0.12384,1.68011,0.812758,0.104999
59,0.124176,1.68778,0.818442,0.104992
60,0.124797,1.70816,0.823665,0.104871
61,0.125297,1.71565,0.827225,0.10487
62,0.125516,1.72781,0.83135,0.104818
63,0.126147,1.71807,0.832788,0.104682
64,0.126648,1.73234,0.837823,0.104541
65,0.127313,1.71906,0.836482,0.104245
66,0.127735,1.72354,0.834988,0.10424
67,0.127872,1.72418,0.833978,0.104142
68,0.128628,1.7233,0.833821,0.103844
69,0.129176,1.71784,0.830552,0.103798
70,0.129474,1.71641,0.829322,0.103872
71,0.129983,1.71106,0.82449,0.103676
72,0.130332,1.69755,0.82245,0.103616
73,0.130713,1.70634,0.815222,0.103527
74,0.131063,1.69321,0.812437,0.103461
75,0.13129,1.6929,0.807326,0.103302
76,0.131753,1.672,0.801819,0.103327
77,0.131677,1.66695,0.796037,0.103155
78,0.132292,1.66351,0.791591,0.103144
79,0.132728,1.64885,0.783922,0.102834
80,0.133269,1.63889,0.77754,0.10286
81,0.133096,1.62914,0.769489,0.102954
82,0.133962,1.61188,0.763123,0.102799
83,0.133983,1.60407,0.753931,0.102351
84,0.134158,1.59417,0.747647,0.102417
85,0.134178,1.57777,0.737834,0.102325
86,0.134715,1.56907,0.730256,0.101862
87,0.135118,1.55826,0.723407,0.101939
88,0.135272,1.54384,0.714165,0.101871
89,0.135508,1.53178,0.707392,0.101655
90,0.135806,1.51028,0.699477,0.101862
91,0.136114,1.49965,0.690503,0.101019
92,0.136389,1.48418,0.683314,0.101296
93,0.136866,1.47977,0.675354,0.100865
94,0.136834,1.45737,0.667278,0.101027
95,0.137087,1.44998,0.659541,0.100839
96,0.137566,1.42787,0.649412,0.100638
97,0.137886,1.41501,0.642694,0.100435
98,0.137937,1.40557,0.636335,0.100386
99,0.138383,1.39174,0.626752,0.100462
100,0.138221,1.3731,0.619468,0.100435
101,0.13858,1.35918,0.610246,0.100224
102,0.13868,1.3439,0.60274,0.100216
103,0.139027,1.33152,0.594015,0.0999329
104,0.138955,1.31847,0.588062,0.100061
105,0.13956,1.30293,0.579472,0.100119
106,0.13941,1.28863,0.572453,0.0998572
107,0.139586,1.27801,0.56597,0.0997816
108,0.139802,1.25769,0.557703,0.0995353
109,0.14004,1.24596,0.550624,0.0994466
110,0.140261,1.23438,0.542969,0.0992116
111,0.140514,1.2205,0.535665,0.0990296
112,0.140689,1.20309,0.529017,0.0992186
113,0.140423,1.19181,0.523135,0.0991608
114,0.14107,1.1776,0.516044,0.0988494
115,0.141265,1.16603,0.509457,0.0987821
116,0.140996,1.14769,0.50189,0.0988289
117,0.141227,1.13698,0.497121,0.0985426
118,0.141388,1.12092,0.48935,0.0984351
119,0.141501,1.11623,0.485084,0.0984226
120,0.141814,1.1019,0.478938,0.0985448
121,0.141871,1.08985,0.471925,0.0983303
122,0.142079,1.08226,0.466474,0.0981347
123,0.141889,1.06588,0.460538,0.0980141
124,0.141908,1.05492,0.455081,0.0980371
125,0.142541,1.03948,0.448846,0.0981435
126,0.14253,1.0323,0.443959,0.098051
127,0.142755,1.02087,0.437912,0.0976152
128,0.143157,1.01298,0.432581,0.0978161
129,0.143081,1.00449,0.427973,0.0974579
130,0.142964,0.991435,0.421956,0.0974259
131,0.143334,0.973017,0.418141,0.0972779
132,0.143235,0.964466,0.411132,0.0968846
133,0.143279,0.957382,0.406684,0.0968517
134,0.14356,0.947565,0.402421,0.096915
135,0.143371,0.935886,0.397388,0.0971684
136,0.143664,0.92427,0.392883,0.0963864
137,0.143944,0.914382,0.389194,0.0966062
138,0.144133,0.906119,0.384627,0.0964892
139,0.14454,0.892278,0.379659,0.0962666
140,0.143861,0.885001,0.375409,0.0965359
141,0.143615,0.876897,0.370981,0.096208
142,0.144496,0.866072,0.366102,0.0963766
