architecture,joint,rmse,r2,mae,nrmse
FNN,J1,0.0758795,0.838755,0.0533632,0.0755292
FNN,J2,0.191594,0.869288,0.128958,0.0727406
FNN,J3,0.113184,0.907019,0.082253,0.0801748
FNN,J4,0.0420607,0.782621,0.0295753,0.0915848
FNN,J5,0.125083,0.610469,0.0780306,0.111755
Physics-Reg.,J1,0.0663257,0.876803,0.0489724,0.0660195
Physics-Reg.,J2,0.162044,0.906499,0.111065,0.0615215
Physics-Reg.,J3,0.102775,0.923334,0.0770416,0.072802
Physics-Reg.,J4,0.039849,0.804881,0.0277435,0.0867691
Physics-Reg.,J5,0.125509,0.607815,0.0881991,0.112135
EDR,J1,0.064859,0.882191,0.048261,0.0645596
EDR,J2,0.175939,0.889777,0.127413,0.0667968
EDR,J3,0.109353,0.913207,0.0803267,0.0774611
EDR,J4,0.0428701,0.774174,0.0305005,0.0933473
EDR,J5,0.108565,0.706557,0.0781897,0.096997
