architecture,epoch,train_rmse,val_rmse,overfit_gap
FNN,1,0.195708,0.113956,-0.0817513
FNN,2,0.138389,0.108836,-0.0295528
FNN,3,0.12632,0.105127,-0.0211925
FNN,4,0.119996,0.103232,-0.0167637
FNN,5,0.115818,0.102098,-0.0137196
FNN,6,0.112797,0.100569,-0.0122282
FNN,7,0.110324,0.0994908,-0.0108335
FNN,8,0.108295,0.0986866,-0.00960839
FNN,9,0.10681,0.0977465,-0.00906372
FNN,10,0.105596,0.0972311,-0.00836459
FNN,11,0.104895,0.0966365,-0.00825896
FNN,12,0.104213,0.0961373,-0.00807525
FNN,13,0.103686,0.0961208,-0.00756528
FNN,14,0.103603,0.0961454,-0.00745791
FNN,15,0.103387,0.0962134,-0.00717367
FNN,16,0.102402,0.0951706,-0.00723155
FNN,17,0.100068,0.0937614,-0.00630637
FNN,18,0.0981668,0.0925543,-0.00561246
FNN,19,0.0966552,0.0926164,-0.00403879
FNN,20,0.0951343,0.0911388,-0.00399544
FNN,21,0.0940509,0.0908874,-0.00316344
FNN,22,0.0933592,0.0901315,-0.00322767
FNN,23,0.0924422,0.0905164,-0.00192584
FNN,24,0.0917053,0.0900001,-0.00170513
FNN,25,0.0914467,0.089855,-0.0015917
FNN,26,0.0909203,0.0897593,-0.00116099
FNN,27,0.0907044,0.089657,-0.00104743
FNN,28,0.0905887,0.0895374,-0.00105133
FNN,29,0.0904471,0.0895364,-0.00091072
FNN,30,0.0902759,0.0895118,-0.00076413
FNN,31,0.0903459,0.0893652,-0.00098072
FNN,32,0.0894021,0.09002,0.00061791
FNN,33,0.0885987,0.088766,0.00016735
FNN,34,0.0877996,0.0883847,0.00058513
FNN,35,0.0871812,0.0880724,0.00089121
FNN,36,0.086534,0.0874401,0.00090616
FNN,37,0.0860233,0.0881449,0.00212152
FNN,38,0.0856305,0.0879824,0.00235181
FNN,39,0.0851825,0.0873179,0.00213539
FNN,40,0.0846869,0.0874998,0.00281291
FNN,41,0.0845073,0.0874263,0.00291899
FNN,42,0.0844183,0.0872528,0.0028345
FNN,43,0.0843451,0.0873083,0.00296324
FNN,44,0.084299,0.0873113,0.00301239
FNN,45,0.083993,0.0872999,0.00330694
FNN,46,0.0844773,0.0880354,0.0035581
FNN,47,0.083966,0.0873141,0.00334809
FNN,48,0.0834495,0.0871532,0.00370368
FNN,49,0.0829438,0.086283,0.00333918
FNN,50,0.0824972,0.0870301,0.00453292
FNN,51,0.082078,0.0868856,0.00480762
FNN,52,0.0815591,0.0870008,0.0054417
FNN,53,0.0813494,0.0866358,0.00528642
FNN,54,0.081098,0.0865364,0.00543839
FNN,55,0.0808954,0.0861635,0.00526813
FNN,56,0.0805753,0.0862834,0.00570808
FNN,57,0.0805236,0.086079,0.00555536
FNN,58,0.0803277,0.086254,0.00592626
FNN,59,0.0803428,0.0861999,0.00585717
FNN,60,0.0803528,0.0861937,0.00584092
FNN,61,0.0806544,0.087118,0.00646353
FNN,62,0.0803313,0.0858541,0.00552276
FNN,63,0.0799414,0.0868309,0.00688958
FNN,64,0.0795376,0.0864555,0.0069179
FNN,65,0.0793314,0.0869996,0.00766823
FNN,66,0.0790439,0.086077,0.00703306
FNN,67,0.0786303,0.0858966,0.00726629
FNN,68,0.0783076,0.0862684,0.00796082
FNN,69,0.0779395,0.0859143,0.00797481
FNN,70,0.0778325,0.0859925,0.00816001
