epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,ema_val_rmse,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.166478900451635,0.1548698724003774,0.076199914,0.06888362599999999,0.19671854,0.072184812,0.0243530006,5.66009006e-05,2.48122812e-05,0.041708645
2,0.1452388533361087,0.13821903590409979,0.072685879,0.066262434,0.17292692,0.07167545699999998,0.0683240087,0.000605505985,0.000212081231,0.13531710125000002
3,0.135842882350112,0.1349134313366812,0.07103767999999999,0.065615438,0.16249369,0.071070146,0.0794126361,0.00201921573,0.000600899589,0.19636980250000002
4,0.13257559668347005,0.13219211329140604,0.070339696,0.065027298,0.15876746,0.07041036799999999,0.0831784483,0.0039980411,0.00120998408,0.21411540699999998
5,0.13017819995116647,0.12976812197763898,0.06977423599999999,0.06452601399999999,0.1559867,0.069712804,0.0864783543,0.00677117803,0.00206515251,0.22357458025
6,0.1283043807511446,0.12771240728596284,0.06937435399999999,0.06421664199999999,0.15384714,0.068995717,0.0891524153,0.0102708021,0.0033267249,0.23099473674999998
7,0.12689944782016233,0.1260163867046779,0.06907149199999998,0.063790559,0.15224507,0.068265204,0.0910778329,0.0144133935,0.00517245052,0.23629756750000003
8,0.12554365314205088,0.12495884266124192,0.06878597599999998,0.063699272,0.15070531,0.067557805,0.0929340456,0.0195645961,0.0077548641,0.24110218625
9,0.12439578705061351,0.12380881921741449,0.068532548,0.063462651,0.14939449,0.06688425099999999,0.0946122979,0.0256545997,0.0108674913,0.24446347024999998
10,0.1233846646247364,0.12315177467265499,0.068333622,0.063330414,0.14826113,0.066264436,0.0968986899,0.0325725482,0.0146005002,0.24751738499999998
11,0.12236908151288992,0.12251779713334263,0.06811767199999999,0.06330810499999999,0.14710962,0.065709406,0.0977882433,0.0408281804,0.018721825,0.2505653275
12,0.12142288275896937,0.12190341807807614,0.06790967399999999,0.063235823,0.14603444,0.06522268199999999,0.0996826274,0.0501687396,0.023275141,0.2524636375
13,0.12050453333637555,0.12130713485004135,0.06770945299999999,0.06311871299999999,0.14499528,0.064795962,0.100980242,0.0603862975,0.0281661726,0.2550875375
14,0.11966098999974153,0.12060685525417082,0.067531653,0.063020958,0.14404774,0.064414105,0.102117912,0.0708137267,0.0333937317,0.25692301500000003
15,0.11883755274528214,0.1201803293457677,0.067351977,0.063019229,0.14312344,0.064095794,0.103841304,0.0835798637,0.0388909631,0.258755085
16,0.11806747790696565,0.11955575191097952,0.067166925,0.062899599,0.14225242,0.06382002199999999,0.104837429,0.0963869993,0.0447810255,0.26036592000000003
17,0.11738175489708931,0.11908109804433577,0.067017181,0.062865334,0.14149164,0.06358249099999999,0.105947645,0.110769534,0.0510245437,0.26156181
18,0.11685299751242367,0.11811074421163655,0.066899056,0.062671847,0.14091767,0.06336563099999999,0.106704737,0.125516483,0.057876955,0.263082645
19,0.11621951906571493,0.11776905172439493,0.066743033,0.062607783,0.14021532,0.063176974,0.107755505,0.141354272,0.0650692911,0.263156465
20,0.11561875414526936,0.11766618172328351,0.066585687,0.062650952,0.13955222,0.063018515,0.108769689,0.158795184,0.072802087,0.263871045
21,0.11507115766356975,0.11711468725234862,0.06645100699999999,0.062540415,0.13896338,0.062874049,0.109717292,0.174579661,0.0805791097,0.26415627
22,0.11449702350362272,0.11633451408511528,0.06630248799999999,0.06251288399999999,0.13834782,0.062750821,0.110456307,0.195109336,0.0889227066,0.2642961725
23,0.1138922074383939,0.1157683760472541,0.066159128,0.062445096,0.13771061,0.062636287,0.111181568,0.213074993,0.0974525562,0.263871555
24,0.11331310025945729,0.11550646435745951,0.066019184,0.062310248,0.13711821,0.06252469999999999,0.112280876,0.234479867,0.106479282,0.2643550275
25,0.11265779747273195,0.11492491860964298,0.06584668299999999,0.06226288599999999,0.13643047,0.06242112799999999,0.113060373,0.254987765,0.11579683,0.2637045625
26,0.112054068156762,0.11447579382366457,0.06569681999999999,0.06225014599999999,0.13582576,0.06233145099999999,0.113968194,0.276279907,0.125543229,0.2635404725
27,0.11149786310137413,0.11387703194665631,0.065551577,0.06216711899999999,0.1352751,0.06224003799999999,0.114272425,0.300032873,0.134970863,0.2632257375
28,0.11083775856075051,0.1132806006348743,0.06538049,0.062059431,0.13461824,0.062152251,0.115233029,0.321762159,0.145106777,0.26326604
29,0.11012831830558764,0.11314391982631074,0.065180682,0.062010088,0.13389953,0.062071562,0.115925897,0.343789779,0.155256517,0.2624689725
30,0.10950433852441513,0.11181403039879634,0.065038932,0.061749037,0.13332393,0.061975696999999996,0.116396243,0.368934691,0.165330507,0.262379395
31,0.10885557124121249,0.1120102570902265,0.064872451,0.06186989899999999,0.13271821,0.061898157999999995,0.117167626,0.39428251,0.175667,0.262093
32,0.1080024317439835,0.111002374512202,0.064660449,0.06161497999999999,0.13188754,0.061808873,0.117852945,0.417897068,0.186364773,0.2616177425
33,0.10729971031279856,0.11098801023294601,0.064463553,0.061537798,0.13120739,0.061724012,0.118289982,0.436743021,0.196646462,0.2614436025
34,0.10661294285890494,0.11067075339902253,0.06428603299999999,0.061423103,0.13059489,0.061642721,0.118815062,0.463215386,0.207429613,0.26088415
35,0.10572370482272939,0.10913901422194569,0.064021174,0.06128742899999999,0.12971585,0.061563257,0.120008157,0.483783838,0.217579894,0.260440475
36,0.10491992654636251,0.10943059197279208,0.06381514999999999,0.061329604,0.12896871,0.061489686999999994,0.120404121,0.505094869,0.228457958,0.260684945
37,0.10421922742848548,0.10911784488892509,0.06362899899999999,0.061053839,0.12835331,0.06140812999999999,0.120819023,0.527773276,0.2389176,0.2607398375
38,0.10349737242384871,0.10835640349995167,0.063408121,0.061042856,0.12767994,0.061338564,0.121611362,0.541349687,0.249192092,0.260638875
39,0.10265898679238095,0.10808376744489931,0.063178017,0.061018181,0.12690236,0.06128212999999999,0.122368331,0.561064609,0.259737026,0.26040221999999996
40,0.10192352272037418,0.1071995363495351,0.062980106,0.060752838999999996,0.12624635,0.061217932999999995,0.123166374,0.577345792,0.269312228,0.2602978675
41,0.10124333155891752,0.10654503239114335,0.062767348,0.06054411299999999,0.12564611,0.061142409999999994,0.123401986,0.595272947,0.279282886,0.260066835
42,0.10036272559046618,0.10644282622667,0.06252580599999999,0.060535902,0.12481427,0.061074321,0.124214476,0.614955254,0.288461891,0.26019215500000004
43,0.09967152653879052,0.10681333405138849,0.062320251,0.060453063999999994,0.12421027,0.06101040399999999,0.124605949,0.629924577,0.297229244,0.259551
44,0.09880493933976563,0.10584643604969061,0.062082124999999995,0.060271225,0.12340319,0.060941089999999996,0.125173785,0.646533081,0.306974309,0.2595384925
45,0.09789212367750069,0.10545735976517795,0.061810679,0.060037116999999994,0.12254002,0.060856096,0.125901232,0.664978183,0.315565748,0.2598004775
46,0.09735093904927322,0.10412019430113555,0.061633837999999996,0.059954797,0.12205833,0.060777864,0.126360547,0.668690263,0.323727071,0.259319285
47,0.09637218357427389,0.10377271093062414,0.061334959,0.05970467299999999,0.12108641,0.06068156499999999,0.127400137,0.685620074,0.331403953,0.259423235
48,0.095724039260442,0.10342106681267714,0.06116978,0.059384227,0.12054681,0.06056841699999999,0.127548135,0.704632993,0.338499648,0.25923299
49,0.0949320103382039,0.1028423473938905,0.060901371999999995,0.059402909999999996,0.11973978,0.060462513999999995,0.128487857,0.709732522,0.346136805,0.25890660249999997
50,0.094095588594138,0.10247616652976563,0.06067473999999999,0.05922612499999999,0.11895314,0.060352067999999995,0.129020159,0.723615493,0.352926791,0.2583391525
