epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.1627331043544471,0.14918848940984614,0.07548153199999999,0.06783482299999999,0.19242438,0.0356558013,1.35437921e-05,3.90656623e-06,0.0551782945
2,0.1393593889568708,0.136992373177832,0.071648458,0.06588707999999999,0.16632656,0.0756182235,0.000286055034,9.97491695e-05,0.161618226
3,0.13218550264864695,0.13534065728664552,0.070327817,0.065509052,0.15836008,0.0845066383,0.000925985507,0.000304841283,0.21302214325
4,0.13004589527869811,0.1327324174394419,0.069795789,0.06498984099999999,0.15586977,0.087649195,0.00188591544,0.000641105927,0.22442690975
5,0.1281026039954318,0.13047970315379362,0.06931776599999999,0.064524285,0.15360559,0.09062276,0.0031645775,0.00109783698,0.23240870800000002
6,0.12635411820292616,0.1286548809658287,0.068916806,0.06421487099999999,0.15159301,0.0939107709,0.00482488726,0.00173252194,0.23877085925
7,0.12471351492541191,0.12687532402805263,0.06857559099999999,0.063905695,0.1497277,0.0959272719,0.00683567878,0.00258600276,0.24429921125
8,0.12309972884520441,0.12510007274846263,0.06822447799999999,0.06367525499999999,0.14788153,0.0978477196,0.00923350181,0.0036575012,0.2486945955
9,0.12157076811241749,0.12352982390966685,0.067907049,0.063452424,0.14614786,0.0998574612,0.0120381597,0.00490862573,0.2544117
10,0.12023405185413631,0.12268103994598956,0.067623808,0.06336700299999999,0.14463092,0.101265945,0.0153336633,0.00633000585,0.2598188275
11,0.11920561418821563,0.1221033686428975,0.06738567499999999,0.063259049,0.14345422,0.102856665,0.0190099383,0.00797294525,0.2640631475
12,0.11837400726692449,0.12153547207436799,0.067180099,0.06321056,0.14249111,0.10391823,0.0231733106,0.009903815,0.26635928999999997
13,0.11776272225276646,0.12090214993534076,0.06704076399999999,0.06311130699999999,0.14179337,0.104946896,0.0277751273,0.0121051348,0.2676462525
14,0.11702869138135952,0.12059640176147872,0.066861599,0.063093688,0.14094348,0.105874272,0.0326763948,0.0145197899,0.268837665
15,0.11635675267361162,0.12024464522123178,0.066698618,0.063052234,0.14016532,0.106560197,0.0383991044,0.0171695529,0.26910922
16,0.11570853087364201,0.11984332526782111,0.06653877999999999,0.062977768,0.13941794,0.107839129,0.0441707166,0.0199893432,0.27006865
17,0.11512749128580073,0.11944660413139754,0.066395588,0.062866853,0.13874813,0.108485085,0.0507139053,0.0230377097,0.2705580125
18,0.11451587253624682,0.1194069739758105,0.06623684199999999,0.06293539,0.13803808,0.10978153,0.0572943115,0.0262405487,0.2705943125
19,0.11397062876031272,0.11892053634159064,0.066102988,0.06284757499999999,0.13741269,0.110824544,0.0646193267,0.0296127942,0.27080327000000004
20,0.11345576213940814,0.11884732915560675,0.065965473,0.06285510700000001,0.13681659,0.111640539,0.0725807599,0.0332377896,0.27102627
21,0.1130880606724129,0.11857103618098763,0.065861691,0.062849318,0.13639081,0.112437231,0.0803215335,0.0369838961,0.2711520075
22,0.1125975151884351,0.118630283964442,0.06573716099999999,0.06284978,0.13583133,0.113432524,0.0897381558,0.0410220348,0.2711587525
