epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.53937086,0.20925678,0.19295376,0.11370783,0.66315626
2,0.28421489,0.19209912,0.13798200,0.10821462,0.34664930
3,0.23079608,0.18127044,0.12399343,0.10441214,0.28168791
4,0.20218963,0.17301566,0.11589674,0.10177972,0.24671875
5,0.18332131,0.16832952,0.11033390,0.10017415,0.22371504
6,0.16899154,0.16341170,0.10595703,0.09802467,0.20625869
7,0.15721449,0.15962781,0.10226414,0.09617889,0.19209986
8,0.14704318,0.15491814,0.09894269,0.09501378,0.17967473
9,0.13869991,0.15305694,0.09614636,0.09391550,0.16952379
10,0.13095405,0.14957758,0.09347546,0.09294552,0.16009809
11,0.12470728,0.14737977,0.09117986,0.09263336,0.15225540
12,0.11876166,0.14520751,0.08904568,0.09136070,0.14506783
13,0.11402814,0.14118240,0.08728948,0.09052888,0.13924203
14,0.10941366,0.13982866,0.08551361,0.08980546,0.13351360
15,0.10568612,0.13751794,0.08405160,0.08951829,0.12896938
16,0.10182755,0.13868276,0.08247337,0.08936735,0.12410344
17,0.09838776,0.13336313,0.08112726,0.08858614,0.12001045
18,0.09534895,0.13404181,0.07987036,0.08832450,0.11624543
19,0.09244409,0.13483268,0.07868782,0.08817502,0.11271474
20,0.09008400,0.13010075,0.07767434,0.08741338,0.10973010
21,0.08743752,0.13240733,0.07654320,0.08805554,0.10644473
22,0.08486045,0.13255420,0.07540282,0.08788593,0.10324835
23,0.08294457,0.12979854,0.07456141,0.08678586,0.10093656
24,0.08069685,0.13060094,0.07366856,0.08769051,0.09833149
25,0.07878012,0.13190302,0.07273333,0.08718295,0.09592933
26,0.07720021,0.12913490,0.07198294,0.08690295,0.09398505
27,0.07539576,0.13274877,0.07113702,0.08762667,0.09174436
28,0.07391986,0.13151993,0.07045321,0.08703026,0.09000717
29,0.07243630,0.12880718,0.06975241,0.08690640,0.08821255
30,0.07121835,0.13219972,0.06909551,0.08723267,0.08655815
31,0.06996131,0.12921884,0.06849219,0.08645355,0.08501265
32,0.06875229,0.13015585,0.06794189,0.08633380,0.08362716
33,0.06761648,0.12866063,0.06734935,0.08613782,0.08217332
34,0.06656863,0.12910315,0.06679973,0.08720653,0.08085073
35,0.06550538,0.13073877,0.06624373,0.08646999,0.07946910
36,0.06453999,0.12945612,0.06580840,0.08665022,0.07843492
37,0.06360784,0.12872650,0.06533022,0.08608607,0.07725537
