epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.89596394,0.24966963,0.25047196,0.12541363,1.10884857
2,0.43802881,0.22679691,0.17273832,0.11838914,0.53761951
3,0.33831164,0.21511149,0.15130841,0.11458151,0.41547079
4,0.29224128,0.20413822,0.14036430,0.11129315,0.35867935
5,0.26398189,0.19615698,0.13317920,0.10921764,0.32344898
6,0.24400872,0.18768802,0.12795137,0.10671381,0.29899610
7,0.22799400,0.18079978,0.12371937,0.10494368,0.27958133
8,0.21477743,0.17457290,0.11998845,0.10283263,0.26324758
9,0.20323910,0.16955753,0.11678447,0.10130894,0.24928709
10,0.19260183,0.16532404,0.11372959,0.09965084,0.23642959
11,0.18416782,0.16124776,0.11118769,0.09823819,0.22591782
12,0.17573161,0.15724667,0.10866449,0.09673538,0.21561456
13,0.16907819,0.15339563,0.10661307,0.09546115,0.20736801
14,0.16292274,0.14970782,0.10470433,0.09426710,0.19988410
15,0.15775086,0.14737079,0.10302459,0.09326137,0.19342826
16,0.15270719,0.14487453,0.10139166,0.09252672,0.18727473
17,0.14836816,0.14149526,0.10003655,0.09148755,0.18213683
18,0.14414051,0.13957885,0.09855536,0.09064019,0.17681987
19,0.14068654,0.13936868,0.09726619,0.09015351,0.17225873
20,0.13722364,0.13644251,0.09607083,0.08954585,0.16803497
21,0.13439800,0.13554199,0.09517696,0.08899330,0.16459814
22,0.13120756,0.13570222,0.09394532,0.08908739,0.16047343
23,0.12887498,0.13297669,0.09309545,0.08805976,0.15758171
24,0.12606676,0.13060041,0.09220496,0.08730219,0.15426238
25,0.12400642,0.13112632,0.09139047,0.08716088,0.15170474
26,0.12183028,0.12955500,0.09057832,0.08691162,0.14898938
27,0.11975439,0.13026493,0.08979082,0.08729411,0.14639646
28,0.11778639,0.12974524,0.08900042,0.08681257,0.14386729
29,0.11646754,0.12822257,0.08857048,0.08692589,0.14231617
30,0.11460473,0.12828837,0.08778894,0.08655079,0.13992214
31,0.11309981,0.12482604,0.08720234,0.08558870,0.13806434
32,0.11197997,0.12484672,0.08681424,0.08556581,0.13673768
33,0.11035235,0.12451628,0.08615354,0.08529121,0.13467316
34,0.10901221,0.12432827,0.08565047,0.08574046,0.13309871
35,0.10795305,0.12731099,0.08526344,0.08627722,0.13174915
36,0.10674896,0.12329834,0.08479997,0.08586028,0.13037278
37,0.10552366,0.12339500,0.08434784,0.08527045,0.12884155
38,0.10433798,0.12486242,0.08385425,0.08553075,0.12739999
39,0.10351559,0.12410566,0.08357441,0.08531047,0.12644404
40,0.10239053,0.12674458,0.08306105,0.08547892,0.12491706
41,0.10169869,0.12315915,0.08278721,0.08533235,0.12408045
42,0.10084415,0.12325647,0.08243599,0.08538337,0.12302651
43,0.09957387,0.12596277,0.08193577,0.08573197,0.12148753
44,0.09900921,0.12339449,0.08173471,0.08535298,0.12086345
45,0.09799333,0.12151316,0.08124907,0.08494851,0.11944389
46,0.09712418,0.12169950,0.08092264,0.08410780,0.11849543
47,0.09674508,0.12196597,0.08083236,0.08482511,0.11808234
48,0.09597973,0.12385927,0.08045169,0.08508067,0.11703771
49,0.09557959,0.12352842,0.08024349,0.08486165,0.11653934
50,0.09482444,0.12085300,0.08000968,0.08450633,0.11558730
51,0.09400546,0.12228348,0.07966526,0.08465858,0.11466912
