epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.04018357,0.49028163,0.26840628,0.17478547,1.28477064
2,0.47268624,0.31812054,0.17745291,0.14270489,0.57169975
3,0.36929222,0.26721116,0.15737602,0.13032184,0.44964552
4,0.31794787,0.24203556,0.14570379,0.12327457,0.38668922
5,0.28408771,0.22581229,0.13749290,0.11838995,0.34528592
6,0.25881802,0.21474437,0.13092492,0.11508638,0.31445227
7,0.23905690,0.20659781,0.12551595,0.11244496,0.29008844
8,0.22300965,0.20042171,0.12109447,0.11049616,0.27050109
9,0.20987795,0.19463181,0.11736036,0.10870108,0.25443406
10,0.19937320,0.18965059,0.11436385,0.10716317,0.24173156
11,0.19000230,0.18680071,0.11165281,0.10617509,0.23043645
12,0.18130591,0.18216038,0.10902333,0.10473692,0.21977825
13,0.17367256,0.17903315,0.10675368,0.10362032,0.21081520
14,0.16656154,0.17600677,0.10460602,0.10266284,0.20220247
15,0.16046872,0.17388213,0.10270138,0.10178833,0.19485863
16,0.15461541,0.17070759,0.10081769,0.10114588,0.18767329
17,0.14916594,0.16807673,0.09907372,0.10016511,0.18119898
18,0.14407907,0.16558400,0.09740027,0.09948489,0.17504279
19,0.13962183,0.16399108,0.09597702,0.09892163,0.16979815
20,0.13543635,0.16143439,0.09457577,0.09825643,0.16477493
21,0.13158749,0.15947315,0.09321931,0.09736981,0.16013652
22,0.12795175,0.15792079,0.09202858,0.09714023,0.15581146
23,0.12453820,0.15653560,0.09079107,0.09675003,0.15164153
24,0.12157044,0.15374135,0.08972865,0.09624679,0.14797394
25,0.11875531,0.15216289,0.08877273,0.09574450,0.14476978
26,0.11602017,0.15135769,0.08772189,0.09524197,0.14135053
27,0.11396738,0.14921824,0.08694454,0.09452758,0.13886001
28,0.11152759,0.14823528,0.08610152,0.09444148,0.13599565
29,0.10916099,0.14768478,0.08520732,0.09428661,0.13306442
30,0.10726976,0.14775245,0.08450668,0.09389515,0.13084741
31,0.10512036,0.14685491,0.08361905,0.09431333,0.12805794
32,0.10328245,0.14513741,0.08286901,0.09358806,0.12578184
33,0.10191811,0.14723973,0.08236180,0.09363223,0.12417377
34,0.10044611,0.14409043,0.08175484,0.09319797,0.12232681
35,0.09897979,0.14409018,0.08111638,0.09286896,0.12046246
36,0.09742647,0.14454748,0.08050401,0.09282967,0.11858605
37,0.09615019,0.14227670,0.08001493,0.09244243,0.11709860
38,0.09492321,0.14153888,0.07944384,0.09224612,0.11546621
39,0.09384796,0.14203191,0.07903171,0.09224486,0.11420951
40,0.09253711,0.14102714,0.07849248,0.09172957,0.11261770
41,0.09169433,0.14017823,0.07804572,0.09173874,0.11141029
42,0.09026823,0.13938716,0.07745690,0.09151206,0.10976240
43,0.08944155,0.13960615,0.07715656,0.09146952,0.10879965
44,0.08846243,0.13847470,0.07667229,0.09113021,0.10754748
45,0.08750584,0.13830152,0.07625933,0.09098854,0.10635179
46,0.08640175,0.13746593,0.07579595,0.09093995,0.10495433
47,0.08547419,0.13749380,0.07535672,0.09048039,0.10379630
48,0.08457820,0.13634895,0.07495015,0.09047183,0.10265405
49,0.08360928,0.13802125,0.07452755,0.09104734,0.10151594
50,0.08278557,0.13679297,0.07413743,0.09057646,0.10044842
51,0.08210472,0.13667267,0.07385813,0.09012878,0.09959804
52,0.08136408,0.13536200,0.07350549,0.08997344,0.09875830
53,0.08049641,0.13680372,0.07311273,0.09007185,0.09759651
54,0.07993628,0.13621756,0.07281189,0.09022939,0.09683885
55,0.07887636,0.13319615,0.07239573,0.08959999,0.09568293
56,0.07799747,0.13446917,0.07202154,0.08939868,0.09456965
57,0.07730506,0.13452677,0.07169949,0.08962406,0.09379629
58,0.07676751,0.13397812,0.07140614,0.08962700,0.09304873
59,0.07608487,0.13579654,0.07110710,0.08986451,0.09216381
60,0.07542581,0.13449124,0.07080373,0.08920162,0.09138530
61,0.07454707,0.13470837,0.07040140,0.08943452,0.09036438
62,0.07380221,0.13768115,0.07003242,0.08987271,0.08940568
63,0.07311170,0.13674951,0.06971543,0.08946607,0.08859516
64,0.07241910,0.13443609,0.06940806,0.08924031,0.08775566
65,0.07218000,0.13659371,0.06928026,0.08954532,0.08741310
66,0.07121120,0.13617890,0.06884596,0.08896987,0.08627790
67,0.07074536,0.13561437,0.06858873,0.08930960,0.08565714
68,0.07014115,0.13426869,0.06833427,0.08897706,0.08495593
69,0.06964797,0.13494783,0.06806915,0.08883382,0.08431839
70,0.06908320,0.13342525,0.06779602,0.08843215,0.08364709
71,0.06886112,0.13366073,0.06766365,0.08837123,0.08327853
72,0.06819644,0.13535955,0.06735651,0.08888009,0.08249741
73,0.06756840,0.13291470,0.06703978,0.08812814,0.08176179
74,0.06728214,0.13423199,0.06689562,0.08843595,0.08136048
75,0.06654552,0.13263437,0.06650108,0.08792967,0.08043667
76,0.06632232,0.13473567,0.06639946,0.08827755,0.08016524
77,0.06581709,0.13316872,0.06614213,0.08783978,0.07955396
78,0.06553146,0.13430797,0.06598676,0.08823817,0.07916972
79,0.06494300,0.13326541,0.06574602,0.08801647,0.07847239
80,0.06447684,0.13469895,0.06546938,0.08776452,0.07787588
81,0.06428659,0.13477350,0.06535254,0.08813895,0.07765044
82,0.06393988,0.13311150,0.06524755,0.08793559,0.07727385
83,0.06359004,0.13244790,0.06501635,0.08762200,0.07672893
84,0.06312966,0.13365700,0.06479017,0.08757025,0.07622968
85,0.06290294,0.13223397,0.06466622,0.08730941,0.07589967
86,0.06250062,0.13281594,0.06443433,0.08706735,0.07540360
87,0.06218641,0.13257857,0.06429445,0.08751605,0.07504582
88,0.06197696,0.13148863,0.06420809,0.08699836,0.07480990
89,0.06170480,0.13124299,0.06405021,0.08691086,0.07446373
90,0.06129797,0.13224525,0.06379810,0.08701543,0.07392248
91,0.06110749,0.13156786,0.06369748,0.08712339,0.07363403
92,0.06083716,0.13135589,0.06359361,0.08715524,0.07339049
93,0.06068320,0.13220827,0.06349536,0.08711616,0.07320472
94,0.06021266,0.13241981,0.06327665,0.08678360,0.07261673
95,0.06013880,0.13088435,0.06324942,0.08682850,0.07257102
96,0.05975530,0.13141735,0.06298914,0.08645557,0.07199674
97,0.05959423,0.13267088,0.06282916,0.08731596,0.07174402
98,0.05944349,0.13451263,0.06280997,0.08757497,0.07165035
99,0.05933237,0.13274491,0.06277822,0.08718902,0.07152427
100,0.05907613,0.13317771,0.06263575,0.08717282,0.07115518
101,0.05875757,0.13276905,0.06244414,0.08698082,0.07081052
102,0.05851523,0.13236498,0.06232986,0.08664721,0.07052950
103,0.05834313,0.13233531,0.06224711,0.08674909,0.07030753
104,0.05820420,0.13123412,0.06216972,0.08663574,0.07014376
105,0.05813856,0.13265700,0.06213490,0.08701260,0.07007840
106,0.05760250,0.13272262,0.06181220,0.08733131,0.06932167
107,0.05781061,0.13214441,0.06192929,0.08656944,0.06962774
108,0.05756352,0.13034792,0.06177824,0.08666534,0.06930241
109,0.05725113,0.13163317,0.06167914,0.08671175,0.06899644
110,0.05717070,0.13300481,0.06156209,0.08742446,0.06876567
111,0.05693417,0.13261163,0.06144769,0.08707736,0.06853867
112,0.05685013,0.13241894,0.06139814,0.08686316,0.06841517
113,0.05667046,0.13066873,0.06134260,0.08682106,0.06823719
114,0.05646306,0.13360294,0.06118581,0.08729800,0.06797161
115,0.05635436,0.13343057,0.06114724,0.08733973,0.06784257
116,0.05616342,0.13286165,0.06101500,0.08710690,0.06756111
117,0.05616897,0.13276342,0.06100672,0.08713477,0.06757686
118,0.05595057,0.13305209,0.06093307,0.08694906,0.06735802
119,0.05556465,0.13445034,0.06070277,0.08750065,0.06688793
120,0.05574650,0.13291132,0.06079974,0.08723453,0.06703533
121,0.05542003,0.13259029,0.06055182,0.08690816,0.06660912
122,0.05539070,0.13467295,0.06061841,0.08720691,0.06664768
123,0.05517526,0.13190574,0.06046812,0.08666603,0.06632762
124,0.05529512,0.13112345,0.06056269,0.08646664,0.06653564
125,0.05492537,0.13277961,0.06038598,0.08694171,0.06609580
126,0.05485693,0.13078356,0.06030152,0.08661259,0.06598092
127,0.05475723,0.13505333,0.06024986,0.08729784,0.06584900
128,0.05463947,0.13240577,0.06016355,0.08669525,0.06565316
129,0.05447679,0.13262285,0.06008941,0.08697867,0.06547327
130,0.05421674,0.13408161,0.05992858,0.08710651,0.06514438
131,0.05445264,0.13158011,0.06009649,0.08705714,0.06548927
132,0.05403852,0.13189741,0.05985445,0.08683306,0.06497993
133,0.05386249,0.13164142,0.05969214,0.08687421,0.06464351
134,0.05397921,0.13075088,0.05980138,0.08676034,0.06484313
135,0.05362655,0.13402294,0.05961362,0.08718447,0.06443230
136,0.05354659,0.13200671,0.05953018,0.08687901,0.06429527
137,0.05357777,0.13197598,0.05957328,0.08674993,0.06436141
138,0.05349846,0.13157275,0.05954642,0.08694200,0.06426461
139,0.05340138,0.13201401,0.05946134,0.08709040,0.06411590
140,0.05327558,0.13126075,0.05940751,0.08617884,0.06403316
141,0.05313407,0.13239791,0.05932059,0.08637056,0.06378781
142,0.05291861,0.13107022,0.05919192,0.08704560,0.06353162
143,0.05295945,0.13140163,0.05920894,0.08661304,0.06360985
144,0.05295757,0.13150295,0.05921488,0.08665356,0.06357578
145,0.05268820,0.13172090,0.05906373,0.08651214,0.06327393
146,0.05284529,0.13211589,0.05914370,0.08710389,0.06342083
147,0.05270784,0.13239956,0.05908783,0.08713145,0.06331514
148,0.05243536,0.13287285,0.05889944,0.08714536,0.06293743
149,0.05254255,0.13165692,0.05895321,0.08666785,0.06302109
150,0.05246076,0.13175122,0.05890796,0.08673086,0.06298808
151,0.05240487,0.13350074,0.05886229,0.08688624,0.06288939
152,0.05224828,0.13184218,0.05883566,0.08640676,0.06276397
153,0.05208692,0.13251967,0.05869259,0.08687765,0.06251794
154,0.05191304,0.13228819,0.05861431,0.08704503,0.06230491
155,0.05188705,0.13326083,0.05858296,0.08696736,0.06225640
156,0.05167593,0.13133961,0.05846657,0.08654391,0.06201572
157,0.05168346,0.13224157,0.05849236,0.08649861,0.06203192
158,0.05171276,0.13325535,0.05849506,0.08755012,0.06204259
159,0.05142182,0.13302435,0.05837625,0.08711074,0.06177205
160,0.05145535,0.13233314,0.05835133,0.08688316,0.06170476
161,0.05136799,0.13437030,0.05825918,0.08750850,0.06157002
162,0.05124033,0.13359965,0.05826580,0.08700119,0.06151032
163,0.05129765,0.13252038,0.05820356,0.08694263,0.06146504
164,0.05102623,0.13251328,0.05807332,0.08650707,0.06117285
165,0.05121170,0.13267531,0.05814529,0.08661814,0.06139579
166,0.05092017,0.13304321,0.05802098,0.08696892,0.06106745
167,0.05099153,0.13087345,0.05808627,0.08661987,0.06118275
168,0.05088787,0.13331106,0.05802963,0.08694674,0.06107412
169,0.05085868,0.13269418,0.05795942,0.08691954,0.06097954
170,0.05080575,0.13140815,0.05798488,0.08672005,0.06093241
171,0.05073167,0.13248292,0.05793108,0.08672342,0.06086604
172,0.05062747,0.13053156,0.05784073,0.08631218,0.06068887
173,0.05050076,0.13306006,0.05773427,0.08690390,0.06050715
174,0.05045574,0.13321104,0.05773013,0.08697084,0.06047609
175,0.05046361,0.13220443,0.05776524,0.08660636,0.06049774
176,0.05039221,0.13126608,0.05770444,0.08684936,0.06042417
177,0.05025267,0.13314712,0.05765495,0.08695100,0.06027333
178,0.05021864,0.13264296,0.05753344,0.08670671,0.06007730
179,0.05031378,0.13237048,0.05768444,0.08683931,0.06035514
180,0.05016401,0.13141713,0.05756555,0.08641149,0.06012633
181,0.04995798,0.13364086,0.05747248,0.08719182,0.05988711
182,0.04996527,0.13251497,0.05740220,0.08686339,0.05983394
183,0.05002520,0.13327933,0.05749019,0.08682713,0.05992887
184,0.04999165,0.13083114,0.05744448,0.08680592,0.05988334
185,0.04997266,0.13379895,0.05746384,0.08744636,0.05988716
186,0.04982011,0.13298487,0.05736007,0.08730664,0.05971542
187,0.04974711,0.13174907,0.05728502,0.08662556,0.05957061
188,0.04959693,0.13245524,0.05724773,0.08679215,0.05943844
189,0.04968822,0.13220818,0.05728321,0.08708909,0.05954108
190,0.04944822,0.13192142,0.05715300,0.08669389,0.05922724
