epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.01877646,0.28279882,0.27015640,0.13141272,1.28153117
2,0.50586938,0.23932626,0.18711706,0.12020494,0.62526682
3,0.36295856,0.22471476,0.15733624,0.11623514,0.44688377
4,0.30505968,0.21502505,0.14362175,0.11378575,0.37502363
5,0.27323118,0.20712347,0.13553903,0.11165015,0.33518356
6,0.25192515,0.20168826,0.12981777,0.11022852,0.30875412
7,0.23517986,0.19480263,0.12531412,0.10861623,0.28823668
8,0.22289936,0.19038400,0.12196356,0.10765396,0.27331160
9,0.21188989,0.18534448,0.11891131,0.10613375,0.26001409
10,0.20285974,0.18008028,0.11639472,0.10477893,0.24894024
11,0.19419620,0.17620391,0.11404771,0.10388865,0.23863699
12,0.18624783,0.16980381,0.11179562,0.10223462,0.22920108
13,0.17965660,0.16459491,0.10995901,0.10070970,0.22128944
14,0.17429212,0.16142384,0.10829926,0.09970109,0.21464248
15,0.16935330,0.16118461,0.10680935,0.09909389,0.20855741
16,0.16534194,0.15791096,0.10558131,0.09816302,0.20357473
17,0.16092321,0.15588585,0.10414382,0.09775109,0.19791618
18,0.15784211,0.15399323,0.10313250,0.09703385,0.19412551
19,0.15484217,0.15018900,0.10206627,0.09596015,0.19017746
20,0.15182663,0.14943419,0.10104063,0.09554429,0.18649397
21,0.14919171,0.14789251,0.10012386,0.09547498,0.18298996
22,0.14703607,0.14948910,0.09933783,0.09540762,0.18028590
23,0.14430116,0.14571004,0.09841712,0.09416029,0.17677589
24,0.14213558,0.14566098,0.09762854,0.09403311,0.17402485
25,0.14015649,0.14310566,0.09691043,0.09334368,0.17143923
26,0.13797651,0.14350100,0.09625931,0.09350758,0.16898499
27,0.13655888,0.14103202,0.09567902,0.09295308,0.16703148
28,0.13499859,0.13877510,0.09509591,0.09184663,0.16499794
29,0.13312254,0.14008356,0.09438857,0.09202525,0.16258786
30,0.13147652,0.13995979,0.09389960,0.09214547,0.16073186
31,0.13047336,0.13813343,0.09347253,0.09161139,0.15932213
32,0.12937139,0.13808059,0.09305785,0.09137900,0.15786769
33,0.12802128,0.13896562,0.09256829,0.09115598,0.15617450
34,0.12697738,0.13573606,0.09224658,0.09015201,0.15507258
35,0.12580786,0.13600148,0.09176024,0.09060365,0.15350797
36,0.12464316,0.13389243,0.09134217,0.09017459,0.15206902
37,0.12392016,0.13528219,0.09109342,0.09018939,0.15120347
38,0.12273076,0.13261747,0.09071452,0.08997937,0.14991833
39,0.12183091,0.13257510,0.09038482,0.08959031,0.14873342
40,0.12123994,0.13282230,0.09013316,0.08904340,0.14795034
41,0.12010592,0.13108734,0.08970966,0.08898842,0.14651959
42,0.11947919,0.13277229,0.08946353,0.08888847,0.14573742
43,0.11894449,0.13206680,0.08926562,0.08934578,0.14505107
44,0.11816987,0.13179540,0.08894870,0.08893390,0.14411889
45,0.11727241,0.13091275,0.08861248,0.08885364,0.14299808
46,0.11671759,0.12869156,0.08847272,0.08871700,0.14239038
47,0.11628236,0.12924911,0.08826424,0.08830730,0.14180406
48,0.11556740,0.12971846,0.08804277,0.08851037,0.14103763
49,0.11522330,0.13036057,0.08789013,0.08816372,0.14053703
