epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.30280312,0.32097360,0.30282732,0.14133871,1.61581397
2,0.68645792,0.26427809,0.21738027,0.12701284,0.84181836
3,0.48997055,0.24598672,0.18260644,0.12228853,0.59945617
4,0.39770191,0.23520393,0.16405893,0.11911162,0.48703204
5,0.34861668,0.22577338,0.15339326,0.11670044,0.42723825
6,0.31587192,0.21880953,0.14584038,0.11500849,0.38696436
7,0.29406705,0.21240316,0.14052456,0.11331363,0.36022041
8,0.27779216,0.20747188,0.13665302,0.11225037,0.34050738
9,0.26485615,0.20263814,0.13343703,0.11124843,0.32490608
10,0.25407033,0.19862601,0.13066681,0.11026682,0.31163973
11,0.24508811,0.19498273,0.12831629,0.10951673,0.30061993
12,0.23797579,0.19120217,0.12653364,0.10843347,0.29230743
13,0.23151135,0.18702973,0.12479141,0.10734988,0.28430369
14,0.22543362,0.18348194,0.12314639,0.10648366,0.27677918
15,0.21986822,0.17955938,0.12167070,0.10529036,0.27000718
16,0.21416453,0.17522010,0.12020592,0.10425009,0.26323986
17,0.20948328,0.17201028,0.11891943,0.10322935,0.25756897
18,0.20547180,0.16909557,0.11778754,0.10234620,0.25260865
19,0.20114818,0.16715522,0.11665361,0.10189022,0.24751698
20,0.19797199,0.16397326,0.11573287,0.10105882,0.24355836
21,0.19550202,0.16354321,0.11497447,0.10066305,0.24048241
22,0.19283635,0.16133412,0.11417132,0.10035753,0.23701112
23,0.18963195,0.16029609,0.11320640,0.09986921,0.23304220
24,0.18747173,0.15778780,0.11253952,0.09887027,0.23029247
25,0.18575471,0.15585984,0.11200442,0.09827684,0.22823948
26,0.18360587,0.15636894,0.11129880,0.09793489,0.22535978
27,0.18186530,0.15394659,0.11069118,0.09722425,0.22303093
28,0.17976980,0.15337828,0.11005598,0.09689153,0.22041931
29,0.17821891,0.15078875,0.10960034,0.09611351,0.21854106
30,0.17711286,0.15191123,0.10921329,0.09618723,0.21706808
31,0.17505455,0.15159113,0.10854262,0.09636001,0.21444454
32,0.17411234,0.14762876,0.10819888,0.09527261,0.21317322
33,0.17280940,0.14957162,0.10775997,0.09538263,0.21147782
34,0.17184590,0.14803210,0.10741149,0.09538396,0.21012420
35,0.17112747,0.14671704,0.10725828,0.09450094,0.20943019
36,0.16976117,0.14807987,0.10675603,0.09491911,0.20753096
37,0.16864529,0.14500454,0.10641266,0.09405514,0.20612385
38,0.16775391,0.14326354,0.10615768,0.09365334,0.20501272
39,0.16681862,0.14408765,0.10580468,0.09409308,0.20382444
40,0.16596428,0.14445029,0.10557491,0.09364401,0.20273081
41,0.16536089,0.14149012,0.10539314,0.09271607,0.20209751
42,0.16463908,0.14206798,0.10505289,0.09324539,0.20095921
43,0.16389251,0.14124168,0.10495022,0.09282342,0.20030542
44,0.16319664,0.13972736,0.10467959,0.09230358,0.19930410
45,0.16303788,0.13901477,0.10456099,0.09235631,0.19901147
