epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.76808320,0.60064380,0.36476719,0.20088311,2.26932884
2,1.16345181,0.44563893,0.29177386,0.16955946,1.47830787
3,0.90417050,0.37481282,0.25547336,0.15371080,1.14029609
4,0.74956071,0.33483045,0.23145132,0.14435599,0.94073174
5,0.64655268,0.30951126,0.21400766,0.13847954,0.80820985
6,0.57257059,0.29226640,0.20088294,0.13427583,0.71473449
7,0.51697839,0.27830076,0.19041547,0.13084198,0.64454070
8,0.47436436,0.26858764,0.18211263,0.12840054,0.59103286
9,0.44021230,0.25996163,0.17509159,0.12633674,0.54735444
10,0.41106195,0.25128626,0.16896564,0.12420032,0.51083839
11,0.38762564,0.24510764,0.16387002,0.12265902,0.48126360
12,0.36843401,0.23879075,0.15965574,0.12120028,0.45737333
13,0.35090316,0.23375370,0.15552678,0.11995655,0.43501484
14,0.33633025,0.22826072,0.15220757,0.11861917,0.41702681
15,0.32381027,0.22377903,0.14917305,0.11763224,0.40098733
16,0.31182727,0.21922686,0.14620474,0.11655083,0.38568403
17,0.30032903,0.21463133,0.14347757,0.11538422,0.37146727
18,0.29200392,0.21162402,0.14114352,0.11466111,0.36037465
19,0.28393825,0.20742228,0.13926577,0.11351539,0.35057648
20,0.27555925,0.20321586,0.13713294,0.11243403,0.34045696
21,0.26783429,0.20052930,0.13518473,0.11178451,0.33072782
22,0.26169729,0.19747400,0.13352493,0.11096553,0.32286223
23,0.25619066,0.19372983,0.13205724,0.10994210,0.31611361
24,0.24994159,0.19063428,0.13035689,0.10884789,0.30799331
25,0.24537736,0.18712589,0.12921761,0.10784486,0.30257906
26,0.24059306,0.18468828,0.12794926,0.10726643,0.29675578
27,0.23561988,0.18180568,0.12658221,0.10636929,0.29065841
28,0.23129617,0.17938349,0.12549897,0.10541657,0.28532256
29,0.22708844,0.17690179,0.12425963,0.10436176,0.27984790
30,0.22360703,0.17465895,0.12330006,0.10382237,0.27553745
31,0.21979109,0.17223575,0.12230215,0.10287621,0.27093791
32,0.21632540,0.16895624,0.12120354,0.10182717,0.26626917
33,0.21348143,0.16822021,0.12048965,0.10129830,0.26296606
34,0.21066809,0.16650486,0.11968067,0.10090125,0.25950665
35,0.20749606,0.16401101,0.11882523,0.10010684,0.25565822
36,0.20487365,0.16232929,0.11794626,0.09938513,0.25226265
37,0.20218726,0.16080424,0.11716783,0.09881374,0.24869728
38,0.19990515,0.16037201,0.11644717,0.09850164,0.24581965
39,0.19737912,0.15857509,0.11583116,0.09811935,0.24299278
40,0.19589941,0.15688432,0.11542343,0.09765476,0.24111047
41,0.19406430,0.15628254,0.11476187,0.09718388,0.23850323
42,0.19142507,0.15511609,0.11412800,0.09660269,0.23560919
43,0.19026999,0.15419204,0.11370455,0.09645339,0.23397176
44,0.18818192,0.15298179,0.11313806,0.09597601,0.23155155
45,0.18650951,0.15286646,0.11260826,0.09565784,0.22938840
46,0.18541721,0.15322152,0.11221583,0.09593014,0.22791509
47,0.18326268,0.15052909,0.11155160,0.09490940,0.22522877
48,0.18226586,0.14977620,0.11129638,0.09477714,0.22422067
49,0.18096494,0.14919536,0.11081919,0.09459455,0.22224057
50,0.17928414,0.14778615,0.11023933,0.09427352,0.22016057
51,0.17750702,0.14676849,0.10975129,0.09392591,0.21808056
52,0.17705363,0.14558527,0.10966181,0.09352017,0.21756270
53,0.17549359,0.14544712,0.10917079,0.09337773,0.21558760
54,0.17476206,0.14433351,0.10886611,0.09311088,0.21457116
55,0.17310639,0.14434802,0.10826418,0.09287854,0.21221415
56,0.17249859,0.14392429,0.10810282,0.09278953,0.21163781
57,0.17125171,0.14289849,0.10774734,0.09245724,0.21019232
58,0.16986114,0.14195260,0.10733572,0.09222838,0.20844969
59,0.16920659,0.14164896,0.10708698,0.09215600,0.20760042
60,0.16824976,0.14044685,0.10677725,0.09166819,0.20649992
61,0.16715266,0.13995361,0.10629938,0.09143444,0.20489754
62,0.16646747,0.13936818,0.10615237,0.09153824,0.20420326
63,0.16529009,0.14053523,0.10576653,0.09149308,0.20270810
64,0.16447323,0.13880168,0.10545891,0.09129471,0.20149940
65,0.16350697,0.13989182,0.10521833,0.09161278,0.20035537
66,0.16249478,0.13861533,0.10490159,0.09121410,0.19935051
67,0.16182646,0.13812718,0.10467226,0.09075020,0.19849496
68,0.16142990,0.13786199,0.10447476,0.09068116,0.19759053
69,0.16058898,0.13715796,0.10420616,0.09049905,0.19672689
70,0.16081102,0.13695179,0.10417795,0.09031794,0.19684236
71,0.15880807,0.13583731,0.10363224,0.09036522,0.19458843
72,0.15831249,0.13665171,0.10344207,0.09044399,0.19386273
73,0.15816948,0.13725030,0.10339647,0.09041431,0.19367713
74,0.15742222,0.13712275,0.10310561,0.09047146,0.19273157
75,0.15635165,0.13549213,0.10278136,0.08963711,0.19151356
76,0.15650247,0.13349664,0.10281014,0.09004162,0.19171857
77,0.15611362,0.13437947,0.10265253,0.09010387,0.19108311
78,0.15493321,0.13449115,0.10233411,0.08998022,0.18979757
79,0.15413036,0.13487831,0.10208814,0.09023279,0.18884369
80,0.15394554,0.13459073,0.10198250,0.08966686,0.18856278
81,0.15332041,0.13282304,0.10178131,0.08946283,0.18776333
82,0.15249104,0.13375736,0.10148122,0.08927101,0.18668140
83,0.15227734,0.13450129,0.10140076,0.08962580,0.18636914
84,0.15237105,0.13454142,0.10137140,0.08980653,0.18638645
85,0.15130041,0.13338067,0.10108690,0.08936163,0.18513133
86,0.15051038,0.13229950,0.10076167,0.08913171,0.18417119
87,0.15044067,0.13207969,0.10081364,0.08925709,0.18426437
88,0.14993990,0.13178170,0.10058864,0.08912862,0.18341169
89,0.14959201,0.13079001,0.10056272,0.08900977,0.18320011
90,0.14945095,0.13000415,0.10032470,0.08883941,0.18254130
91,0.14893618,0.13241831,0.10029558,0.08891603,0.18213158
92,0.14829528,0.13138511,0.10006459,0.08918846,0.18143185
93,0.14820892,0.13117559,0.10008026,0.08868194,0.18135399
94,0.14763783,0.13219503,0.09976810,0.08908508,0.18053471
95,0.14754232,0.13047274,0.09978260,0.08884121,0.18049156
96,0.14693547,0.12819747,0.09960484,0.08830020,0.17979214
