epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,1.67158750,0.54125787,0.35372000,0.18964606,2.13833836
2,1.05929541,0.40889419,0.27762388,0.16100431,1.34220040
3,0.81430927,0.34818003,0.24175792,0.14762624,1.02429658
4,0.67329295,0.31333569,0.21848698,0.13955301,0.84234136
5,0.57799953,0.29132160,0.20171784,0.13395240,0.72067186
6,0.51234117,0.27653197,0.18948569,0.13029790,0.63835678
7,0.46293224,0.26438489,0.17976635,0.12730896,0.57601473
8,0.42670483,0.25447008,0.17243508,0.12476863,0.53126162
9,0.39580650,0.24614095,0.16568969,0.12292198,0.49167308
10,0.37164846,0.23847344,0.16035533,0.12109617,0.46105882
11,0.35196073,0.23200354,0.15573655,0.11953942,0.43622633
12,0.33358337,0.22719132,0.15155545,0.11836139,0.41342188
13,0.31899699,0.22112776,0.14795692,0.11684863,0.39459856
14,0.30662184,0.21669005,0.14487013,0.11584101,0.37901530
15,0.29479557,0.21204629,0.14207380,0.11468905,0.36453675
16,0.28529793,0.20752076,0.13960138,0.11359390,0.35236147
17,0.27566233,0.20353403,0.13708719,0.11248998,0.34009606
18,0.26725199,0.19908057,0.13494604,0.11130864,0.32987177
19,0.25942537,0.19614494,0.13289696,0.11054497,0.32010356
20,0.25271733,0.19198575,0.13110008,0.10945015,0.31152018
21,0.24620205,0.18849716,0.12942527,0.10836780,0.30369508
22,0.24119129,0.18482886,0.12805132,0.10716191,0.29722978
23,0.23605599,0.18189333,0.12675741,0.10631691,0.29134177
24,0.23020716,0.17939652,0.12509038,0.10537842,0.28363921
25,0.22622424,0.17627976,0.12401281,0.10435744,0.27883094
26,0.22203953,0.17270512,0.12279158,0.10331995,0.27351637
27,0.21761745,0.17016548,0.12165859,0.10247990,0.26815098
28,0.21443475,0.16760477,0.12084459,0.10127628,0.26439582
29,0.21152089,0.16611904,0.11988155,0.10079669,0.26043491
30,0.20735391,0.16413292,0.11873898,0.09988888,0.25534388
31,0.20464732,0.16225999,0.11785403,0.09941271,0.25173165
32,0.20206337,0.16132010,0.11725404,0.09884505,0.24871282
33,0.19948125,0.15932229,0.11646630,0.09835167,0.24543148
34,0.19721221,0.15748886,0.11575464,0.09762657,0.24255810
35,0.19453128,0.15675244,0.11501739,0.09719488,0.23936893
36,0.19253843,0.15595013,0.11441154,0.09698192,0.23695811
37,0.19030953,0.15428285,0.11376833,0.09652637,0.23408765
38,0.18940409,0.15350238,0.11346452,0.09610865,0.23302690
39,0.18652131,0.15214240,0.11256117,0.09564671,0.22934939
40,0.18497123,0.14957248,0.11207897,0.09490176,0.22741122
41,0.18331005,0.15073730,0.11163615,0.09511831,0.22546354
42,0.18152143,0.14983461,0.11108977,0.09476101,0.22324584
43,0.17982862,0.14933760,0.11060887,0.09440122,0.22126547
44,0.17894559,0.14704388,0.11025675,0.09378673,0.21995771
45,0.17713993,0.14633948,0.10975699,0.09352140,0.21798152
46,0.17603676,0.14479490,0.10935585,0.09313310,0.21634207
47,0.17484296,0.14528996,0.10889813,0.09310706,0.21462286
48,0.17338656,0.14406736,0.10850275,0.09276647,0.21316308
49,0.17217860,0.14222871,0.10812254,0.09221927,0.21160378
50,0.17072938,0.14268184,0.10762085,0.09215938,0.20977276
51,0.16932075,0.14153617,0.10713468,0.09168891,0.20782719
52,0.16871499,0.14164433,0.10691851,0.09168187,0.20701852
53,0.16768015,0.14085725,0.10649482,0.09141905,0.20546279
54,0.16626541,0.13947762,0.10614706,0.09116537,0.20402024
55,0.16596322,0.13906939,0.10608351,0.09115691,0.20375949
56,0.16478125,0.13877211,0.10561202,0.09082078,0.20205321
57,0.16408319,0.13938473,0.10532185,0.09100063,0.20103749
58,0.16292489,0.13898038,0.10502722,0.09078979,0.19990040
59,0.16193929,0.13784128,0.10471670,0.09078836,0.19858840
60,0.16151756,0.13668878,0.10451793,0.09050192,0.19807556
61,0.16036137,0.13781053,0.10420924,0.09037055,0.19669615
62,0.15948527,0.13568451,0.10387104,0.09002872,0.19545468
63,0.15863606,0.13447319,0.10362676,0.08994691,0.19447842
64,0.15812504,0.13588673,0.10347238,0.09002057,0.19380259
65,0.15768385,0.13503858,0.10320845,0.08978959,0.19309796
66,0.15683375,0.13595913,0.10304810,0.09008127,0.19232087
67,0.15643372,0.13427162,0.10290229,0.08950700,0.19172038
68,0.15523839,0.13316632,0.10245884,0.08937727,0.19025903
69,0.15482761,0.13376387,0.10227302,0.08960733,0.18957989
70,0.15458543,0.13337414,0.10220282,0.08940665,0.18927161
71,0.15369916,0.13314862,0.10190157,0.08957254,0.18815146
72,0.15281728,0.13186636,0.10164436,0.08953732,0.18722071
73,0.15220543,0.13201098,0.10138755,0.08947590,0.18625284
74,0.15178564,0.13210721,0.10124475,0.08907868,0.18584815
75,0.15117870,0.13235866,0.10105420,0.08914183,0.18511462
76,0.15089368,0.13180313,0.10103346,0.08909504,0.18482937
77,0.14999615,0.12994606,0.10068002,0.08887829,0.18363570
78,0.14943786,0.12915792,0.10052756,0.08840299,0.18299481
79,0.14916299,0.13059438,0.10041120,0.08902188,0.18263504
80,0.14840391,0.13125094,0.10014537,0.08894576,0.18167389
81,0.14809596,0.12948589,0.10007829,0.08849783,0.18139761
82,0.14778395,0.12938360,0.09991988,0.08885208,0.18082325
83,0.14699294,0.12905464,0.09964485,0.08827692,0.17986514
84,0.14700861,0.12951157,0.09960352,0.08844610,0.17984358
85,0.14607647,0.12866305,0.09928809,0.08814731,0.17866593
86,0.14595033,0.12886163,0.09927361,0.08822690,0.17847550
87,0.14559864,0.12904030,0.09918723,0.08865392,0.17829493
88,0.14535199,0.12770633,0.09909205,0.08794885,0.17797691
89,0.14496434,0.12780884,0.09888739,0.08821989,0.17714631
90,0.14427914,0.12808942,0.09871638,0.08824510,0.17653698
91,0.14379884,0.12778684,0.09855747,0.08846735,0.17601191
92,0.14380266,0.12663596,0.09853699,0.08788379,0.17591632
93,0.14333267,0.12715082,0.09836822,0.08815266,0.17520510
94,0.14275699,0.12734789,0.09820728,0.08813669,0.17465858
95,0.14268147,0.12710688,0.09816053,0.08792678,0.17462131
96,0.14239904,0.12589844,0.09809756,0.08797841,0.17424190
97,0.14196602,0.12769301,0.09789670,0.08816431,0.17367809
98,0.14171432,0.12564951,0.09786136,0.08779650,0.17334604
99,0.14166618,0.12638593,0.09790803,0.08792536,0.17340214
100,0.14115170,0.12636849,0.09766642,0.08806879,0.17267757
101,0.14103723,0.12523641,0.09759672,0.08741208,0.17249736
102,0.14062107,0.12519372,0.09750297,0.08756401,0.17208345
103,0.14032294,0.12615066,0.09729893,0.08755954,0.17152528
104,0.14007356,0.12530020,0.09731468,0.08759351,0.17149026
105,0.13997441,0.12512306,0.09726305,0.08757912,0.17116375
106,0.13977173,0.12573355,0.09717273,0.08740205,0.17083825
107,0.13876041,0.12434466,0.09689673,0.08720740,0.16982906
108,0.13895975,0.12673452,0.09690567,0.08777417,0.17003480
109,0.13839549,0.12483701,0.09668789,0.08758310,0.16920690
110,0.13872492,0.12408367,0.09682657,0.08702488,0.16970306
111,0.13846773,0.12723211,0.09674663,0.08765857,0.16943205
112,0.13802643,0.12399486,0.09665815,0.08702547,0.16898694
113,0.13775649,0.12636785,0.09652655,0.08758218,0.16846879
114,0.13789928,0.12441519,0.09654059,0.08733022,0.16873956
115,0.13756488,0.12553814,0.09643621,0.08765586,0.16827711
116,0.13717183,0.12419714,0.09630025,0.08722459,0.16775810
117,0.13675363,0.12371747,0.09621733,0.08671321,0.16737081
118,0.13659069,0.12345222,0.09615301,0.08684191,0.16732323
119,0.13672417,0.12302939,0.09613555,0.08677330,0.16725629
120,0.13625096,0.12453136,0.09597764,0.08736444,0.16666234
121,0.13614614,0.12293065,0.09592846,0.08680327,0.16644283
122,0.13588171,0.12427192,0.09580038,0.08703939,0.16598792
123,0.13581211,0.12203091,0.09586990,0.08658087,0.16613651
124,0.13554194,0.12312984,0.09573219,0.08682016,0.16576747
125,0.13487086,0.12328428,0.09552637,0.08641749,0.16494450
126,0.13488731,0.12277355,0.09556912,0.08692891,0.16513442
127,0.13472551,0.12288624,0.09550289,0.08662675,0.16487196
128,0.13474856,0.12367639,0.09541477,0.08685987,0.16470385
129,0.13443331,0.12279059,0.09540011,0.08691832,0.16450869
130,0.13451583,0.12516616,0.09536609,0.08689749,0.16447257
131,0.13392827,0.12182922,0.09516978,0.08664757,0.16383458
132,0.13423870,0.12212004,0.09531693,0.08660025,0.16420507
133,0.13375422,0.12365922,0.09517882,0.08721433,0.16373307
134,0.13358391,0.12239141,0.09508629,0.08648595,0.16336200
