epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.85485949,0.32806219,0.25041011,0.14443659,1.11714051
2,0.51355266,0.23276602,0.19068685,0.12078296,0.65971665
3,0.39203143,0.19680300,0.16544982,0.11036893,0.50396447
4,0.32483300,0.17661367,0.14991433,0.10354575,0.41936503
5,0.27919586,0.16565396,0.13866443,0.10006536,0.36341291
6,0.24918600,0.15749168,0.13057165,0.09705311,0.32642656
7,0.22587289,0.15267643,0.12408721,0.09488776,0.29839974
8,0.20734116,0.14728629,0.11844173,0.09354007,0.27558511
9,0.19349540,0.14434577,0.11429816,0.09216253,0.25941309
10,0.18191216,0.14119412,0.11068243,0.09145587,0.24584009
11,0.17265235,0.13874114,0.10773820,0.09032813,0.23532497
12,0.16414471,0.13508236,0.10500042,0.08895169,0.22565154
13,0.15887128,0.13419503,0.10317130,0.08875078,0.21982741
14,0.15264623,0.13224692,0.10101744,0.08799270,0.21293633
15,0.14780704,0.13021460,0.09929542,0.08730326,0.20738324
16,0.14342918,0.12918818,0.09787418,0.08700887,0.20338247
17,0.13952381,0.12656736,0.09638234,0.08569879,0.19913906
18,0.13612781,0.12617351,0.09513180,0.08602862,0.19571898
19,0.13314790,0.12500885,0.09401957,0.08533895,0.19251002
20,0.13001251,0.12407902,0.09284003,0.08502138,0.18944411
21,0.12725057,0.12418632,0.09182703,0.08509834,0.18675155
22,0.12516613,0.12181036,0.09097104,0.08383535,0.18478783
23,0.12274840,0.12205323,0.08999747,0.08405181,0.18234893
24,0.12069553,0.12126968,0.08919926,0.08405906,0.18063125
25,0.11860713,0.12131799,0.08837492,0.08399323,0.17872273
26,0.11696742,0.12059191,0.08768526,0.08366506,0.17719469
27,0.11505888,0.12116247,0.08689878,0.08389589,0.17547974
28,0.11360680,0.11955711,0.08632277,0.08336786,0.17436299
29,0.11181628,0.12001858,0.08562690,0.08351114,0.17289710
30,0.11063130,0.12043250,0.08508474,0.08344676,0.17203122
31,0.10896681,0.11970800,0.08443292,0.08344738,0.17065138
32,0.10756492,0.11879040,0.08383476,0.08313789,0.16949365
33,0.10643408,0.11826683,0.08345836,0.08274973,0.16890594
34,0.10531645,0.11826066,0.08292371,0.08272960,0.16799220
35,0.10432889,0.11834644,0.08247676,0.08277932,0.16738693
36,0.10333429,0.11732998,0.08214286,0.08248431,0.16693340
37,0.10200073,0.11835519,0.08154359,0.08321284,0.16588782
38,0.10128162,0.11761194,0.08124139,0.08252120,0.16544459
