epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.41638120,0.17501756,0.16907019,0.10350700,0.51633197
2,0.21375500,0.14895006,0.11969586,0.09438185,0.26750156
3,0.17428797,0.13948402,0.10757562,0.09079271,0.21981498
4,0.15271272,0.13348709,0.10057108,0.08848423,0.19516687
5,0.13885175,0.13115854,0.09578515,0.08752290,0.17983825
6,0.12829132,0.12858771,0.09202117,0.08663720,0.16836800
7,0.11986617,0.12736423,0.08887563,0.08587871,0.15960503
8,0.11248695,0.12477470,0.08607904,0.08517126,0.15218549
9,0.10681784,0.12451136,0.08383513,0.08512306,0.14674106
10,0.10154200,0.12322239,0.08170774,0.08474985,0.14177119
11,0.09706800,0.12232375,0.07991670,0.08432467,0.13787473
12,0.09328357,0.12263336,0.07832190,0.08388042,0.13467668
13,0.08977035,0.12050124,0.07677863,0.08335953,0.13174534
14,0.08665282,0.11943768,0.07544061,0.08277270,0.12938296
15,0.08395785,0.11898655,0.07422385,0.08268805,0.12741121
16,0.08178366,0.11881934,0.07324767,0.08233233,0.12611013
17,0.07939092,0.11800936,0.07221619,0.08186467,0.12461126
18,0.07730790,0.11767624,0.07113384,0.08169204,0.12324431
19,0.07544491,0.11700393,0.07028918,0.08176455,0.12225226
20,0.07387982,0.11597957,0.06952330,0.08145580,0.12161452
21,0.07224248,0.11544622,0.06870955,0.08144313,0.12072237
22,0.07098025,0.11522484,0.06811287,0.08085655,0.12038022
23,0.06992411,0.11492966,0.06755702,0.08074693,0.12017443
24,0.06875957,0.11352617,0.06696961,0.08032192,0.11987385
25,0.06777282,0.11406507,0.06642972,0.08047078,0.11961923
26,0.06685733,0.11346722,0.06599135,0.08041532,0.11957898
27,0.06598838,0.11316889,0.06552599,0.08025637,0.11953312
28,0.06525241,0.11264681,0.06510970,0.08004579,0.11955538
29,0.06470128,0.11223175,0.06477733,0.07968561,0.11968477
30,0.06386372,0.11336588,0.06432103,0.08045024,0.11956830
31,0.06337341,0.11263430,0.06401894,0.08021731,0.11979529
32,0.06308373,0.11200442,0.06382829,0.08019707,0.12022824
33,0.06266413,0.11435029,0.06356736,0.08103709,0.12047048
34,0.06230215,0.11267184,0.06336323,0.07992802,0.12077112
35,0.06196642,0.11319440,0.06313867,0.08025831,0.12114261
36,0.06179526,0.11360862,0.06298198,0.08026566,0.12150403
37,0.06164637,0.11366079,0.06288398,0.08050097,0.12201361
38,0.06159703,0.11387775,0.06277968,0.08033693,0.12254285
39,0.06145631,0.11298818,0.06271775,0.07993613,0.12301991
40,0.06149824,0.11339184,0.06265229,0.08038070,0.12362787
41,0.06157447,0.11414173,0.06265359,0.08065149,0.12419765
42,0.06137388,0.11310626,0.06245487,0.08034193,0.12448629
43,0.06160990,0.11527856,0.06256277,0.08071274,0.12529516
44,0.06175174,0.11489339,0.06258748,0.08101175,0.12591469
45,0.06178864,0.11532444,0.06258368,0.08034639,0.12643989
46,0.06206876,0.11555880,0.06266699,0.08105342,0.12722177
47,0.06219047,0.11537670,0.06270228,0.08077426,0.12774953
48,0.06228504,0.11613506,0.06272555,0.08091111,0.12832413
49,0.06270425,0.11661628,0.06285683,0.08108429,0.12910273
50,0.06287878,0.11638847,0.06290938,0.08116792,0.12975459
51,0.06315054,0.11692293,0.06298064,0.08118450,0.13038249
52,0.06337620,0.11798035,0.06306519,0.08145740,0.13099918
53,0.06375176,0.11906394,0.06320711,0.08168121,0.13172652
54,0.06400949,0.11832521,0.06332354,0.08154347,0.13239796
55,0.06428123,0.11917827,0.06341593,0.08154588,0.13305425
56,0.06459348,0.11880456,0.06354287,0.08167891,0.13367497
57,0.06498162,0.11844100,0.06369821,0.08167077,0.13444008
58,0.06538786,0.11829272,0.06385480,0.08154888,0.13507785
59,0.06560312,0.11936563,0.06392889,0.08167385,0.13565645
60,0.06609635,0.11946173,0.06412491,0.08200733,0.13640688
61,0.06642073,0.11927024,0.06424504,0.08164932,0.13706778
62,0.06676826,0.11958198,0.06441116,0.08203329,0.13768510
63,0.06722172,0.12032750,0.06458888,0.08185861,0.13843803
64,0.06760838,0.12018687,0.06473285,0.08187836,0.13906417
65,0.06806235,0.12083105,0.06492175,0.08220475,0.13976583
66,0.06836868,0.12077143,0.06506166,0.08226689,0.14032680
