epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.89680704,0.27360721,0.25151126,0.13059762,1.12908920
2,0.50350379,0.21048253,0.18658023,0.11322600,0.62194230
3,0.38308389,0.18422406,0.16209661,0.10509926,0.47115324
4,0.31312172,0.17038162,0.14598494,0.10046865,0.38452137
5,0.26693581,0.16297504,0.13425900,0.09779770,0.32750779
6,0.23541495,0.15679359,0.12582338,0.09584232,0.28891328
7,0.21309502,0.15209016,0.11935155,0.09434076,0.26151297
8,0.19615748,0.14721558,0.11435875,0.09275215,0.24117845
9,0.18355870,0.14409679,0.11046563,0.09171948,0.22571547
10,0.17334699,0.14032514,0.10728909,0.09046299,0.21350646
11,0.16509644,0.13829497,0.10470290,0.08956092,0.20365715
12,0.15765372,0.13449236,0.10230721,0.08866995,0.19480688
13,0.15137661,0.13236290,0.10023634,0.08775246,0.18728423
14,0.14593126,0.13062311,0.09838927,0.08722905,0.18076813
15,0.14107679,0.12787695,0.09675546,0.08633740,0.17500447
16,0.13660935,0.12557272,0.09516363,0.08576103,0.16947694
17,0.13269934,0.12447943,0.09388498,0.08536315,0.16497129
18,0.12880346,0.12219174,0.09240765,0.08473744,0.16015934
19,0.12533985,0.12025301,0.09117404,0.08419913,0.15601830
20,0.12190901,0.12114978,0.08993049,0.08428817,0.15190401
21,0.11888918,0.12055811,0.08883102,0.08424805,0.14824616
22,0.11598748,0.11937417,0.08776599,0.08385765,0.14482031
23,0.11322402,0.11836280,0.08671800,0.08332358,0.14149359
24,0.11063992,0.11905628,0.08573674,0.08358383,0.13833185
25,0.10832123,0.11775065,0.08486189,0.08361269,0.13556597
26,0.10601057,0.11695062,0.08398754,0.08316403,0.13281229
27,0.10393267,0.11740031,0.08319794,0.08318964,0.13041146
28,0.10217646,0.11589845,0.08250715,0.08305854,0.12836447
29,0.10049861,0.11602227,0.08177172,0.08275250,0.12629256
30,0.09904154,0.11594311,0.08123276,0.08256298,0.12462404
31,0.09758422,0.11553329,0.08062898,0.08282373,0.12287350
32,0.09593543,0.11440965,0.07993572,0.08245208,0.12094996
33,0.09481775,0.11412080,0.07952505,0.08183682,0.11977489
34,0.09370783,0.11398373,0.07906869,0.08200724,0.11850571
35,0.09254929,0.11225432,0.07857601,0.08133515,0.11715355
36,0.09114239,0.11330703,0.07803903,0.08134970,0.11562244
37,0.09042255,0.11278131,0.07767127,0.08182114,0.11475144
38,0.08928126,0.11297289,0.07721558,0.08159674,0.11346482
39,0.08831783,0.11103841,0.07681441,0.08120777,0.11242602
40,0.08741991,0.11191326,0.07639219,0.08087231,0.11137635
41,0.08669929,0.11151534,0.07610666,0.08111049,0.11063912
42,0.08547249,0.11235535,0.07554330,0.08111399,0.10923800
43,0.08495272,0.11221094,0.07534781,0.08111746,0.10873220
44,0.08397094,0.11104213,0.07488486,0.08100036,0.10759083
45,0.08314027,0.11114129,0.07452716,0.08054349,0.10671439
46,0.08280114,0.11091070,0.07434665,0.08085285,0.10637211
47,0.08187702,0.10891514,0.07395851,0.08033062,0.10532819
48,0.08094300,0.11167258,0.07353615,0.08045242,0.10436963
49,0.08061015,0.10972281,0.07342548,0.08016251,0.10409149
50,0.07989089,0.10947003,0.07309439,0.08028392,0.10331852
51,0.07897954,0.10958177,0.07272087,0.07992648,0.10241048
52,0.07857624,0.10990873,0.07242838,0.08075756,0.10179665
53,0.07784879,0.11101353,0.07216268,0.08051540,0.10113638
54,0.07715790,0.10951214,0.07179533,0.07993486,0.10034119
55,0.07688988,0.10910745,0.07161597,0.07995302,0.10009104
56,0.07631520,0.10809825,0.07141748,0.07995537,0.09955342
57,0.07577141,0.10879982,0.07114288,0.08001052,0.09897776
58,0.07520833,0.10729909,0.07087037,0.07939790,0.09839443
59,0.07460549,0.10679961,0.07060190,0.07920233,0.09781944
60,0.07422304,0.10838788,0.07043546,0.07978300,0.09748637
61,0.07361062,0.10730320,0.07016011,0.07918436,0.09689047
62,0.07322406,0.10787937,0.06996566,0.07931148,0.09655484
63,0.07253093,0.10613775,0.06961151,0.07903773,0.09578139
64,0.07246478,0.10836450,0.06955947,0.07959542,0.09576742
65,0.07165223,0.10550499,0.06915325,0.07903557,0.09485212
66,0.07138903,0.10637216,0.06909958,0.07958650,0.09478919
67,0.07123038,0.10670797,0.06893356,0.07932881,0.09458298
68,0.07032016,0.10638744,0.06855005,0.07909097,0.09367866
69,0.07018102,0.10834479,0.06843986,0.07973061,0.09355157
70,0.06979198,0.10664706,0.06831091,0.07908962,0.09331073
