architecture,data_fraction_pct,test_rmse,test_rmse_std,n_seeds,val_rmse,gen_gap
FNN,10,0.116725,0,1,0.0814461,0.0352789
FNN,20,0.11074,0,1,0.0803236,0.0304164
FNN,30,0.110694,0,1,0.0801527,0.0305413
FNN,40,0.098348,0,1,0.0802816,0.0180664
FNN,50,0.098124,0,1,0.0794622,0.0186618
FNN,60,0.097973,0,1,0.0791915,0.0187815
FNN,70,0.097906,0,1,0.0787029,0.0192031
FNN,80,0.09775,0,1,0.079211,0.018539
FNN,90,0.097543,0,1,0.0784994,0.0190436
FNN,100,0.094599,0,1,0.0793232,0.0152758
Physics-Reg.,10,0.1082,0,1,0.0785677,0.0296323
Physics-Reg.,20,0.09951,0,1,0.0788559,0.0206541
Physics-Reg.,30,0.099032,0,1,0.0785784,0.0204536
Physics-Reg.,40,0.098171,0,1,0.0787147,0.0194563
Physics-Reg.,50,0.094383,0,1,0.0787799,0.0156031
Physics-Reg.,60,0.094029,0,1,0.0776834,0.0163456
Physics-Reg.,70,0.094006,0,1,0.0774458,0.0165602
Physics-Reg.,80,0.093059,0,1,0.0768523,0.0162067
Physics-Reg.,90,0.084958,0,1,0.0768441,0.0081139
Physics-Reg.,100,0.08455,0,1,0.0765781,0.00797194
EDR,10,0.069285,0,1,0.0575628,0.0117222
EDR,20,0.067842,0,1,0.058125,0.00971701
EDR,30,0.067675,0,1,0.0591635,0.0085115
EDR,40,0.067216,0,1,0.0585633,0.00865271
EDR,50,0.067175,0,1,0.0582608,0.00891425
EDR,60,0.067005,0,1,0.0578935,0.00911154
EDR,70,0.063884,0,1,0.0561096,0.00777443
EDR,80,0.063882,0,1,0.0587114,0.00517063
EDR,90,0.063627,0,1,0.0568326,0.00679439
EDR,100,0.063017,0,1,0.0581064,0.00491057
