epoch,mean_abs_delta_g,mean_frob_delta_M,mean_abs_delta_C_qd,mean_abs_delta_tau_f
1,0.0210308,8.19578e-05,2.87052e-05,0.0359176
2,0.0577561,0.000670191,0.000208612,0.111317
3,0.0701455,0.00206731,0.000550704,0.173505
4,0.0761335,0.00399958,0.00101136,0.196306
5,0.0800133,0.00653385,0.00170639,0.20759
6,0.082464,0.00988576,0.00276403,0.217234
7,0.0841584,0.0137886,0.00436482,0.22457
8,0.0854222,0.0184012,0.00663403,0.230515
9,0.0869599,0.0240261,0.0095811,0.234971
10,0.0879036,0.03052,0.0131689,0.238417
11,0.0885082,0.0377214,0.017182,0.24043
12,0.0898945,0.0462198,0.0217464,0.242677
13,0.0904537,0.0557619,0.0264834,0.244902
14,0.0915069,0.0658926,0.0315922,0.246727
15,0.0923976,0.0766774,0.0367725,0.248969
16,0.0936849,0.0897825,0.0421247,0.251336
17,0.0940944,0.100974,0.047843,0.253139
18,0.0949824,0.116176,0.0537416,0.255329
19,0.0956843,0.12941,0.0598686,0.257289
20,0.0965139,0.14597,0.066296,0.258164
21,0.0971536,0.161046,0.0736041,0.259146
22,0.0979376,0.179457,0.0806609,0.260468
23,0.0987787,0.196969,0.0885574,0.260852
24,0.0994747,0.215201,0.0964278,0.26113
25,0.1,0.234635,0.104792,0.261711
26,0.0999941,0.252939,0.113845,0.262559
27,0.100927,0.274557,0.122172,0.262406
28,0.101281,0.294412,0.131061,0.262727
29,0.101907,0.315374,0.140412,0.263327
30,0.103067,0.336507,0.149867,0.26307
31,0.103079,0.359074,0.158573,0.263178
32,0.103536,0.380602,0.168335,0.263236
33,0.103749,0.399912,0.178087,0.263406
34,0.104141,0.420351,0.187221,0.263671
35,0.105155,0.441632,0.196368,0.263051
36,0.10522,0.46581,0.20622,0.263351
37,0.105764,0.484433,0.215024,0.263386
38,0.106104,0.503296,0.224432,0.263624
39,0.106683,0.528883,0.233435,0.263044
40,0.10723,0.548985,0.243398,0.262754
41,0.107378,0.561925,0.251728,0.26292
42,0.107888,0.586003,0.259585,0.261836
43,0.108177,0.601818,0.269056,0.261927
44,0.108779,0.616315,0.275616,0.261396
45,0.109334,0.6322,0.284546,0.260641
46,0.109769,0.640867,0.291691,0.260343
47,0.109835,0.662282,0.299274,0.259713
48,0.110415,0.669964,0.305575,0.258914
49,0.110573,0.682699,0.311039,0.259054
50,0.11079,0.684297,0.317385,0.259598
51,0.111433,0.7001,0.32306,0.258223
52,0.111736,0.707667,0.328543,0.25784
53,0.112165,0.715645,0.331951,0.258024
54,0.112416,0.719304,0.336892,0.257307
55,0.112377,0.730533,0.340653,0.25701
56,0.113014,0.733662,0.343201,0.256844
57,0.113251,0.737853,0.347939,0.256691
58,0.113697,0.746482,0.348891,0.255667
59,0.114126,0.746032,0.353084,0.25582
60,0.114137,0.754087,0.352798,0.255476
61,0.114551,0.754123,0.355167,0.255358
62,0.114468,0.753135,0.356173,0.254908
63,0.115025,0.761098,0.356603,0.254631
64,0.114968,0.754676,0.358056,0.254423
65,0.11526,0.758676,0.358125,0.254383
66,0.115733,0.755744,0.35693,0.25379
67,0.115341,0.756943,0.356808,0.25365
68,0.116174,0.753524,0.357019,0.252681
69,0.116074,0.752465,0.353573,0.252508
70,0.116059,0.751861,0.353858,0.252236
71,0.116591,0.746402,0.353146,0.251776
72,0.11635,0.743579,0.349929,0.252332
73,0.116563,0.742873,0.34915,0.251226
74,0.116948,0.741554,0.347062,0.251189
75,0.11685,0.738192,0.344401,0.250591
76,0.117619,0.735537,0.342271,0.250399
77,0.117356,0.729896,0.340584,0.249973
78,0.117634,0.729246,0.336572,0.249564
79,0.117607,0.721287,0.3343,0.24966
80,0.118054,0.716807,0.331416,0.247811
81,0.118034,0.712627,0.328026,0.248599
82,0.117976,0.705579,0.324703,0.248231
83,0.118317,0.70045,0.322253,0.247772
84,0.117932,0.696626,0.319089,0.247787
85,0.118409,0.691233,0.31682,0.245845
86,0.118384,0.680334,0.313288,0.24546
87,0.118605,0.678448,0.309491,0.245978
88,0.118749,0.67149,0.307224,0.245009
89,0.118909,0.668984,0.303372,0.244967
90,0.118888,0.660039,0.299525,0.244504
91,0.119046,0.657299,0.297651,0.243829
92,0.119116,0.648159,0.294322,0.243622
93,0.119457,0.641773,0.290452,0.24229
94,0.119128,0.635858,0.286317,0.242407
95,0.119648,0.63107,0.284001,0.241566
96,0.119648,0.620408,0.280542,0.241138
97,0.119347,0.614961,0.277141,0.241802
98,0.119662,0.613835,0.273898,0.240213
99,0.120043,0.603919,0.271368,0.239255
100,0.119552,0.599178,0.26853,0.23951
101,0.11966,0.593091,0.264937,0.23881
102,0.119628,0.586836,0.261852,0.238367
103,0.120505,0.581267,0.259273,0.237482
104,0.120307,0.574931,0.255955,0.237
105,0.120007,0.573809,0.253022,0.23696
106,0.120522,0.56369,0.249643,0.236399
107,0.120106,0.557948,0.24682,0.236033
108,0.120412,0.550106,0.244636,0.235839
109,0.120579,0.545896,0.241347,0.235299
110,0.120647,0.540677,0.237689,0.233913
111,0.120794,0.531581,0.236133,0.233108
112,0.120816,0.528578,0.23313,0.232795
