epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.40505631,0.20399089,0.16613792,0.11051748,0.49659650
2,0.22632307,0.18468974,0.12279162,0.10445205,0.27523635
3,0.18400765,0.17537867,0.11033037,0.10147220,0.22333290
4,0.15990363,0.17155550,0.10266252,0.10028448,0.19404728
5,0.14317735,0.17004872,0.09710786,0.09922437,0.17366472
6,0.13093277,0.16515359,0.09292563,0.09747741,0.15898129
7,0.12085377,0.16540484,0.08931218,0.09718994,0.14682409
8,0.11258461,0.16288053,0.08625547,0.09628362,0.13689908
9,0.10581313,0.16046940,0.08360338,0.09570079,0.12858040
10,0.09956494,0.15997260,0.08111034,0.09526895,0.12100996
11,0.09461592,0.15555223,0.07908897,0.09453176,0.11494302
12,0.08998374,0.15705765,0.07711184,0.09469020,0.10929541
13,0.08541944,0.15441051,0.07514426,0.09434253,0.10365397
14,0.08179976,0.15307075,0.07354847,0.09412898,0.09926486
15,0.07831276,0.15015939,0.07196080,0.09344719,0.09499589
16,0.07511517,0.15046106,0.07047058,0.09331480,0.09110157
17,0.07211517,0.15209725,0.06905541,0.09359158,0.08737616
18,0.06913914,0.15051538,0.06762635,0.09356995,0.08372676
19,0.06643476,0.15220988,0.06636274,0.09371867,0.08052239
20,0.06389802,0.15254161,0.06505203,0.09371435,0.07737399
21,0.06160721,0.15209953,0.06391808,0.09399107,0.07458978
22,0.05920523,0.15406078,0.06263628,0.09404806,0.07164654
23,0.05750987,0.15159779,0.06174082,0.09339833,0.06956425
24,0.05551213,0.15293542,0.06065279,0.09325553,0.06715501
25,0.05365920,0.15405057,0.05967011,0.09365100,0.06491527
26,0.05199712,0.15208255,0.05868850,0.09293248,0.06283186
27,0.05050225,0.15009458,0.05784083,0.09292231,0.06098182
28,0.04899338,0.14856180,0.05697619,0.09268938,0.05916046
29,0.04764397,0.15191922,0.05619128,0.09324417,0.05755237
30,0.04643264,0.15238946,0.05548681,0.09306662,0.05608612
31,0.04521693,0.15366537,0.05470173,0.09311425,0.05449349
32,0.04406848,0.14977205,0.05400786,0.09258987,0.05316561
33,0.04296417,0.14598273,0.05330570,0.09167736,0.05176502
34,0.04186692,0.14998267,0.05260585,0.09225581,0.05038340
35,0.04100945,0.14608741,0.05207078,0.09155892,0.04934136
36,0.04008233,0.15008909,0.05145889,0.09212784,0.04821497
37,0.03920599,0.14628827,0.05084408,0.09115763,0.04710636
38,0.03831864,0.14695801,0.05029645,0.09156803,0.04606672
39,0.03751973,0.14565480,0.04973509,0.09186423,0.04504135
40,0.03674670,0.14431153,0.04918629,0.09132910,0.04408669
41,0.03597524,0.14917527,0.04869168,0.09159011,0.04316399
42,0.03531245,0.14540883,0.04819664,0.09136968,0.04230356
43,0.03464404,0.14586126,0.04771168,0.09187188,0.04146183
44,0.03402397,0.14792223,0.04727294,0.09192823,0.04071190
45,0.03340764,0.14715732,0.04681569,0.09152512,0.03992292
46,0.03277797,0.14400442,0.04639099,0.09058371,0.03920067
47,0.03226349,0.14633898,0.04597785,0.09147463,0.03852204
48,0.03164273,0.14624817,0.04550183,0.09171077,0.03773235
49,0.03104821,0.14479618,0.04508179,0.09156458,0.03703638
50,0.03061065,0.14264839,0.04472365,0.09084602,0.03646389
51,0.03009350,0.14434773,0.04435748,0.09173124,0.03588599
52,0.02961953,0.14262445,0.04402016,0.09161698,0.03531164
53,0.02913194,0.14226788,0.04364677,0.09108666,0.03470741
54,0.02859370,0.14388643,0.04322285,0.09111235,0.03406200
55,0.02829995,0.14263403,0.04297292,0.09078305,0.03366708
56,0.02787921,0.13917379,0.04263809,0.09051729,0.03314537
57,0.02739903,0.14126283,0.04221769,0.09014983,0.03253262
58,0.02691038,0.14389152,0.04182334,0.09108639,0.03192992
