epoch,train_loss,val_loss,train_rmse,val_rmse,train_loss_obj
1,0.97463727,0.34739124,0.26337171,0.14686704,1.21135953
2,0.57766433,0.27372432,0.20138528,0.12991625,0.71942240
3,0.45234309,0.24505389,0.17694584,0.12222551,0.55804180
4,0.37651483,0.22835128,0.16029799,0.11774953,0.46121819
5,0.32536827,0.21824234,0.14834863,0.11483884,0.39717223
6,0.28892993,0.21139135,0.13929660,0.11251782,0.35213569
7,0.26298605,0.20505004,0.13253580,0.11086141,0.32018509
8,0.24291142,0.20074823,0.12723234,0.10976773,0.29610413
9,0.22774466,0.19604461,0.12295852,0.10827493,0.27732453
10,0.21555492,0.19184131,0.11952349,0.10710513,0.26253445
11,0.20506297,0.18865465,0.11661566,0.10627602,0.25004874
12,0.19643536,0.18434689,0.11402070,0.10506387,0.23951406
13,0.18862271,0.18021652,0.11173269,0.10378335,0.23001667
14,0.18100332,0.17612207,0.10943672,0.10274810,0.22084528
15,0.17493300,0.17489714,0.10761422,0.10195924,0.21350027
16,0.16807519,0.17087608,0.10553975,0.10085156,0.20540770
17,0.16249003,0.16782664,0.10390329,0.10001421,0.19876530
18,0.15696717,0.16416385,0.10214271,0.09909351,0.19211244
19,0.15174292,0.16082019,0.10043534,0.09792968,0.18563299
20,0.14743007,0.15838262,0.09907299,0.09739180,0.18052659
21,0.14344174,0.15638904,0.09775281,0.09682774,0.17563853
22,0.13966481,0.15505556,0.09649429,0.09633476,0.17109828
23,0.13645285,0.15088962,0.09541112,0.09549497,0.16708793
24,0.13367792,0.15031290,0.09441273,0.09520496,0.16361288
25,0.13105315,0.14905034,0.09353505,0.09468765,0.16044141
26,0.12833281,0.14787862,0.09261091,0.09439611,0.15709887
27,0.12642884,0.14635846,0.09181966,0.09424031,0.15459184
28,0.12407990,0.14556320,0.09101266,0.09355788,0.15180101
29,0.12212805,0.14441088,0.09026179,0.09309149,0.14920077
30,0.12013112,0.14400093,0.08955651,0.09302120,0.14677758
31,0.11886334,0.14300570,0.08904655,0.09275531,0.14516110
32,0.11723589,0.14166124,0.08847032,0.09222777,0.14323192
33,0.11549005,0.14241480,0.08775785,0.09227797,0.14092849
34,0.11410017,0.13988459,0.08723381,0.09154396,0.13925295
35,0.11249974,0.13984267,0.08660761,0.09156748,0.13725445
36,0.11103874,0.13770612,0.08601264,0.09088860,0.13527041
37,0.10995275,0.13841349,0.08561316,0.09087039,0.13398083
38,0.10883061,0.13639741,0.08513716,0.09052821,0.13261011
39,0.10723481,0.13608206,0.08454858,0.09049101,0.13064844
40,0.10643397,0.13584395,0.08423221,0.08991212,0.12965510
41,0.10497432,0.13450150,0.08365916,0.08969627,0.12789346
42,0.10408360,0.13422191,0.08329368,0.08945992,0.12680059
43,0.10282460,0.13503623,0.08277148,0.08939778,0.12516851
44,0.10194844,0.13333163,0.08241560,0.08937546,0.12404039
45,0.10073154,0.13286795,0.08194494,0.08884415,0.12262409
46,0.09981548,0.13160643,0.08154059,0.08890150,0.12141999
47,0.09889948,0.13167714,0.08115368,0.08849372,0.12022137
48,0.09761800,0.13228084,0.08065161,0.08861630,0.11872617
49,0.09713536,0.13289803,0.08044998,0.08854889,0.11811687
50,0.09600218,0.13129395,0.07998910,0.08848102,0.11676959
51,0.09528172,0.13097672,0.07968718,0.08801285,0.11587329
52,0.09433736,0.13038152,0.07929268,0.08786607,0.11475207
53,0.09365111,0.12866755,0.07898425,0.08743516,0.11377314
54,0.09291094,0.12977009,0.07870187,0.08742478,0.11293469
55,0.09206241,0.12961301,0.07835939,0.08739357,0.11194095
56,0.09125022,0.12902297,0.07799541,0.08737192,0.11087521
57,0.09042712,0.12715657,0.07761467,0.08709958,0.10990754
58,0.08983078,0.12883037,0.07743865,0.08721425,0.10925488
59,0.08903225,0.12815777,0.07704069,0.08702229,0.10816245
